Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,370.08157
2021-02-01 01:00,369.86667
2021-02-01 02:00,368.67227
2021-02-01 03:00,368.00708
2021-02-01 04:00,367.79004
2021-02-01 05:00,367.84442
2021-02-01 06:00,367.87158
2021-02-01 07:00,367.881
2021-02-01 08:00,367.9411
2021-02-01 09:00,368.04065
2021-02-01 10:00,367.9728
2021-02-01 11:00,367.838
2021-02-01 12:00,367.6819
2021-02-01 13:00,367.47275
2021-02-01 14:00,367.29315
2021-02-01 15:00,367.16245
2021-02-01 16:00,367.1057
2021-02-01 17:00,367.04993
2021-02-01 18:00,367.01556
2021-02-01 19:00,367.0579
2021-02-01 20:00,367.221
2021-02-01 21:00,367.62085
2021-02-01 22:00,368.42133
2021-02-01 23:00,368.67426
2021-02-02 00:00,368.3935
2021-02-02 01:00,368.28848
2021-02-02 02:00,367.9936
2021-02-02 03:00,367.80597
2021-02-02 04:00,367.69168
2021-02-02 05:00,367.75076
2021-02-02 06:00,367.80518
2021-02-02 07:00,367.83853
2021-02-02 08:00,367.88873
2021-02-02 09:00,367.97717
2021-02-02 10:00,367.95667
2021-02-02 11:00,367.83682
2021-02-02 12:00,367.69135
2021-02-02 13:00,367.46002
2021-02-02 14:00,367.27264
2021-02-02 15:00,367.13168
2021-02-02 16:00,367.0545
2021-02-02 17:00,367.025
2021-02-02 18:00,367.00308
2021-02-02 19:00,367.0811
2021-02-02 20:00,367.28204
2021-02-02 21:00,367.73462
2021-02-02 22:00,368.54547
2021-02-02 23:00,368.8134
2021-02-03 00:00,368.64703
2021-02-03 01:00,368.53662
2021-02-03 02:00,368.26318
2021-02-03 03:00,368.01068
2021-02-03 04:00,367.81296
2021-02-03 05:00,367.79803
2021-02-03 06:00,367.80988
2021-02-03 07:00,367.8625
2021-02-03 08:00,367.9374
2021-02-03 09:00,368.02368
2021-02-03 10:00,367.97836
2021-02-03 11:00,367.84927
2021-02-03 12:00,367.6833
2021-02-03 13:00,367.4538
2021-02-03 14:00,367.27734
2021-02-03 15:00,367.1599
2021-02-03 16:00,367.1085
2021-02-03 17:00,367.08823
2021-02-03 18:00,367.06036
2021-02-03 19:00,367.12363
2021-02-03 20:00,367.28363
2021-02-03 21:00,367.62244
2021-02-03 22:00,368.32217
2021-02-03 23:00,368.50473
2021-02-04 00:00,368.3016
2021-02-04 01:00,368.27896
2021-02-04 02:00,368.02637
2021-02-04 03:00,367.83713
2021-02-04 04:00,367.71075
2021-02-04 05:00,367.76016
2021-02-04 06:00,367.82574
2021-02-04 07:00,367.8685
2021-02-04 08:00,367.92258
2021-02-04 09:00,367.98865
2021-02-04 10:00,367.9701
2021-02-04 11:00,367.86728
2021-02-04 12:00,367.70547
2021-02-04 13:00,367.466
2021-02-04 14:00,367.28735
2021-02-04 15:00,367.16388
2021-02-04 16:00,367.12982
2021-02-04 17:00,367.07635
2021-02-04 18:00,367.05884
2021-02-04 19:00,367.12955
2021-02-04 20:00,367.29916
2021-02-04 21:00,367.6662
2021-02-04 22:00,368.37057
2021-02-04 23:00,368.63474
2021-02-02 00:00,369.74008
2021-02-02 01:00,369.23996
2021-02-02 02:00,368.5756
2021-02-02 03:00,368.13812
2021-02-02 04:00,367.81552
2021-02-02 05:00,367.80975
2021-02-02 06:00,367.85587
2021-02-02 07:00,367.92914
2021-02-02 08:00,367.97415
2021-02-02 09:00,368.05368
2021-02-02 10:00,368.04678
2021-02-02 11:00,367.96234
2021-02-02 12:00,367.77142
2021-02-02 13:00,367.54034
2021-02-02 14:00,367.3371
2021-02-02 15:00,367.19742
2021-02-02 16:00,367.1197
2021-02-02 17:00,367.0901
2021-02-02 18:00,367.04803
2021-02-02 19:00,367.08466
2021-02-02 20:00,367.30673
2021-02-02 21:00,367.9195
2021-02-02 22:00,369.37006
2021-02-02 23:00,369.51913
2021-02-03 00:00,369.0888
2021-02-03 01:00,368.75775
2021-02-03 02:00,368.26984
2021-02-03 03:00,367.98993
2021-02-03 04:00,367.73077
2021-02-03 05:00,367.73355
2021-02-03 06:00,367.7875
2021-02-03 07:00,367.86447
2021-02-03 08:00,367.9021
2021-02-03 09:00,367.98624
2021-02-03 10:00,368.00174
2021-02-03 11:00,367.9312
2021-02-03 12:00,367.74185
2021-02-03 13:00,367.50143
2021-02-03 14:00,367.32068
2021-02-03 15:00,367.17828
2021-02-03 16:00,367.09464
2021-02-03 17:00,367.05646
2021-02-03 18:00,367.03613
2021-02-03 19:00,367.07272
2021-02-03 20:00,367.23495
2021-02-03 21:00,367.6335
2021-02-03 22:00,368.61743
2021-02-03 23:00,368.86282
2021-02-04 00:00,368.7469
2021-02-04 01:00,368.6491
2021-02-04 02:00,368.20496
2021-02-04 03:00,367.96445
2021-02-04 04:00,367.73245
2021-02-04 05:00,367.711
2021-02-04 06:00,367.7677
2021-02-04 07:00,367.86792
2021-02-04 08:00,367.96216
2021-02-04 09:00,368.01007
2021-02-04 10:00,368.02377
2021-02-04 11:00,367.9175
2021-02-04 12:00,367.73697
2021-02-04 13:00,367.51245
2021-02-04 14:00,367.3291
2021-02-04 15:00,367.1986
2021-02-04 16:00,367.11404
2021-02-04 17:00,367.0723
2021-02-04 18:00,367.05612
2021-02-04 19:00,367.10623
2021-02-04 20:00,367.29865
2021-02-04 21:00,367.6991
2021-02-04 22:00,368.75302
2021-02-04 23:00,368.90277
2021-02-05 00:00,368.6853
2021-02-05 01:00,368.50797
2021-02-05 02:00,368.10394
2021-02-05 03:00,367.88885
2021-02-05 04:00,367.71387
2021-02-05 05:00,367.73615
2021-02-05 06:00,367.82535
2021-02-05 07:00,367.87848
2021-02-05 08:00,367.9007
2021-02-05 09:00,367.95642
2021-02-05 10:00,367.99118
2021-02-05 11:00,367.94867
2021-02-05 12:00,367.7558
2021-02-05 13:00,367.52808
2021-02-05 14:00,367.32098
2021-02-05 15:00,367.1939
2021-02-05 16:00,367.10846
2021-02-05 17:00,367.0771
2021-02-05 18:00,367.04605
2021-02-05 19:00,367.0503
2021-02-05 20:00,367.13556
2021-02-05 21:00,367.27423
2021-02-05 22:00,367.67905
2021-02-05 23:00,367.68976
2021-02-03 00:00,367.86642
2021-02-03 01:00,367.74585
2021-02-03 02:00,367.68808
2021-02-03 03:00,367.7232
2021-02-03 04:00,367.7417
2021-02-03 05:00,367.7653
2021-02-03 06:00,367.84897
2021-02-03 07:00,367.8892
2021-02-03 08:00,367.95566
2021-02-03 09:00,368.0373
2021-02-03 10:00,367.99945
2021-02-03 11:00,367.87662
2021-02-03 12:00,367.716
2021-02-03 13:00,367.49347
2021-02-03 14:00,367.28204
2021-02-03 15:00,367.1843
2021-02-03 16:00,367.1297
2021-02-03 17:00,367.0648
2021-02-03 18:00,367.04758
2021-02-03 19:00,367.08795
2021-02-03 20:00,367.2736
2021-02-03 21:00,367.70947
2021-02-03 22:00,368.50604
2021-02-03 23:00,368.51242
2021-02-04 00:00,368.36133
2021-02-04 01:00,368.014
2021-02-04 02:00,367.84653
2021-02-04 03:00,367.80356
2021-02-04 04:00,367.72955
2021-02-04 05:00,367.74112
2021-02-04 06:00,367.77878
2021-02-04 07:00,367.82663
2021-02-04 08:00,367.89038
2021-02-04 09:00,367.95227
2021-02-04 10:00,367.94742
2021-02-04 11:00,367.8043
2021-02-04 12:00,367.67206
2021-02-04 13:00,367.48874
2021-02-04 14:00,367.299
2021-02-04 15:00,367.17963
2021-02-04 16:00,367.10074
2021-02-04 17:00,367.04248
2021-02-04 18:00,367.04672
2021-02-04 19:00,367.07968
2021-02-04 20:00,367.25037
2021-02-04 21:00,367.59735
2021-02-04 22:00,368.19568
2021-02-04 23:00,368.31598
2021-02-05 00:00,368.2113
2021-02-05 01:00,368.06415
2021-02-05 02:00,367.89972
2021-02-05 03:00,367.80856
2021-02-05 04:00,367.72797
2021-02-05 05:00,367.76074
2021-02-05 06:00,367.8164
2021-02-05 07:00,367.8706
2021-02-05 08:00,367.94174
2021-02-05 09:00,368.00342
2021-02-05 10:00,367.9705
2021-02-05 11:00,367.8663
2021-02-05 12:00,367.7224
2021-02-05 13:00,367.50394
2021-02-05 14:00,367.3217
2021-02-05 15:00,367.20245
2021-02-05 16:00,367.1158
2021-02-05 17:00,367.0499
2021-02-05 18:00,367.0061
2021-02-05 19:00,367.03485
2021-02-05 20:00,367.16498
2021-02-05 21:00,367.4812
2021-02-05 22:00,367.9483
2021-02-05 23:00,367.98914
2021-02-06 00:00,367.98807
2021-02-06 01:00,367.77963
2021-02-06 02:00,367.65472
2021-02-06 03:00,367.5572
2021-02-06 04:00,367.54968
2021-02-06 05:00,367.6043
2021-02-06 06:00,367.69583
2021-02-06 07:00,367.76508
2021-02-06 08:00,367.84146
2021-02-06 09:00,367.90588
2021-02-06 10:00,367.9256
2021-02-06 11:00,367.8161
2021-02-06 12:00,367.68988
2021-02-06 13:00,367.48306
2021-02-06 14:00,367.3005
2021-02-06 15:00,367.18527
2021-02-06 16:00,367.07916
2021-02-06 17:00,366.98846
2021-02-06 18:00,366.95813
2021-02-06 19:00,366.96738
2021-02-06 20:00,367.07977
2021-02-06 21:00,367.30878
2021-02-06 22:00,367.68484
2021-02-06 23:00,367.7457
2021-02-04 00:00,367.9856
2021-02-04 01:00,367.9683
2021-02-04 02:00,367.977
2021-02-04 03:00,367.97604
2021-02-04 04:00,367.91412
2021-02-04 05:00,367.89056
2021-02-04 06:00,367.92285
2021-02-04 07:00,367.95175
2021-02-04 08:00,367.99857
2021-02-04 09:00,368.0783
2021-02-04 10:00,368.06503
2021-02-04 11:00,367.95532
2021-02-04 12:00,367.80316
2021-02-04 13:00,367.62186
2021-02-04 14:00,367.4422
2021-02-04 15:00,367.30054
2021-02-04 16:00,367.22418
2021-02-04 17:00,367.16656
2021-02-04 18:00,367.16098
2021-02-04 19:00,367.20975
2021-02-04 20:00,367.49634
2021-02-04 21:00,368.07974
2021-02-04 22:00,368.71133
2021-02-04 23:00,368.7867
2021-02-05 00:00,368.45367
2021-02-05 01:00,368.15704
2021-02-05 02:00,367.9945
2021-02-05 03:00,367.94806
2021-02-05 04:00,367.837
2021-02-05 05:00,367.82706
2021-02-05 06:00,367.87665
2021-02-05 07:00,367.90805
2021-02-05 08:00,367.939
2021-02-05 09:00,367.99097
2021-02-05 10:00,367.99542
2021-02-05 11:00,367.9168
2021-02-05 12:00,367.78513
2021-02-05 13:00,367.59708
2021-02-05 14:00,367.4131
2021-02-05 15:00,367.28998
2021-02-05 16:00,367.20697
2021-02-05 17:00,367.1526
2021-02-05 18:00,367.0996
2021-02-05 19:00,367.1088
2021-02-05 20:00,367.18924
2021-02-05 21:00,367.40985
2021-02-05 22:00,367.63998
2021-02-05 23:00,367.74762
2021-02-06 00:00,367.68793
2021-02-06 01:00,367.58875
2021-02-06 02:00,367.60294
2021-02-06 03:00,367.6375
2021-02-06 04:00,367.62616
2021-02-06 05:00,367.66913
2021-02-06 06:00,367.73373
2021-02-06 07:00,367.79495
2021-02-06 08:00,367.85947
2021-02-06 09:00,367.9411
2021-02-06 10:00,367.9604
2021-02-06 11:00,367.8615
2021-02-06 12:00,367.73257
2021-02-06 13:00,367.55396
2021-02-06 14:00,367.36996
2021-02-06 15:00,367.23917
2021-02-06 16:00,367.14706
2021-02-06 17:00,367.05624
2021-02-06 18:00,367.00995
2021-02-06 19:00,367.03265
2021-02-06 20:00,367.16693
2021-02-06 21:00,367.4726
2021-02-06 22:00,367.75604
2021-02-06 23:00,367.7519
2021-02-07 00:00,367.6749
2021-02-07 01:00,367.5921
2021-02-07 02:00,367.5728
2021-02-07 03:00,367.59418
2021-02-07 04:00,367.59354
2021-02-07 05:00,367.63837
2021-02-07 06:00,367.73468
2021-02-07 07:00,367.80496
2021-02-07 08:00,367.87836
2021-02-07 09:00,367.96686
2021-02-07 10:00,367.9641
2021-02-07 11:00,367.8733
2021-02-07 12:00,367.72455
2021-02-07 13:00,367.51843
2021-02-07 14:00,367.34753
2021-02-07 15:00,367.2569
2021-02-07 16:00,367.2094
2021-02-07 17:00,367.1423
2021-02-07 18:00,367.13242
2021-02-07 19:00,367.24442
2021-02-07 20:00,367.6268
2021-02-07 21:00,368.30038
2021-02-07 22:00,368.99823
2021-02-07 23:00,369.1032
2021-02-05 00:00,367.9167
2021-02-05 01:00,367.92853
2021-02-05 02:00,367.95157
2021-02-05 03:00,367.97626
2021-02-05 04:00,367.89978
2021-02-05 05:00,367.89288
2021-02-05 06:00,367.93417
2021-02-05 07:00,367.95453
2021-02-05 08:00,368.02438
2021-02-05 09:00,368.1143
2021-02-05 10:00,368.0669
2021-02-05 11:00,367.9589
2021-02-05 12:00,367.82706
2021-02-05 13:00,367.6105
2021-02-05 14:00,367.4341
2021-02-05 15:00,367.2762
2021-02-05 16:00,367.20004
2021-02-05 17:00,367.14114
2021-02-05 18:00,367.10138
2021-02-05 19:00,367.10706
2021-02-05 20:00,367.23135
2021-02-05 21:00,367.45685
2021-02-05 22:00,367.70282
2021-02-05 23:00,367.76755
2021-02-06 00:00,367.78055
2021-02-06 01:00,367.73615
2021-02-06 02:00,367.68854
2021-02-06 03:00,367.66763
2021-02-06 04:00,367.65363
2021-02-06 05:00,367.71332
2021-02-06 06:00,367.80536
2021-02-06 07:00,367.85205
2021-02-06 08:00,367.94247
2021-02-06 09:00,368.02173
2021-02-06 10:00,367.99814
2021-02-06 11:00,367.89825
2021-02-06 12:00,367.81342
2021-02-06 13:00,367.62665
2021-02-06 14:00,367.42807
2021-02-06 15:00,367.28354
2021-02-06 16:00,367.18512
2021-02-06 17:00,367.11554
2021-02-06 18:00,367.0804
2021-02-06 19:00,367.07837
2021-02-06 20:00,367.2182
2021-02-06 21:00,367.45215
2021-02-06 22:00,367.6961
2021-02-06 23:00,367.791
2021-02-07 00:00,367.75046
2021-02-07 01:00,367.68988
2021-02-07 02:00,367.63583
2021-02-07 03:00,367.60562
2021-02-07 04:00,367.59647
2021-02-07 05:00,367.65707
2021-02-07 06:00,367.7394
2021-02-07 07:00,367.78192
2021-02-07 08:00,367.887
2021-02-07 09:00,368.00943
2021-02-07 10:00,367.95087
2021-02-07 11:00,367.87115
2021-02-07 12:00,367.77835
2021-02-07 13:00,367.55118
2021-02-07 14:00,367.35773
2021-02-07 15:00,367.2159
2021-02-07 16:00,367.13443
2021-02-07 17:00,367.05865
2021-02-07 18:00,367.01532
2021-02-07 19:00,367.03476
2021-02-07 20:00,367.2328
2021-02-07 21:00,367.63135
2021-02-07 22:00,368.23422
2021-02-07 23:00,368.56647
2021-02-08 00:00,368.3886
2021-02-08 01:00,368.03925
2021-02-08 02:00,367.83438
2021-02-08 03:00,367.7948
2021-02-08 04:00,367.77924
2021-02-08 05:00,367.81342
2021-02-08 06:00,367.86502
2021-02-08 07:00,367.90524
2021-02-08 08:00,367.97714
2021-02-08 09:00,368.08124
2021-02-08 10:00,368.03293
2021-02-08 11:00,367.88934
2021-02-08 12:00,367.76385
2021-02-08 13:00,367.55603
2021-02-08 14:00,367.3651
2021-02-08 15:00,367.22812
2021-02-08 16:00,367.15253
2021-02-08 17:00,367.08392
2021-02-08 18:00,367.0566
2021-02-08 19:00,367.09396
2021-02-08 20:00,367.32758
2021-02-08 21:00,367.84973
2021-02-08 22:00,368.49832
2021-02-08 23:00,368.72137
2021-02-06 00:00,367.4736
2021-02-06 01:00,367.4471
2021-02-06 02:00,367.39355
2021-02-06 03:00,367.4044
2021-02-06 04:00,367.43665
2021-02-06 05:00,367.5024
2021-02-06 06:00,367.59702
2021-02-06 07:00,367.71362
2021-02-06 08:00,367.8142
2021-02-06 09:00,367.90973
2021-02-06 10:00,367.90677
2021-02-06 11:00,367.83215
2021-02-06 12:00,367.67566
2021-02-06 13:00,367.48602
2021-02-06 14:00,367.30658
2021-02-06 15:00,367.16257
2021-02-06 16:00,367.09222
2021-02-06 17:00,367.0315
2021-02-06 18:00,367.0038
2021-02-06 19:00,367.0063
2021-02-06 20:00,367.08438
2021-02-06 21:00,367.22247
2021-02-06 22:00,367.3947
2021-02-06 23:00,367.40887
2021-02-07 00:00,367.39365
2021-02-07 01:00,367.37372
2021-02-07 02:00,367.36273
2021-02-07 03:00,367.4139
2021-02-07 04:00,367.4383
2021-02-07 05:00,367.48077
2021-02-07 06:00,367.5548
2021-02-07 07:00,367.6591
2021-02-07 08:00,367.75375
2021-02-07 09:00,367.83472
2021-02-07 10:00,367.8488
2021-02-07 11:00,367.75433
2021-02-07 12:00,367.58112
2021-02-07 13:00,367.39557
2021-02-07 14:00,367.22968
2021-02-07 15:00,367.10794
2021-02-07 16:00,367.06177
2021-02-07 17:00,367.02673
2021-02-07 18:00,367.0232
2021-02-07 19:00,367.0804
2021-02-07 20:00,367.32437
2021-02-07 21:00,367.9523
2021-02-07 22:00,368.90897
2021-02-07 23:00,369.0181
2021-02-08 00:00,368.752
2021-02-08 01:00,368.3275
2021-02-08 02:00,368.03998
2021-02-08 03:00,367.90802
2021-02-08 04:00,367.77496
2021-02-08 05:00,367.7526
2021-02-08 06:00,367.79852
2021-02-08 07:00,367.88675
2021-02-08 08:00,367.92422
2021-02-08 09:00,368.0124
2021-02-08 10:00,367.9848
2021-02-08 11:00,367.8617
2021-02-08 12:00,367.67157
2021-02-08 13:00,367.4546
2021-02-08 14:00,367.26578
2021-02-08 15:00,367.12323
2021-02-08 16:00,367.0647
2021-02-08 17:00,367.00616
2021-02-08 18:00,367.00528
2021-02-08 19:00,367.04758
2021-02-08 20:00,367.27164
2021-02-08 21:00,367.76508
2021-02-08 22:00,368.67035
2021-02-08 23:00,368.85785
2021-02-09 00:00,368.54553
2021-02-09 01:00,368.11652
2021-02-09 02:00,367.8669
2021-02-09 03:00,367.85977
2021-02-09 04:00,367.77942
2021-02-09 05:00,367.7328
2021-02-09 06:00,367.8116
2021-02-09 07:00,367.88248
2021-02-09 08:00,367.9413
