Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,604.34204
2021-02-01 01:00,599.2204
2021-02-01 02:00,590.86365
2021-02-01 03:00,582.3033
2021-02-01 04:00,574.38416
2021-02-01 05:00,565.85754
2021-02-01 06:00,556.1711
2021-02-01 07:00,547.0812
2021-02-01 08:00,547.9899
2021-02-01 09:00,552.49713
2021-02-01 10:00,567.237
2021-02-01 11:00,582.5431
2021-02-01 12:00,610.5296
2021-02-01 13:00,627.8551
2021-02-01 14:00,642.9648
2021-02-01 15:00,653.3572
2021-02-01 16:00,656.39
2021-02-01 17:00,654.85803
2021-02-01 18:00,645.96436
2021-02-01 19:00,634.68945
2021-02-01 20:00,619.38574
2021-02-01 21:00,596.3558
2021-02-01 22:00,586.2835
2021-02-01 23:00,581.4572
2021-02-02 00:00,579.0322
2021-02-02 01:00,576.4604
2021-02-02 02:00,573.6383
2021-02-02 03:00,567.9877
2021-02-02 04:00,562.3627
2021-02-02 05:00,552.95886
2021-02-02 06:00,543.1339
2021-02-02 07:00,534.736
2021-02-02 08:00,535.1835
2021-02-02 09:00,538.617
2021-02-02 10:00,552.2672
2021-02-02 11:00,567.4581
2021-02-02 12:00,593.3219
2021-02-02 13:00,610.5179
2021-02-02 14:00,626.16406
2021-02-02 15:00,638.1351
2021-02-02 16:00,643.84454
2021-02-02 17:00,644.9961
2021-02-02 18:00,639.14984
2021-02-02 19:00,628.1587
2021-02-02 20:00,613.313
2021-02-02 21:00,592.7676
2021-02-02 22:00,584.766
2021-02-02 23:00,580.4637
2021-02-03 00:00,577.615
2021-02-03 01:00,573.7503
2021-02-03 02:00,568.9763
2021-02-03 03:00,561.5963
2021-02-03 04:00,555.30646
2021-02-03 05:00,546.6683
2021-02-03 06:00,539.6217
2021-02-03 07:00,533.92084
2021-02-03 08:00,536.25275
2021-02-03 09:00,542.829
2021-02-03 10:00,557.4759
2021-02-03 11:00,573.9242
2021-02-03 12:00,598.6375
2021-02-03 13:00,614.682
2021-02-03 14:00,627.7738
2021-02-03 15:00,635.9613
2021-02-03 16:00,639.0213
2021-02-03 17:00,637.0441
2021-02-03 18:00,629.8177
2021-02-03 19:00,617.77747
2021-02-03 20:00,602.93524
2021-02-03 21:00,582.3118
2021-02-03 22:00,573.21027
2021-02-03 23:00,568.0978
2021-02-04 00:00,564.4028
2021-02-04 01:00,561.125
2021-02-04 02:00,554.46545
2021-02-04 03:00,546.5348
2021-02-04 04:00,541.5454
2021-02-04 05:00,534.1671
2021-02-04 06:00,527.29645
2021-02-04 07:00,522.0839
2021-02-04 08:00,524.3281
2021-02-04 09:00,530.6117
2021-02-04 10:00,546.68353
2021-02-04 11:00,563.2043
2021-02-04 12:00,587.9705
2021-02-04 13:00,604.84094
2021-02-04 14:00,617.9968
2021-02-04 15:00,627.04504
2021-02-04 16:00,631.0084
2021-02-04 17:00,631.1279
2021-02-04 18:00,624.8902
2021-02-04 19:00,613.30554
2021-02-04 20:00,598.3146
2021-02-04 21:00,579.0047
2021-02-04 22:00,569.6161
2021-02-04 23:00,564.1979
2021-02-02 00:00,532.49615
2021-02-02 01:00,534.5093
2021-02-02 02:00,530.8083
2021-02-02 03:00,525.77185
2021-02-02 04:00,518.7101
2021-02-02 05:00,512.3816
2021-02-02 06:00,507.74716
2021-02-02 07:00,505.3714
2021-02-02 08:00,506.8211
2021-02-02 09:00,514.22736
2021-02-02 10:00,525.07764
2021-02-02 11:00,538.0243
2021-02-02 12:00,563.2431
