Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,367.63876
2021-02-01 01:00,367.6988
2021-02-01 02:00,368.33633
2021-02-01 03:00,361.34964
2021-02-01 04:00,357.03955
2021-02-01 05:00,357.57236
2021-02-01 06:00,362.43484
2021-02-01 07:00,362.24878
2021-02-01 08:00,361.79425
2021-02-01 09:00,362.48248
2021-02-01 10:00,361.93152
2021-02-01 11:00,362.43677
2021-02-01 12:00,358.59955
2021-02-01 13:00,355.44037
2021-02-01 14:00,354.5671
2021-02-01 15:00,355.81244
2021-02-01 16:00,359.3432
2021-02-01 17:00,359.4981
2021-02-01 18:00,357.19
2021-02-01 19:00,358.67032
2021-02-01 20:00,361.89844
2021-02-01 21:00,366.30307
2021-02-01 22:00,367.4275
2021-02-01 23:00,367.61887
2021-02-02 00:00,367.84384
2021-02-02 01:00,367.46234
2021-02-02 02:00,368.15543
2021-02-02 03:00,360.89648
2021-02-02 04:00,357.15323
2021-02-02 05:00,357.5712
2021-02-02 06:00,361.42694
2021-02-02 07:00,361.83673
2021-02-02 08:00,361.47177
2021-02-02 09:00,362.1801
2021-02-02 10:00,361.91003
2021-02-02 11:00,362.8654
2021-02-02 12:00,359.46442
2021-02-02 13:00,356.31903
2021-02-02 14:00,355.38492
2021-02-02 15:00,356.6408
2021-02-02 16:00,360.06363
2021-02-02 17:00,360.17233
2021-02-02 18:00,358.1499
2021-02-02 19:00,359.6468
2021-02-02 20:00,362.72336
2021-02-02 21:00,366.75287
2021-02-02 22:00,367.74118
2021-02-02 23:00,367.76514
2021-02-03 00:00,367.63947
2021-02-03 01:00,367.34296
2021-02-03 02:00,367.93097
2021-02-03 03:00,361.06866
2021-02-03 04:00,357.32126
2021-02-03 05:00,357.77228
2021-02-03 06:00,361.38116
2021-02-03 07:00,361.37
2021-02-03 08:00,361.07706
2021-02-03 09:00,361.50763
2021-02-03 10:00,361.55655
2021-02-03 11:00,362.73187
2021-02-03 12:00,359.7705
2021-02-03 13:00,357.1682
2021-02-03 14:00,356.1602
2021-02-03 15:00,357.56635
2021-02-03 16:00,360.9665
2021-02-03 17:00,360.72174
2021-02-03 18:00,358.02914
2021-02-03 19:00,359.40564
2021-02-03 20:00,362.72125
2021-02-03 21:00,367.12238
2021-02-03 22:00,367.76126
2021-02-03 23:00,367.6443
2021-02-04 00:00,367.56354
2021-02-04 01:00,367.21252
2021-02-04 02:00,367.6806
2021-02-04 03:00,361.1905
2021-02-04 04:00,357.6745
2021-02-04 05:00,358.29877
2021-02-04 06:00,361.81024
2021-02-04 07:00,362.22015
2021-02-04 08:00,362.1482
2021-02-04 09:00,362.9062
2021-02-04 10:00,362.11652
2021-02-04 11:00,362.60602
2021-02-04 12:00,359.74054
2021-02-04 13:00,357.23373
2021-02-04 14:00,356.19882
2021-02-04 15:00,357.32477
2021-02-04 16:00,360.6814
2021-02-04 17:00,360.61526
2021-02-04 18:00,358.4271
2021-02-04 19:00,359.8255
2021-02-04 20:00,362.76227
2021-02-04 21:00,366.79303
2021-02-04 22:00,367.576
2021-02-04 23:00,367.56012
2021-02-02 00:00,367.98053
2021-02-02 01:00,367.64807
2021-02-02 02:00,367.65265
2021-02-02 03:00,360.611
2021-02-02 04:00,356.65332
2021-02-02 05:00,357.53873
2021-02-02 06:00,360.85092
2021-02-02 07:00,360.1858
2021-02-02 08:00,362.10855
2021-02-02 09:00,362.1184
2021-02-02 10:00,361.47525
2021-02-02 11:00,362.2807
2021-02-02 12:00,359.55685
2021-02-02 13:00,356.48428
2021-02-02 14:00,355.85486
2021-02-02 15:00,355.6226
2021-02-02 16:00,359.17365
2021-02-02 17:00,360.09842
2021-02-02 18:00,357.7894
2021-02-02 19:00,359.31003
2021-02-02 20:00,362.27545
2021-02-02 21:00,367.0704
2021-02-02 22:00,367.9687
2021-02-02 23:00,367.98688
2021-02-03 00:00,367.65887
2021-02-03 01:00,367.74884
2021-02-03 02:00,368.09497
2021-02-03 03:00,361.0957
2021-02-03 04:00,356.94965
2021-02-03 05:00,357.29578
2021-02-03 06:00,360.4632
2021-02-03 07:00,360.26407
2021-02-03 08:00,362.21808
2021-02-03 09:00,362.85532
2021-02-03 10:00,362.03128
2021-02-03 11:00,362.63873
2021-02-03 12:00,359.97647
2021-02-03 13:00,356.3769
2021-02-03 14:00,355.5369
2021-02-03 15:00,355.81763
2021-02-03 16:00,359.48297
2021-02-03 17:00,359.8973
2021-02-03 18:00,357.9563
2021-02-03 19:00,360.06427
2021-02-03 20:00,362.77228
2021-02-03 21:00,366.9914
2021-02-03 22:00,367.66693
2021-02-03 23:00,367.87048
2021-02-04 00:00,367.494
2021-02-04 01:00,367.77515
2021-02-04 02:00,367.60864
2021-02-04 03:00,361.06573
2021-02-04 04:00,357.3909
2021-02-04 05:00,358.1673
2021-02-04 06:00,361.50943
2021-02-04 07:00,361.348
2021-02-04 08:00,363.03403
2021-02-04 09:00,363.2792
2021-02-04 10:00,362.48132
2021-02-04 11:00,362.94333
2021-02-04 12:00,359.99478
2021-02-04 13:00,356.49786
2021-02-04 14:00,355.64633
2021-02-04 15:00,356.1779
2021-02-04 16:00,360.4132
2021-02-04 17:00,360.42627
2021-02-04 18:00,357.868
2021-02-04 19:00,359.87997
2021-02-04 20:00,362.4457
2021-02-04 21:00,367.0206
2021-02-04 22:00,367.52875
2021-02-04 23:00,367.57135
2021-02-05 00:00,367.17853
2021-02-05 01:00,367.57764
2021-02-05 02:00,367.78214
2021-02-05 03:00,361.2209
2021-02-05 04:00,357.33414
2021-02-05 05:00,357.85736
2021-02-05 06:00,360.37897
2021-02-05 07:00,359.9271
2021-02-05 08:00,361.23032
2021-02-05 09:00,361.42062
2021-02-05 10:00,361.04785
2021-02-05 11:00,361.8199
2021-02-05 12:00,359.84583
2021-02-05 13:00,356.6155
2021-02-05 14:00,355.6376
2021-02-05 15:00,356.23126
2021-02-05 16:00,360.18704
2021-02-05 17:00,360.32397
2021-02-05 18:00,357.76126
2021-02-05 19:00,359.4556
2021-02-05 20:00,361.7025
2021-02-05 21:00,366.04727
2021-02-05 22:00,366.92825
2021-02-05 23:00,367.38562
2021-02-03 00:00,367.0296
2021-02-03 01:00,366.76294
2021-02-03 02:00,365.65543
2021-02-03 03:00,359.95438
2021-02-03 04:00,356.259
2021-02-03 05:00,356.19254
2021-02-03 06:00,362.86084
2021-02-03 07:00,362.45148
2021-02-03 08:00,363.25726
2021-02-03 09:00,363.89493
2021-02-03 10:00,362.51117
2021-02-03 11:00,363.7397
2021-02-03 12:00,360.14423
2021-02-03 13:00,356.4915
2021-02-03 14:00,356.3998
2021-02-03 15:00,355.16983
2021-02-03 16:00,358.61035
2021-02-03 17:00,358.82065
2021-02-03 18:00,356.47055
2021-02-03 19:00,358.40436
2021-02-03 20:00,361.84973
2021-02-03 21:00,366.59958
2021-02-03 22:00,367.01373
2021-02-03 23:00,366.56952
2021-02-04 00:00,366.9159
2021-02-04 01:00,366.78986
2021-02-04 02:00,366.62167
2021-02-04 03:00,360.31427
2021-02-04 04:00,356.58228
2021-02-04 05:00,356.5229
2021-02-04 06:00,362.49335
2021-02-04 07:00,362.25903
2021-02-04 08:00,363.42096
2021-02-04 09:00,364.03986
2021-02-04 10:00,362.78723
2021-02-04 11:00,364.32428
2021-02-04 12:00,360.56473
2021-02-04 13:00,356.7371
2021-02-04 14:00,356.23184
2021-02-04 15:00,355.21814
2021-02-04 16:00,358.54956
2021-02-04 17:00,358.96466
2021-02-04 18:00,356.59103
2021-02-04 19:00,358.66592
2021-02-04 20:00,361.85245
2021-02-04 21:00,366.33694
2021-02-04 22:00,366.80096
2021-02-04 23:00,366.8453
2021-02-05 00:00,366.9641
2021-02-05 01:00,366.96768
2021-02-05 02:00,366.60825
2021-02-05 03:00,360.3686
2021-02-05 04:00,356.58838
2021-02-05 05:00,356.32578
2021-02-05 06:00,361.97568
2021-02-05 07:00,361.34625
2021-02-05 08:00,362.09955
2021-02-05 09:00,362.9501
2021-02-05 10:00,361.66315
2021-02-05 11:00,363.20953
2021-02-05 12:00,360.10898
2021-02-05 13:00,356.55362
2021-02-05 14:00,356.26886
2021-02-05 15:00,355.572
2021-02-05 16:00,359.92572
2021-02-05 17:00,360.17746
2021-02-05 18:00,357.323
2021-02-05 19:00,359.09302
2021-02-05 20:00,361.72324
2021-02-05 21:00,366.43204
2021-02-05 22:00,366.80365
2021-02-05 23:00,366.88086
2021-02-06 00:00,366.93
2021-02-06 01:00,366.6712
2021-02-06 02:00,366.25677
2021-02-06 03:00,360.10004
2021-02-06 04:00,356.106
2021-02-06 05:00,355.37067
2021-02-06 06:00,359.9292
2021-02-06 07:00,358.72516
2021-02-06 08:00,359.22644
2021-02-06 09:00,360.024
2021-02-06 10:00,359.2978
2021-02-06 11:00,361.128
2021-02-06 12:00,358.7315
2021-02-06 13:00,355.83682
2021-02-06 14:00,356.11386
2021-02-06 15:00,355.79565
2021-02-06 16:00,359.9586
2021-02-06 17:00,360.18634
2021-02-06 18:00,357.54138
2021-02-06 19:00,359.3437
2021-02-06 20:00,361.6208
2021-02-06 21:00,365.7111
2021-02-06 22:00,366.04892
2021-02-06 23:00,366.00995
2021-02-04 00:00,367.16724
2021-02-04 01:00,366.49783
2021-02-04 02:00,365.2397
2021-02-04 03:00,360.50638
2021-02-04 04:00,356.99887
2021-02-04 05:00,359.54657
2021-02-04 06:00,364.9269
2021-02-04 07:00,364.17383
2021-02-04 08:00,364.19513
2021-02-04 09:00,365.11987
2021-02-04 10:00,364.45395
2021-02-04 11:00,363.5738
2021-02-04 12:00,360.75653
2021-02-04 13:00,357.52777
2021-02-04 14:00,356.33917
2021-02-04 15:00,354.90454
2021-02-04 16:00,358.25766
2021-02-04 17:00,358.70575
2021-02-04 18:00,356.92984
2021-02-04 19:00,358.43817
2021-02-04 20:00,361.3331
2021-02-04 21:00,366.4345
2021-02-04 22:00,367.19812
2021-02-04 23:00,366.7696
2021-02-05 00:00,367.59885
2021-02-05 01:00,367.0854
2021-02-05 02:00,366.27383
2021-02-05 03:00,360.99832
2021-02-05 04:00,357.53006
2021-02-05 05:00,358.6894
2021-02-05 06:00,362.8405
2021-02-05 07:00,362.64114
2021-02-05 08:00,362.85147
