Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,339.37274
2021-02-01 01:00,337.3312
2021-02-01 02:00,338.51407
2021-02-01 03:00,330.77832
2021-02-01 04:00,331.13223
2021-02-01 05:00,329.3704
2021-02-01 06:00,332.12863
2021-02-01 07:00,335.0324
2021-02-01 08:00,323.75507
2021-02-01 09:00,340.9886
2021-02-01 10:00,353.97186
2021-02-01 11:00,350.04337
2021-02-01 12:00,352.2728
2021-02-01 13:00,359.5974
2021-02-01 14:00,368.03735
2021-02-01 15:00,368.53494
2021-02-01 16:00,367.83585
2021-02-01 17:00,359.49435
2021-02-01 18:00,335.32913
2021-02-01 19:00,333.83682
2021-02-01 20:00,339.8396
2021-02-01 21:00,341.94598
2021-02-01 22:00,347.36285
2021-02-01 23:00,350.98834
2021-02-02 00:00,342.3441
2021-02-02 01:00,337.93475
2021-02-02 02:00,339.58868
2021-02-02 03:00,332.13104
2021-02-02 04:00,332.49182
2021-02-02 05:00,331.0804
2021-02-02 06:00,333.13727
2021-02-02 07:00,335.09253
2021-02-02 08:00,324.63837
2021-02-02 09:00,342.43832
2021-02-02 10:00,355.59982
2021-02-02 11:00,351.88345
2021-02-02 12:00,353.37698
2021-02-02 13:00,361.33325
2021-02-02 14:00,369.51218
2021-02-02 15:00,370.22095
2021-02-02 16:00,369.07535
2021-02-02 17:00,360.2538
2021-02-02 18:00,336.85825
2021-02-02 19:00,336.82553
2021-02-02 20:00,344.30255
2021-02-02 21:00,345.496
2021-02-02 22:00,348.94415
2021-02-02 23:00,351.32343
2021-02-03 00:00,343.1742
2021-02-03 01:00,338.66324
2021-02-03 02:00,340.0428
2021-02-03 03:00,332.4501
2021-02-03 04:00,333.44376
2021-02-03 05:00,332.43896
2021-02-03 06:00,334.92657
2021-02-03 07:00,337.09525
2021-02-03 08:00,325.83914
2021-02-03 09:00,344.267
2021-02-03 10:00,357.97128
2021-02-03 11:00,354.05884
2021-02-03 12:00,355.66333
2021-02-03 13:00,363.22296
2021-02-03 14:00,371.53482
2021-02-03 15:00,372.80496
2021-02-03 16:00,372.293
2021-02-03 17:00,363.1745
2021-02-03 18:00,338.97177
2021-02-03 19:00,338.70987
2021-02-03 20:00,347.77255
2021-02-03 21:00,348.17215
2021-02-03 22:00,350.81595
2021-02-03 23:00,352.5329
2021-02-04 00:00,343.84235
2021-02-04 01:00,339.0025
2021-02-04 02:00,340.7064
2021-02-04 03:00,332.81805
2021-02-04 04:00,333.17725
2021-02-04 05:00,332.67365
2021-02-04 06:00,335.4074
2021-02-04 07:00,337.42197
2021-02-04 08:00,326.19427
2021-02-04 09:00,344.57278
2021-02-04 10:00,357.53125
2021-02-04 11:00,353.3973
2021-02-04 12:00,354.69064
2021-02-04 13:00,362.6087
2021-02-04 14:00,370.57663
2021-02-04 15:00,371.8381
2021-02-04 16:00,371.95343
2021-02-04 17:00,363.4746
2021-02-04 18:00,339.08624
2021-02-04 19:00,338.27026
2021-02-04 20:00,346.37836
2021-02-04 21:00,347.18616
2021-02-04 22:00,349.52853
2021-02-04 23:00,351.1712
2021-02-02 00:00,337.39426
2021-02-02 01:00,334.32904
2021-02-02 02:00,334.7841
2021-02-02 03:00,327.76242
2021-02-02 04:00,328.30704
2021-02-02 05:00,327.59238
2021-02-02 06:00,329.4962
2021-02-02 07:00,333.33636
2021-02-02 08:00,321.0025
2021-02-02 09:00,341.96368
2021-02-02 10:00,356.03995
2021-02-02 11:00,352.6513
2021-02-02 12:00,353.96805
2021-02-02 13:00,360.7326
2021-02-02 14:00,368.18805
2021-02-02 15:00,369.21417
2021-02-02 16:00,367.48822
2021-02-02 17:00,359.85352
2021-02-02 18:00,334.2939
2021-02-02 19:00,333.2976
2021-02-02 20:00,342.39075
2021-02-02 21:00,343.5666
2021-02-02 22:00,346.45517
2021-02-02 23:00,350.25177
2021-02-03 00:00,340.468
2021-02-03 01:00,335.90875
2021-02-03 02:00,336.6617
2021-02-03 03:00,329.99786
2021-02-03 04:00,331.17236
2021-02-03 05:00,330.13162
2021-02-03 06:00,330.43674
2021-02-03 07:00,334.82446
2021-02-03 08:00,322.5439
2021-02-03 09:00,343.15033
2021-02-03 10:00,356.77847
2021-02-03 11:00,352.96692
2021-02-03 12:00,354.15732
2021-02-03 13:00,361.41168
2021-02-03 14:00,368.7201
2021-02-03 15:00,369.89557
2021-02-03 16:00,368.99753
2021-02-03 17:00,360.96695
2021-02-03 18:00,334.96545
2021-02-03 19:00,333.72736
2021-02-03 20:00,343.21994
2021-02-03 21:00,344.0839
2021-02-03 22:00,347.06894
2021-02-03 23:00,350.3161
2021-02-04 00:00,341.83395
2021-02-04 01:00,337.77203
2021-02-04 02:00,337.8651
2021-02-04 03:00,330.77795
2021-02-04 04:00,331.36478
2021-02-04 05:00,330.161
2021-02-04 06:00,331.32806
2021-02-04 07:00,335.7185
2021-02-04 08:00,322.8813
2021-02-04 09:00,343.98224
2021-02-04 10:00,357.15872
2021-02-04 11:00,353.1036
2021-02-04 12:00,354.7848
2021-02-04 13:00,362.15094
2021-02-04 14:00,369.31238
2021-02-04 15:00,370.70895
2021-02-04 16:00,370.1124
2021-02-04 17:00,362.0338
2021-02-04 18:00,336.091
2021-02-04 19:00,334.8941
2021-02-04 20:00,345.1206
2021-02-04 21:00,344.9059
2021-02-04 22:00,347.65494
2021-02-04 23:00,350.85938
2021-02-05 00:00,341.962
2021-02-05 01:00,337.5267
2021-02-05 02:00,338.76697
2021-02-05 03:00,331.3155
2021-02-05 04:00,332.02585
2021-02-05 05:00,330.6732
2021-02-05 06:00,331.684
2021-02-05 07:00,336.19238
2021-02-05 08:00,323.29315
2021-02-05 09:00,343.81677
2021-02-05 10:00,356.77106
2021-02-05 11:00,352.98102
2021-02-05 12:00,354.87994
2021-02-05 13:00,362.25952
2021-02-05 14:00,368.85614
2021-02-05 15:00,370.82315
2021-02-05 16:00,370.7218
2021-02-05 17:00,363.14386
2021-02-05 18:00,337.13004
2021-02-05 19:00,335.6399
2021-02-05 20:00,344.93185
2021-02-05 21:00,344.68106
2021-02-05 22:00,347.21237
2021-02-05 23:00,350.39935
2021-02-03 00:00,320.38998
2021-02-03 01:00,321.3648
2021-02-03 02:00,323.28833
2021-02-03 03:00,319.50095
2021-02-03 04:00,321.17163
