Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,410.8383
2021-02-01 01:00,411.0595
2021-02-01 02:00,411.5893
2021-02-01 03:00,412.11026
2021-02-01 04:00,412.232
2021-02-01 05:00,408.70538
2021-02-01 06:00,402.83316
2021-02-01 07:00,393.03436
2021-02-01 08:00,390.39764
2021-02-01 09:00,393.08807
2021-02-01 10:00,394.6154
2021-02-01 11:00,395.92102
2021-02-01 12:00,398.56366
2021-02-01 13:00,399.64117
2021-02-01 14:00,395.738
2021-02-01 15:00,382.22998
2021-02-01 16:00,373.36923
2021-02-01 17:00,375.4156
2021-02-01 18:00,382.9466
2021-02-01 19:00,390.19495
2021-02-01 20:00,398.94403
2021-02-01 21:00,407.4432
2021-02-01 22:00,415.81827
2021-02-01 23:00,420.2443
2021-02-02 00:00,422.31934
2021-02-02 01:00,422.73065
2021-02-02 02:00,423.8163
2021-02-02 03:00,423.03302
2021-02-02 04:00,422.57584
2021-02-02 05:00,419.2386
2021-02-02 06:00,412.7696
2021-02-02 07:00,403.521
2021-02-02 08:00,398.09857
2021-02-02 09:00,397.45563
2021-02-02 10:00,399.5686
2021-02-02 11:00,402.16217
2021-02-02 12:00,404.1141
2021-02-02 13:00,404.10675
2021-02-02 14:00,401.31567
2021-02-02 15:00,389.12506
2021-02-02 16:00,379.25995
2021-02-02 17:00,377.50537
2021-02-02 18:00,382.00516
2021-02-02 19:00,388.7342
2021-02-02 20:00,396.40384
2021-02-02 21:00,403.72293
2021-02-02 22:00,410.88077
2021-02-02 23:00,415.90576
2021-02-03 00:00,419.24323
2021-02-03 01:00,419.54752
2021-02-03 02:00,419.64862
2021-02-03 03:00,418.85068
2021-02-03 04:00,416.58862
2021-02-03 05:00,412.14746
2021-02-03 06:00,406.85077
2021-02-03 07:00,400.6895
2021-02-03 08:00,398.99905
2021-02-03 09:00,398.8276
2021-02-03 10:00,399.4869
2021-02-03 11:00,399.5429
2021-02-03 12:00,400.3955
2021-02-03 13:00,399.87103
