Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,401.47726
2021-02-01 01:00,402.57803
2021-02-01 02:00,403.71393
2021-02-01 03:00,406.2792
2021-02-01 04:00,407.955
2021-02-01 05:00,409.44156
2021-02-01 06:00,410.50284
2021-02-01 07:00,411.6888
2021-02-01 08:00,412.5114
2021-02-01 09:00,413.07257
2021-02-01 10:00,414.40146
2021-02-01 11:00,415.4654
2021-02-01 12:00,416.14413
2021-02-01 13:00,416.4026
2021-02-01 14:00,416.49762
2021-02-01 15:00,416.7605
2021-02-01 16:00,416.98697
2021-02-01 17:00,418.27945
2021-02-01 18:00,419.31357
2021-02-01 19:00,420.41168
2021-02-01 20:00,421.02914
2021-02-01 21:00,420.85727
2021-02-01 22:00,420.11322
2021-02-01 23:00,419.74725
2021-02-02 00:00,420.3388
2021-02-02 01:00,420.83887
2021-02-02 02:00,421.39062
2021-02-02 03:00,422.2873
2021-02-02 04:00,423.1429
2021-02-02 05:00,423.92758
2021-02-02 06:00,424.66943
2021-02-02 07:00,425.60733
2021-02-02 08:00,426.75766
2021-02-02 09:00,427.70703
2021-02-02 10:00,428.42682
2021-02-02 11:00,429.16388
2021-02-02 12:00,429.41934
2021-02-02 13:00,429.24365
2021-02-02 14:00,429.36768
2021-02-02 15:00,429.84247
2021-02-02 16:00,431.1009
2021-02-02 17:00,431.55948
2021-02-02 18:00,431.60864
2021-02-02 19:00,432.12274
2021-02-02 20:00,432.28644
2021-02-02 21:00,432.21826
2021-02-02 22:00,432.013
2021-02-02 23:00,432.25986
2021-02-03 00:00,432.51715
2021-02-03 01:00,432.8167
2021-02-03 02:00,432.9834
2021-02-03 03:00,432.9319
2021-02-03 04:00,432.5499
2021-02-03 05:00,432.2959
2021-02-03 06:00,433.1259
2021-02-03 07:00,433.80347
2021-02-03 08:00,433.74457
2021-02-03 09:00,433.8742
2021-02-03 10:00,433.93878
2021-02-03 11:00,434.5385
2021-02-03 12:00,434.78546
2021-02-03 13:00,434.47842
2021-02-03 14:00,433.63556
2021-02-03 15:00,433.77557
2021-02-03 16:00,433.9542
2021-02-03 17:00,434.18155
2021-02-03 18:00,434.30435
2021-02-03 19:00,434.2486
2021-02-03 20:00,434.23575
2021-02-03 21:00,433.74872
2021-02-03 22:00,433.37808
2021-02-03 23:00,432.78867
2021-02-04 00:00,433.47876
2021-02-04 01:00,433.77515
2021-02-04 02:00,433.88104
2021-02-04 03:00,434.493
2021-02-04 04:00,435.13882
2021-02-04 05:00,435.3576
2021-02-04 06:00,435.3366
2021-02-04 07:00,435.3108
2021-02-04 08:00,435.51788
2021-02-04 09:00,435.40778
2021-02-04 10:00,436.0161
2021-02-04 11:00,436.93237
2021-02-04 12:00,438.0564
2021-02-04 13:00,438.86212
2021-02-04 14:00,438.70636
2021-02-04 15:00,439.11743
2021-02-04 16:00,439.3715
2021-02-04 17:00,439.3025
2021-02-04 18:00,439.00546
2021-02-04 19:00,438.79248
2021-02-04 20:00,439.16992
2021-02-04 21:00,439.4204
2021-02-04 22:00,439.32675
2021-02-04 23:00,439.79962
2021-02-02 00:00,430.253
2021-02-02 01:00,428.94327
2021-02-02 02:00,428.03925
2021-02-02 03:00,428.38412
2021-02-02 04:00,429.3501
2021-02-02 05:00,429.74933
2021-02-02 06:00,430.15176
2021-02-02 07:00,429.59894
2021-02-02 08:00,428.88495
2021-02-02 09:00,427.51703
2021-02-02 10:00,426.29355
2021-02-02 11:00,425.7837
2021-02-02 12:00,424.97485
2021-02-02 13:00,423.40527
2021-02-02 14:00,423.12885
2021-02-02 15:00,423.2902
2021-02-02 16:00,423.7329
2021-02-02 17:00,423.56607
2021-02-02 18:00,423.78223
2021-02-02 19:00,423.6337
2021-02-02 20:00,423.60498
2021-02-02 21:00,423.31168
2021-02-02 22:00,423.0209
2021-02-02 23:00,422.85986
2021-02-03 00:00,423.1961
2021-02-03 01:00,422.99023
2021-02-03 02:00,422.62524
2021-02-03 03:00,422.70615
2021-02-03 04:00,422.80743
2021-02-03 05:00,422.43076
2021-02-03 06:00,421.58838
2021-02-03 07:00,420.83344
2021-02-03 08:00,420.5373
2021-02-03 09:00,419.99496
2021-02-03 10:00,419.92807
2021-02-03 11:00,419.52774
2021-02-03 12:00,419.07486
2021-02-03 13:00,418.59433
2021-02-03 14:00,418.94012
2021-02-03 15:00,419.77197
2021-02-03 16:00,419.6089
2021-02-03 17:00,418.9523
2021-02-03 18:00,419.31723
2021-02-03 19:00,419.0498
2021-02-03 20:00,417.9328
2021-02-03 21:00,415.288
2021-02-03 22:00,414.1269
2021-02-03 23:00,413.5294
2021-02-04 00:00,413.27725
2021-02-04 01:00,413.0861
2021-02-04 02:00,414.2496
2021-02-04 03:00,415.97745
2021-02-04 04:00,416.1582
2021-02-04 05:00,415.6063
2021-02-04 06:00,414.8758
2021-02-04 07:00,414.98834
2021-02-04 08:00,415.9686
2021-02-04 09:00,417.0966
2021-02-04 10:00,419.56158
2021-02-04 11:00,420.77905
2021-02-04 12:00,420.35498
2021-02-04 13:00,419.98428
2021-02-04 14:00,420.14047
2021-02-04 15:00,420.2667
2021-02-04 16:00,419.88525
2021-02-04 17:00,419.72418
2021-02-04 18:00,420.26025
2021-02-04 19:00,420.96274
2021-02-04 20:00,420.956
2021-02-04 21:00,419.88208
2021-02-04 22:00,419.94855
2021-02-04 23:00,419.50845
2021-02-05 00:00,419.81763
2021-02-05 01:00,419.3438
2021-02-05 02:00,419.1503
2021-02-05 03:00,419.46387
2021-02-05 04:00,420.22876
2021-02-05 05:00,420.90692
2021-02-05 06:00,421.77655
2021-02-05 07:00,422.40527
2021-02-05 08:00,424.07867
2021-02-05 09:00,425.41748
2021-02-05 10:00,426.2155
2021-02-05 11:00,427.29694
2021-02-05 12:00,427.90656
2021-02-05 13:00,428.39005
2021-02-05 14:00,429.36563
2021-02-05 15:00,431.34766
2021-02-05 16:00,432.44107
2021-02-05 17:00,432.8505
2021-02-05 18:00,433.30362
2021-02-05 19:00,433.90192
2021-02-05 20:00,433.54288
2021-02-05 21:00,433.2315
2021-02-05 22:00,432.93768
2021-02-05 23:00,433.54575
2021-02-03 00:00,425.91095
2021-02-03 01:00,425.3755
2021-02-03 02:00,424.9461
2021-02-03 03:00,424.75275
2021-02-03 04:00,423.96698
2021-02-03 05:00,423.21167
2021-02-03 06:00,422.5851
2021-02-03 07:00,422.75885
2021-02-03 08:00,422.6814
2021-02-03 09:00,422.63507
2021-02-03 10:00,422.76288
2021-02-03 11:00,421.93475
2021-02-03 12:00,420.95734
2021-02-03 13:00,419.7914
2021-02-03 14:00,419.3672
2021-02-03 15:00,420.82617
2021-02-03 16:00,421.88623
2021-02-03 17:00,422.35147
2021-02-03 18:00,421.93457
2021-02-03 19:00,422.3231
2021-02-03 20:00,421.68408
2021-02-03 21:00,422.0835
2021-02-03 22:00,422.7998
2021-02-03 23:00,424.12045
2021-02-04 00:00,423.95908
2021-02-04 01:00,423.7093
2021-02-04 02:00,422.63495
2021-02-04 03:00,421.8251
2021-02-04 04:00,422.18646
2021-02-04 05:00,422.66852
2021-02-04 06:00,422.38666
2021-02-04 07:00,423.34756
2021-02-04 08:00,423.7663
2021-02-04 09:00,424.3788
2021-02-04 10:00,424.087
2021-02-04 11:00,424.56705
2021-02-04 12:00,424.8287
2021-02-04 13:00,424.3731
2021-02-04 14:00,423.26416
2021-02-04 15:00,423.30875
2021-02-04 16:00,424.09692
2021-02-04 17:00,424.3081
2021-02-04 18:00,424.19278
2021-02-04 19:00,424.93295
2021-02-04 20:00,425.5895
2021-02-04 21:00,426.09048
2021-02-04 22:00,425.77985
2021-02-04 23:00,426.04434
2021-02-05 00:00,425.6272
2021-02-05 01:00,425.96402
2021-02-05 02:00,426.94873
2021-02-05 03:00,428.2085
2021-02-05 04:00,429.42114
2021-02-05 05:00,430.4715
2021-02-05 06:00,430.71906
2021-02-05 07:00,431.4157
2021-02-05 08:00,431.80975
2021-02-05 09:00,432.96402
2021-02-05 10:00,432.6395
2021-02-05 11:00,432.39243
2021-02-05 12:00,433.32745
2021-02-05 13:00,434.50385
2021-02-05 14:00,435.3675
2021-02-05 15:00,436.04834
2021-02-05 16:00,435.9877
2021-02-05 17:00,435.5901
2021-02-05 18:00,435.37036
2021-02-05 19:00,436.23077
2021-02-05 20:00,436.52988
2021-02-05 21:00,437.6905
2021-02-05 22:00,437.49112
2021-02-05 23:00,437.85977
2021-02-06 00:00,438.41293
2021-02-06 01:00,438.2373
2021-02-06 02:00,438.50848
2021-02-06 03:00,438.57324
2021-02-06 04:00,438.31866
2021-02-06 05:00,437.88663
2021-02-06 06:00,437.18988
2021-02-06 07:00,436.58878
2021-02-06 08:00,435.4743
2021-02-06 09:00,435.43927
2021-02-06 10:00,434.8343
2021-02-06 11:00,435.07724
2021-02-06 12:00,435.4649
2021-02-06 13:00,435.75537
2021-02-06 14:00,435.7054
2021-02-06 15:00,435.64468
2021-02-06 16:00,436.08755
2021-02-06 17:00,436.20712
2021-02-06 18:00,436.04428
2021-02-06 19:00,437.1849
2021-02-06 20:00,437.7688
2021-02-06 21:00,438.79926
2021-02-06 22:00,439.13086
2021-02-06 23:00,440.03632
2021-02-04 00:00,443.3244
2021-02-04 01:00,442.20468
2021-02-04 02:00,441.177
2021-02-04 03:00,441.53027
2021-02-04 04:00,440.83905
2021-02-04 05:00,440.53827
2021-02-04 06:00,440.37363
2021-02-04 07:00,439.6867
2021-02-04 08:00,438.19394
2021-02-04 09:00,438.4406
2021-02-04 10:00,438.63715
2021-02-04 11:00,439.0158
2021-02-04 12:00,438.45428
2021-02-04 13:00,438.3418
2021-02-04 14:00,438.39435
2021-02-04 15:00,438.73248
2021-02-04 16:00,439.12598
2021-02-04 17:00,439.25253
2021-02-04 18:00,439.5943
2021-02-04 19:00,439.8203
2021-02-04 20:00,439.66016
2021-02-04 21:00,439.80655
2021-02-04 22:00,439.74542
2021-02-04 23:00,439.87305
2021-02-05 00:00,439.8068
2021-02-05 01:00,439.71722
2021-02-05 02:00,439.3396
2021-02-05 03:00,439.67554
2021-02-05 04:00,439.24496
2021-02-05 05:00,439.67065
2021-02-05 06:00,439.61914
2021-02-05 07:00,440.06757
2021-02-05 08:00,439.64105
2021-02-05 09:00,439.60678
2021-02-05 10:00,439.64893
2021-02-05 11:00,440.22202
2021-02-05 12:00,440.50546
2021-02-05 13:00,440.6032
2021-02-05 14:00,440.06146
2021-02-05 15:00,439.87274
2021-02-05 16:00,439.6411
2021-02-05 17:00,439.89096
2021-02-05 18:00,439.96222
2021-02-05 19:00,440.02386
2021-02-05 20:00,439.9646
2021-02-05 21:00,440.46768
2021-02-05 22:00,440.64365
2021-02-05 23:00,440.79575
2021-02-06 00:00,440.98364
2021-02-06 01:00,441.27246
2021-02-06 02:00,441.62598
2021-02-06 03:00,442.6499
2021-02-06 04:00,442.6648
2021-02-06 05:00,443.1832
2021-02-06 06:00,443.48212
2021-02-06 07:00,443.23746
2021-02-06 08:00,442.85016
2021-02-06 09:00,443.0503
2021-02-06 10:00,443.1045
2021-02-06 11:00,443.8541
2021-02-06 12:00,443.73935
2021-02-06 13:00,444.2193
2021-02-06 14:00,444.883
2021-02-06 15:00,445.33783
2021-02-06 16:00,445.70743
2021-02-06 17:00,445.62857
2021-02-06 18:00,444.8189
2021-02-06 19:00,444.25366
2021-02-06 20:00,443.4348
2021-02-06 21:00,443.72626
2021-02-06 22:00,443.99683
2021-02-06 23:00,443.9833
2021-02-07 00:00,443.6142
2021-02-07 01:00,443.2667
2021-02-07 02:00,442.78778
2021-02-07 03:00,443.1042
2021-02-07 04:00,442.76617
2021-02-07 05:00,442.92935
2021-02-07 06:00,442.9423
2021-02-07 07:00,443.04233
2021-02-07 08:00,443.06787
2021-02-07 09:00,444.08698
2021-02-07 10:00,444.49677
2021-02-07 11:00,445.26764
2021-02-07 12:00,445.44427
2021-02-07 13:00,445.80933
2021-02-07 14:00,445.72226
2021-02-07 15:00,446.06406
2021-02-07 16:00,446.09122
2021-02-07 17:00,446.20273
2021-02-07 18:00,446.0122
2021-02-07 19:00,446.30878
2021-02-07 20:00,446.09637
2021-02-07 21:00,446.0578
2021-02-07 22:00,446.30444
2021-02-07 23:00,446.3803
2021-02-05 00:00,397.5158
2021-02-05 01:00,399.68243
2021-02-05 02:00,401.81757
2021-02-05 03:00,403.4632
2021-02-05 04:00,403.58487
2021-02-05 05:00,404.89404
2021-02-05 06:00,406.3432
2021-02-05 07:00,407.29254
2021-02-05 08:00,408.01236
2021-02-05 09:00,408.7868
2021-02-05 10:00,410.1276
2021-02-05 11:00,411.74112
2021-02-05 12:00,413.01498
2021-02-05 13:00,414.90714
