Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,0.5186407
2021-02-01 01:00,0.43398738
2021-02-01 02:00,0.4278633
2021-02-01 03:00,0.4691655
2021-02-01 04:00,0.53302896
2021-02-01 05:00,0.54079497
2021-02-01 06:00,0.5518218
2021-02-01 07:00,0.5562464
2021-02-01 08:00,0.5426875
2021-02-01 09:00,0.5227925
2021-02-01 10:00,0.49455166
2021-02-01 11:00,0.47047073
2021-02-01 12:00,0.46600437
2021-02-01 13:00,0.44435573
2021-02-01 14:00,0.42990375
2021-02-01 15:00,0.41569558
2021-02-01 16:00,0.41937566
2021-02-01 17:00,0.4213864
2021-02-01 18:00,0.42446023
2021-02-01 19:00,0.3623659
2021-02-01 20:00,0.35545534
2021-02-01 21:00,0.3485007
2021-02-01 22:00,0.33753276
2021-02-01 23:00,0.35034055
2021-02-02 00:00,0.35998756
2021-02-02 01:00,0.36298424
2021-02-02 02:00,0.38220403
2021-02-02 03:00,0.41908956
2021-02-02 04:00,0.48613143
2021-02-02 05:00,0.50066483
2021-02-02 06:00,0.5117712
2021-02-02 07:00,0.51910996
2021-02-02 08:00,0.53389686
2021-02-02 09:00,0.5144727
2021-02-02 10:00,0.4931721
2021-02-02 11:00,0.46965352
2021-02-02 12:00,0.44653708
2021-02-02 13:00,0.44207746
2021-02-02 14:00,0.43037587
2021-02-02 15:00,0.4155008
2021-02-02 16:00,0.4219622
2021-02-02 17:00,0.42508855
2021-02-02 18:00,0.42046523
2021-02-02 19:00,0.36029544
2021-02-02 20:00,0.34982282
2021-02-02 21:00,0.34195486
2021-02-02 22:00,0.34084645
2021-02-02 23:00,0.35938397
2021-02-03 00:00,0.36745247
2021-02-03 01:00,0.36554056
2021-02-03 02:00,0.3859372
2021-02-03 03:00,0.4229425
2021-02-03 04:00,0.49865532
2021-02-03 05:00,0.5111187
2021-02-03 06:00,0.51677185
2021-02-03 07:00,0.5176192
2021-02-03 08:00,0.5136015
2021-02-03 09:00,0.5014494
2021-02-03 10:00,0.4782571
2021-02-03 11:00,0.4509355
2021-02-03 12:00,0.43042365
2021-02-03 13:00,0.42700368
2021-02-03 14:00,0.42065877
2021-02-03 15:00,0.41140404
2021-02-03 16:00,0.41799036
2021-02-03 17:00,0.41649467
2021-02-03 18:00,0.41139102
2021-02-03 19:00,0.35409594
2021-02-03 20:00,0.3493829
2021-02-03 21:00,0.34434
2021-02-03 22:00,0.34000796
2021-02-03 23:00,0.35439232
2021-02-04 00:00,0.35812187
2021-02-04 01:00,0.3581018
2021-02-04 02:00,0.37181285
2021-02-04 03:00,0.40701422
2021-02-04 04:00,0.47556096
2021-02-04 05:00,0.50438416
2021-02-04 06:00,0.516147
2021-02-04 07:00,0.522507
2021-02-04 08:00,0.51893866
2021-02-04 09:00,0.5031191
2021-02-04 10:00,0.47483402
2021-02-04 11:00,0.45387244
2021-02-04 12:00,0.4404799
2021-02-04 13:00,0.43208346
2021-02-04 14:00,0.4226268
2021-02-04 15:00,0.40912288
2021-02-04 16:00,0.41751012
2021-02-04 17:00,0.42309505
2021-02-04 18:00,0.4189046
2021-02-04 19:00,0.36082706
2021-02-04 20:00,0.3533206
2021-02-04 21:00,0.34171554
2021-02-04 22:00,0.34781995
2021-02-04 23:00,0.36918384
2021-02-02 00:00,0.37449542
2021-02-02 01:00,0.41174445
2021-02-02 02:00,0.42218274
2021-02-02 03:00,0.4585317
2021-02-02 04:00,0.54458296
2021-02-02 05:00,0.592851
2021-02-02 06:00,0.5934023
2021-02-02 07:00,0.60250115
2021-02-02 08:00,0.61537653
2021-02-02 09:00,0.6305603
2021-02-02 10:00,0.6472863
2021-02-02 11:00,0.67223746
2021-02-02 12:00,0.6467137
2021-02-02 13:00,0.6624713
2021-02-02 14:00,0.67437136
2021-02-02 15:00,0.5694855
2021-02-02 16:00,0.49316186
2021-02-02 17:00,0.48105472
2021-02-02 18:00,0.43287048
2021-02-02 19:00,0.36842704
2021-02-02 20:00,0.35966557
2021-02-02 21:00,0.34711072
2021-02-02 22:00,0.34850833
2021-02-02 23:00,0.3841688
2021-02-03 00:00,0.41857013
2021-02-03 01:00,0.4451434
2021-02-03 02:00,0.44918045
2021-02-03 03:00,0.45550722
2021-02-03 04:00,0.51970357
2021-02-03 05:00,0.55478066
2021-02-03 06:00,0.5518421
2021-02-03 07:00,0.54631877
2021-02-03 08:00,0.58172935
2021-02-03 09:00,0.55745214
2021-02-03 10:00,0.55386084
2021-02-03 11:00,0.532111
2021-02-03 12:00,0.53547037
2021-02-03 13:00,0.5300158
2021-02-03 14:00,0.53316605
2021-02-03 15:00,0.46046552
2021-02-03 16:00,0.43995327
2021-02-03 17:00,0.4511304
2021-02-03 18:00,0.41986984
2021-02-03 19:00,0.35637468
2021-02-03 20:00,0.34734586
2021-02-03 21:00,0.33471054
2021-02-03 22:00,0.3399123
2021-02-03 23:00,0.3627982
2021-02-04 00:00,0.3936658
2021-02-04 01:00,0.40056401
2021-02-04 02:00,0.4155497
2021-02-04 03:00,0.45460185
2021-02-04 04:00,0.5305297
2021-02-04 05:00,0.5521437
2021-02-04 06:00,0.5501262
2021-02-04 07:00,0.5424563
2021-02-04 08:00,0.539852
2021-02-04 09:00,0.52900493
2021-02-04 10:00,0.553879
2021-02-04 11:00,0.5785157
2021-02-04 12:00,0.5596875
2021-02-04 13:00,0.53495073
2021-02-04 14:00,0.52087075
2021-02-04 15:00,0.42966023
2021-02-04 16:00,0.4085824
2021-02-04 17:00,0.4144166
2021-02-04 18:00,0.41184133
2021-02-04 19:00,0.3528263
2021-02-04 20:00,0.33750454
2021-02-04 21:00,0.3378344
2021-02-04 22:00,0.35127848
2021-02-04 23:00,0.38426632
2021-02-05 00:00,0.42612535
2021-02-05 01:00,0.42392105
2021-02-05 02:00,0.42104807
2021-02-05 03:00,0.43693218
2021-02-05 04:00,0.50082767
2021-02-05 05:00,0.53117144
2021-02-05 06:00,0.5363578
2021-02-05 07:00,0.53141093
2021-02-05 08:00,0.5370556
2021-02-05 09:00,0.51429474
2021-02-05 10:00,0.50744414
2021-02-05 11:00,0.50991416
2021-02-05 12:00,0.53082615
2021-02-05 13:00,0.49395752
2021-02-05 14:00,0.46821696
2021-02-05 15:00,0.41850287
2021-02-05 16:00,0.4005844
2021-02-05 17:00,0.41460386
2021-02-05 18:00,0.40799323
2021-02-05 19:00,0.3460014
2021-02-05 20:00,0.3286175
2021-02-05 21:00,0.3190723
2021-02-05 22:00,0.31907067
2021-02-05 23:00,0.3441462
2021-02-03 00:00,0.3412604
2021-02-03 01:00,0.34188938
2021-02-03 02:00,0.3514211
2021-02-03 03:00,0.38576898
2021-02-03 04:00,0.5003131
2021-02-03 05:00,0.5191292
2021-02-03 06:00,0.5319704
2021-02-03 07:00,0.536857
2021-02-03 08:00,0.5352677
2021-02-03 09:00,0.5256295
2021-02-03 10:00,0.49842912
2021-02-03 11:00,0.47311696
2021-02-03 12:00,0.4484765
2021-02-03 13:00,0.4446712
2021-02-03 14:00,0.44935966
2021-02-03 15:00,0.44683498
2021-02-03 16:00,0.47308666
2021-02-03 17:00,0.46876264
2021-02-03 18:00,0.43835378
2021-02-03 19:00,0.35707873
2021-02-03 20:00,0.3357427
2021-02-03 21:00,0.31710014
2021-02-03 22:00,0.3140108
2021-02-03 23:00,0.32925034
2021-02-04 00:00,0.34328553
2021-02-04 01:00,0.35027027
