Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,401.9201
2021-02-01 01:00,398.41864
2021-02-01 02:00,396.63605
2021-02-01 03:00,399.45135
2021-02-01 04:00,411.1377
2021-02-01 05:00,429.07416
2021-02-01 06:00,440.98456
2021-02-01 07:00,447.04745
2021-02-01 08:00,446.29645
2021-02-01 09:00,442.03818
2021-02-01 10:00,437.04752
2021-02-01 11:00,436.24384
2021-02-01 12:00,437.68878
2021-02-01 13:00,443.71405
2021-02-01 14:00,455.06567
2021-02-01 15:00,462.75812
2021-02-01 16:00,463.84677
2021-02-01 17:00,462.6944
2021-02-01 18:00,459.623
2021-02-01 19:00,455.32632
2021-02-01 20:00,443.40225
2021-02-01 21:00,429.70367
2021-02-01 22:00,416.21625
2021-02-01 23:00,408.39093
2021-02-02 00:00,404.61597
2021-02-02 01:00,400.31705
2021-02-02 02:00,398.0403
2021-02-02 03:00,398.84033
2021-02-02 04:00,409.19037
2021-02-02 05:00,425.9003
2021-02-02 06:00,437.4047
2021-02-02 07:00,441.71777
2021-02-02 08:00,438.8706
2021-02-02 09:00,433.75568
2021-02-02 10:00,429.1983
2021-02-02 11:00,428.30573
2021-02-02 12:00,429.71786
2021-02-02 13:00,435.76376
2021-02-02 14:00,446.74332
2021-02-02 15:00,455.5936
2021-02-02 16:00,457.9297
2021-02-02 17:00,457.49936
2021-02-02 18:00,454.0157
2021-02-02 19:00,448.90518
2021-02-02 20:00,438.8709
2021-02-02 21:00,428.2286
2021-02-02 22:00,418.06143
2021-02-02 23:00,411.99033
2021-02-03 00:00,409.07886
2021-02-03 01:00,405.0504
2021-02-03 02:00,403.857
2021-02-03 03:00,406.9335
2021-02-03 04:00,418.96954
2021-02-03 05:00,436.25742
2021-02-03 06:00,450.0818
2021-02-03 07:00,456.34552
2021-02-03 08:00,455.1031
2021-02-03 09:00,450.99268
2021-02-03 10:00,446.84247
2021-02-03 11:00,446.02228
2021-02-03 12:00,447.0311
2021-02-03 13:00,451.81445
2021-02-03 14:00,460.48886
2021-02-03 15:00,466.4336
2021-02-03 16:00,466.61807
2021-02-03 17:00,464.0865
2021-02-03 18:00,459.07025
2021-02-03 19:00,450.89804
2021-02-03 20:00,437.79337
2021-02-03 21:00,423.642
2021-02-03 22:00,410.68085
2021-02-03 23:00,401.91806
2021-02-04 00:00,396.9546
2021-02-04 01:00,392.1231
2021-02-04 02:00,390.74918
2021-02-04 03:00,393.3789
2021-02-04 04:00,404.16333
2021-02-04 05:00,419.71747
2021-02-04 06:00,431.3703
2021-02-04 07:00,437.38126
2021-02-04 08:00,437.3492
2021-02-04 09:00,434.22134
2021-02-04 10:00,431.32236
2021-02-04 11:00,431.20792
2021-02-04 12:00,433.5648
2021-02-04 13:00,440.23584
2021-02-04 14:00,450.91342
2021-02-04 15:00,458.57196
2021-02-04 16:00,459.91202
2021-02-04 17:00,458.64542
2021-02-04 18:00,454.9852
2021-02-04 19:00,448.03964
2021-02-04 20:00,436.10263
2021-02-04 21:00,423.4168
2021-02-04 22:00,411.63428
2021-02-04 23:00,403.9698
2021-02-02 00:00,495.00372
2021-02-02 01:00,483.54028
2021-02-02 02:00,475.85687
2021-02-02 03:00,474.73618
2021-02-02 04:00,482.72778
2021-02-02 05:00,495.91852
2021-02-02 06:00,503.9737
2021-02-02 07:00,506.59335
2021-02-02 08:00,502.3068
2021-02-02 09:00,494.58115
2021-02-02 10:00,488.35947
