Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,19.444193
2021-02-01 01:00,19.414455
2021-02-01 02:00,19.516748
2021-02-01 03:00,19.707031
2021-02-01 04:00,20.122921
2021-02-01 05:00,21.904154
2021-02-01 06:00,23.790737
2021-02-01 07:00,25.122995
2021-02-01 08:00,25.56959
2021-02-01 09:00,26.091022
2021-02-01 10:00,26.315033
2021-02-01 11:00,26.305365
2021-02-01 12:00,26.141247
2021-02-01 13:00,26.678757
2021-02-01 14:00,27.238596
2021-02-01 15:00,28.209814
2021-02-01 16:00,29.50127
2021-02-01 17:00,30.871006
2021-02-01 18:00,31.355047
2021-02-01 19:00,30.882336
2021-02-01 20:00,29.733608
2021-02-01 21:00,28.953125
2021-02-01 22:00,28.826706
2021-02-01 23:00,28.18902
2021-02-02 00:00,27.842148
2021-02-02 01:00,27.777912
2021-02-02 02:00,27.482471
2021-02-02 03:00,27.661907
2021-02-02 04:00,28.564014
2021-02-02 05:00,30.49699
2021-02-02 06:00,32.62275
2021-02-02 07:00,34.22184
2021-02-02 08:00,34.831352
2021-02-02 09:00,35.148174
2021-02-02 10:00,34.95041
2021-02-02 11:00,34.6604
2021-02-02 12:00,34.264954
2021-02-02 13:00,34.533947
2021-02-02 14:00,34.798424
2021-02-02 15:00,35.50573
2021-02-02 16:00,36.343616
2021-02-02 17:00,37.575188
2021-02-02 18:00,38.113243
2021-02-02 19:00,37.584663
2021-02-02 20:00,36.404762
2021-02-02 21:00,35.65197
2021-02-02 22:00,35.177067
2021-02-02 23:00,34.08018
2021-02-03 00:00,33.336784
2021-02-03 01:00,32.990623
2021-02-03 02:00,32.719177
2021-02-03 03:00,32.68566
2021-02-03 04:00,33.572304
2021-02-03 05:00,35.73432
2021-02-03 06:00,38.055317
2021-02-03 07:00,39.83414
2021-02-03 08:00,40.575153
2021-02-03 09:00,40.96561
2021-02-03 10:00,40.92992
2021-02-03 11:00,40.703926
2021-02-03 12:00,40.172997
2021-02-03 13:00,40.038734
2021-02-03 14:00,40.32551
2021-02-03 15:00,41.271923
2021-02-03 16:00,42.616955
2021-02-03 17:00,44.22676
2021-02-03 18:00,45.046345
2021-02-03 19:00,44.418182
2021-02-03 20:00,42.816757
2021-02-03 21:00,41.639523
2021-02-03 22:00,40.753418
2021-02-03 23:00,39.734203
2021-02-04 00:00,38.88151
2021-02-04 01:00,38.427116
2021-02-04 02:00,38.09974
2021-02-04 03:00,37.95299
2021-02-04 04:00,38.535797
2021-02-04 05:00,40.42587
2021-02-04 06:00,42.65621
2021-02-04 07:00,44.12045
2021-02-04 08:00,44.690647
2021-02-04 09:00,45.029457
2021-02-04 10:00,44.920753
2021-02-04 11:00,44.411903
2021-02-04 12:00,43.761642
2021-02-04 13:00,43.553204
2021-02-04 14:00,43.791687
2021-02-04 15:00,44.65661
2021-02-04 16:00,45.944363
2021-02-04 17:00,47.307915
2021-02-04 18:00,47.769203
2021-02-04 19:00,46.82747
2021-02-04 20:00,45.22383
2021-02-04 21:00,43.899433
2021-02-04 22:00,42.848404
2021-02-04 23:00,41.512978
2021-02-02 00:00,30.588236
2021-02-02 01:00,28.723969
2021-02-02 02:00,27.081375
2021-02-02 03:00,26.040274
2021-02-02 04:00,27.749249
2021-02-02 05:00,31.42633
2021-02-02 06:00,35.890846
2021-02-02 07:00,39.54716
2021-02-02 08:00,40.801666
2021-02-02 09:00,40.87334
2021-02-02 10:00,40.546486
2021-02-02 11:00,40.449547
2021-02-02 12:00,39.996063
2021-02-02 13:00,39.703644
2021-02-02 14:00,39.562454
2021-02-02 15:00,40.569054
2021-02-02 16:00,42.47309
2021-02-02 17:00,43.559998
2021-02-02 18:00,42.938404
2021-02-02 19:00,41.265522
2021-02-02 20:00,38.83598
2021-02-02 21:00,36.4343
2021-02-02 22:00,34.884144
2021-02-02 23:00,32.005783
2021-02-03 00:00,30.19163
2021-02-03 01:00,29.367321
2021-02-03 02:00,28.079723
2021-02-03 03:00,27.42421
2021-02-03 04:00,29.051615
2021-02-03 05:00,32.938286
2021-02-03 06:00,37.291588
2021-02-03 07:00,40.608025
2021-02-03 08:00,42.2193
2021-02-03 09:00,42.83432
2021-02-03 10:00,42.90573
2021-02-03 11:00,42.41131
2021-02-03 12:00,41.67431
2021-02-03 13:00,41.34212
2021-02-03 14:00,41.473267
2021-02-03 15:00,42.395912
2021-02-03 16:00,44.152992
2021-02-03 17:00,45.54568
2021-02-03 18:00,45.407967
