Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,328.74884
2021-02-01 01:00,327.8238
2021-02-01 02:00,328.20944
2021-02-01 03:00,334.84393
2021-02-01 04:00,340.22247
2021-02-01 05:00,349.8681
2021-02-01 06:00,354.9499
2021-02-01 07:00,352.11737
2021-02-01 08:00,352.2349
2021-02-01 09:00,355.48175
2021-02-01 10:00,355.59076
2021-02-01 11:00,354.0338
2021-02-01 12:00,350.90973
2021-02-01 13:00,350.99786
2021-02-01 14:00,351.85162
2021-02-01 15:00,352.22128
2021-02-01 16:00,348.6584
2021-02-01 17:00,343.14496
2021-02-01 18:00,338.90475
2021-02-01 19:00,338.1756
2021-02-01 20:00,337.02832
2021-02-01 21:00,334.55634
2021-02-01 22:00,333.37802
2021-02-01 23:00,328.04874
2021-02-02 00:00,327.75287
2021-02-02 01:00,327.66534
2021-02-02 02:00,327.96155
2021-02-02 03:00,334.51694
2021-02-02 04:00,339.36884
2021-02-02 05:00,348.16074
2021-02-02 06:00,353.80542
2021-02-02 07:00,350.54602
2021-02-02 08:00,351.43024
2021-02-02 09:00,353.61252
2021-02-02 10:00,355.51746
2021-02-02 11:00,353.2338
2021-02-02 12:00,349.1269
2021-02-02 13:00,349.2735
2021-02-02 14:00,350.06305
2021-02-02 15:00,349.48358
2021-02-02 16:00,346.18326
2021-02-02 17:00,342.81894
2021-02-02 18:00,339.6441
2021-02-02 19:00,339.94998
2021-02-02 20:00,338.7579
2021-02-02 21:00,335.236
2021-02-02 22:00,333.42865
2021-02-02 23:00,327.6551
2021-02-03 00:00,326.84512
2021-02-03 01:00,327.09897
2021-02-03 02:00,327.54913
2021-02-03 03:00,332.39484
2021-02-03 04:00,337.91324
2021-02-03 05:00,347.97467
2021-02-03 06:00,354.41953
2021-02-03 07:00,352.13983
2021-02-03 08:00,352.4613
2021-02-03 09:00,353.7979
2021-02-03 10:00,355.61664
2021-02-03 11:00,354.64767
2021-02-03 12:00,350.64633
2021-02-03 13:00,349.3587
2021-02-03 14:00,349.325
2021-02-03 15:00,348.47372
2021-02-03 16:00,346.09842
2021-02-03 17:00,342.2673
2021-02-03 18:00,339.4261
2021-02-03 19:00,339.2006
2021-02-03 20:00,338.1049
2021-02-03 21:00,335.3466
2021-02-03 22:00,334.76642
2021-02-03 23:00,329.14594
2021-02-04 00:00,328.65005
2021-02-04 01:00,329.6543
2021-02-04 02:00,330.94464
2021-02-04 03:00,336.82254
2021-02-04 04:00,340.52982
2021-02-04 05:00,347.00717
2021-02-04 06:00,351.56216
2021-02-04 07:00,350.23868
2021-02-04 08:00,352.26947
2021-02-04 09:00,355.58658
2021-02-04 10:00,356.44913
2021-02-04 11:00,354.93658
2021-02-04 12:00,351.29785
2021-02-04 13:00,350.47098
2021-02-04 14:00,350.81845
2021-02-04 15:00,350.2578
2021-02-04 16:00,347.13177
2021-02-04 17:00,344.02206
2021-02-04 18:00,340.5618
2021-02-04 19:00,340.3574
2021-02-04 20:00,339.07648
2021-02-04 21:00,336.9554
2021-02-04 22:00,336.40796
2021-02-04 23:00,332.1017
2021-02-02 00:00,294.2994
2021-02-02 01:00,298.86624
2021-02-02 02:00,304.54172
2021-02-02 03:00,311.85782
2021-02-02 04:00,319.10522
2021-02-02 05:00,325.5436
2021-02-02 06:00,334.74707
2021-02-02 07:00,334.7289
2021-02-02 08:00,334.42963
2021-02-02 09:00,338.6338
2021-02-02 10:00,339.11255
2021-02-02 11:00,337.86093
2021-02-02 12:00,336.16446
2021-02-02 13:00,337.9349
2021-02-02 14:00,338.39746
2021-02-02 15:00,338.8885
2021-02-02 16:00,334.31866
2021-02-02 17:00,329.7153
2021-02-02 18:00,326.08145
2021-02-02 19:00,326.28934
2021-02-02 20:00,323.49182
2021-02-02 21:00,319.1131
2021-02-02 22:00,318.17316
2021-02-02 23:00,312.30887
2021-02-03 00:00,309.4097
2021-02-03 01:00,309.12708
2021-02-03 02:00,311.45612
2021-02-03 03:00,317.67853
2021-02-03 04:00,327.04636
2021-02-03 05:00,334.0424
2021-02-03 06:00,342.11594
2021-02-03 07:00,341.7344
2021-02-03 08:00,341.6285
2021-02-03 09:00,343.3161
2021-02-03 10:00,343.79138
2021-02-03 11:00,343.4245
2021-02-03 12:00,343.1258
2021-02-03 13:00,344.08026
2021-02-03 14:00,344.5445
2021-02-03 15:00,344.96808
2021-02-03 16:00,342.56192
2021-02-03 17:00,338.3205
2021-02-03 18:00,334.393
2021-02-03 19:00,333.61105
2021-02-03 20:00,332.39047
2021-02-03 21:00,329.01654
2021-02-03 22:00,327.78522
2021-02-03 23:00,322.7378
2021-02-04 00:00,321.25684
2021-02-04 01:00,322.27765
2021-02-04 02:00,324.2799
2021-02-04 03:00,328.88995
2021-02-04 04:00,334.72717
