Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,524.70166
2021-02-01 01:00,522.11975
2021-02-01 02:00,526.9594
2021-02-01 03:00,530.0351
2021-02-01 04:00,532.19934
2021-02-01 05:00,528.96375
2021-02-01 06:00,513.16
2021-02-01 07:00,516.2377
2021-02-01 08:00,516.2042
2021-02-01 09:00,510.13397
2021-02-01 10:00,509.32135
2021-02-01 11:00,511.1477
2021-02-01 12:00,513.7452
2021-02-01 13:00,515.2908
2021-02-01 14:00,509.33258
2021-02-01 15:00,511.1728
2021-02-01 16:00,518.35077
2021-02-01 17:00,518.5704
2021-02-01 18:00,521.36145
2021-02-01 19:00,521.7837
2021-02-01 20:00,520.56696
2021-02-01 21:00,523.1995
2021-02-01 22:00,517.8155
2021-02-01 23:00,516.9418
2021-02-02 00:00,518.8183
2021-02-02 01:00,516.0091
2021-02-02 02:00,520.62726
2021-02-02 03:00,523.1375
2021-02-02 04:00,525.2627
2021-02-02 05:00,524.5358
2021-02-02 06:00,510.2998
2021-02-02 07:00,512.8462
2021-02-02 08:00,513.50525
2021-02-02 09:00,507.89713
2021-02-02 10:00,506.9438
2021-02-02 11:00,508.89005
2021-02-02 12:00,510.66772
2021-02-02 13:00,511.92783
2021-02-02 14:00,506.26727
2021-02-02 15:00,508.92148
2021-02-02 16:00,515.481
2021-02-02 17:00,514.77545
2021-02-02 18:00,517.9091
2021-02-02 19:00,518.1343
2021-02-02 20:00,517.48224
2021-02-02 21:00,520.46954
2021-02-02 22:00,514.8529
2021-02-02 23:00,513.6894
2021-02-03 00:00,515.92126
2021-02-03 01:00,512.84875
2021-02-03 02:00,517.1613
2021-02-03 03:00,519.3251
2021-02-03 04:00,521.38654
2021-02-03 05:00,519.7052
2021-02-03 06:00,507.9213
2021-02-03 07:00,511.6563
2021-02-03 08:00,513.48895
2021-02-03 09:00,508.26007
2021-02-03 10:00,507.64288
2021-02-03 11:00,509.1517
2021-02-03 12:00,510.31537
2021-02-03 13:00,511.5788
2021-02-03 14:00,506.06934
2021-02-03 15:00,507.81104
2021-02-03 16:00,513.6631
2021-02-03 17:00,512.65314
2021-02-03 18:00,515.0458
2021-02-03 19:00,515.1286
2021-02-03 20:00,514.3688
2021-02-03 21:00,517.3154
2021-02-03 22:00,511.54892
2021-02-03 23:00,510.6292
2021-02-04 00:00,512.7371
2021-02-04 01:00,509.386
2021-02-04 02:00,513.27606
2021-02-04 03:00,515.5594
2021-02-04 04:00,517.8182
2021-02-04 05:00,517.0091
2021-02-04 06:00,505.81915
2021-02-04 07:00,509.82437
2021-02-04 08:00,511.78412
2021-02-04 09:00,506.77655
2021-02-04 10:00,506.69717
2021-02-04 11:00,508.14935
2021-02-04 12:00,509.24414
2021-02-04 13:00,510.63492
2021-02-04 14:00,505.654
2021-02-04 15:00,507.71753
2021-02-04 16:00,513.4701
2021-02-04 17:00,512.586
2021-02-04 18:00,514.6357
2021-02-04 19:00,514.80206
2021-02-04 20:00,514.2598
2021-02-04 21:00,516.36804
2021-02-04 22:00,511.07086
2021-02-04 23:00,509.54987
2021-02-02 00:00,518.79803
2021-02-02 01:00,515.68933
2021-02-02 02:00,520.515
2021-02-02 03:00,523.2749
2021-02-02 04:00,525.6662
2021-02-02 05:00,525.1937
2021-02-02 06:00,515.17664
2021-02-02 07:00,519.55176
2021-02-02 08:00,518.5829
2021-02-02 09:00,512.6346
2021-02-02 10:00,511.04395
2021-02-02 11:00,512.5869
2021-02-02 12:00,516.55865
2021-02-02 13:00,517.6232
2021-02-02 14:00,513.35046
2021-02-02 15:00,514.6759
2021-02-02 16:00,519.21594
2021-02-02 17:00,518.69934
2021-02-02 18:00,521.16296
2021-02-02 19:00,520.73425
2021-02-02 20:00,520.6947
2021-02-02 21:00,522.5666
2021-02-02 22:00,517.4418
2021-02-02 23:00,517.3473
2021-02-03 00:00,518.073
2021-02-03 01:00,515.2916
2021-02-03 02:00,519.0485
2021-02-03 03:00,520.11536
2021-02-03 04:00,522.55725
2021-02-03 05:00,522.35406
2021-02-03 06:00,512.6706
2021-02-03 07:00,517.22833
2021-02-03 08:00,516.30383
2021-02-03 09:00,510.73407
2021-02-03 10:00,509.54694
2021-02-03 11:00,511.01093
2021-02-03 12:00,513.9995
2021-02-03 13:00,514.401
2021-02-03 14:00,511.0316
2021-02-03 15:00,512.51587
2021-02-03 16:00,517.4793
2021-02-03 17:00,516.7581
2021-02-03 18:00,519.3292
2021-02-03 19:00,518.9653
2021-02-03 20:00,518.84045
2021-02-03 21:00,520.946
2021-02-03 22:00,516.237
2021-02-03 23:00,516.0547
2021-02-04 00:00,516.7268
2021-02-04 01:00,514.0582
2021-02-04 02:00,518.3882
2021-02-04 03:00,520.2554
2021-02-04 04:00,522.7416
2021-02-04 05:00,521.5887
2021-02-04 06:00,511.93335
2021-02-04 07:00,516.4369
2021-02-04 08:00,515.4559
2021-02-04 09:00,509.72028
2021-02-04 10:00,508.3576
2021-02-04 11:00,509.32007
2021-02-04 12:00,512.62744
2021-02-04 13:00,513.57654
2021-02-04 14:00,510.02914
2021-02-04 15:00,511.8033
2021-02-04 16:00,517.273
2021-02-04 17:00,516.45734
2021-02-04 18:00,519.09454
2021-02-04 19:00,518.3161
2021-02-04 20:00,518.23474
2021-02-04 21:00,519.71545
