Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,574.2083
2021-02-01 01:00,574.2996
2021-02-01 02:00,574.5329
2021-02-01 03:00,574.23254
2021-02-01 04:00,573.0454
2021-02-01 05:00,572.5497
2021-02-01 06:00,572.987
2021-02-01 07:00,572.85266
2021-02-01 08:00,572.61053
2021-02-01 09:00,572.3945
2021-02-01 10:00,572.1359
2021-02-01 11:00,570.7854
2021-02-01 12:00,569.3631
2021-02-01 13:00,568.2186
2021-02-01 14:00,567.01105
2021-02-01 15:00,566.5019
2021-02-01 16:00,566.6947
2021-02-01 17:00,567.1255
2021-02-01 18:00,567.4235
2021-02-01 19:00,567.04456
2021-02-01 20:00,566.68036
2021-02-01 21:00,566.38055
2021-02-01 22:00,568.38367
2021-02-01 23:00,570.25275
2021-02-02 00:00,572.98816
2021-02-02 01:00,574.3644
2021-02-02 02:00,574.7211
2021-02-02 03:00,574.0266
2021-02-02 04:00,572.1823
2021-02-02 05:00,571.78766
2021-02-02 06:00,572.13904
2021-02-02 07:00,571.8174
2021-02-02 08:00,571.2708
2021-02-02 09:00,570.8558
2021-02-02 10:00,570.5083
2021-02-02 11:00,569.14
2021-02-02 12:00,567.27124
2021-02-02 13:00,566.13446
2021-02-02 14:00,564.7593
2021-02-02 15:00,564.3629
2021-02-02 16:00,565.3854
2021-02-02 17:00,566.56885
2021-02-02 18:00,566.4933
2021-02-02 19:00,565.3525
2021-02-02 20:00,565.07306
2021-02-02 21:00,564.4399
2021-02-02 22:00,566.38165
2021-02-02 23:00,568.3937
2021-02-03 00:00,571.9093
2021-02-03 01:00,573.83997
2021-02-03 02:00,574.2411
2021-02-03 03:00,573.0523
2021-02-03 04:00,570.1178
2021-02-03 05:00,569.0306
2021-02-03 06:00,568.82935
2021-02-03 07:00,568.86633
2021-02-03 08:00,567.66534
2021-02-03 09:00,567.547
2021-02-03 10:00,566.77625
2021-02-03 11:00,565.5433
2021-02-03 12:00,564.3214
2021-02-03 13:00,563.871
2021-02-03 14:00,563.0455
2021-02-03 15:00,562.79504
2021-02-03 16:00,563.6515
2021-02-03 17:00,564.912
2021-02-03 18:00,564.9755
2021-02-03 19:00,563.7284
2021-02-03 20:00,562.81555
2021-02-03 21:00,561.9404
2021-02-03 22:00,564.24963
2021-02-03 23:00,567.31903
2021-02-04 00:00,571.6976
2021-02-04 01:00,574.4197
2021-02-04 02:00,574.5001
2021-02-04 03:00,572.9147
2021-02-04 04:00,569.07684
2021-02-04 05:00,567.5945
2021-02-04 06:00,568.16266
2021-02-04 07:00,568.3373
2021-02-04 08:00,568.2704
2021-02-04 09:00,568.30646
2021-02-04 10:00,567.8295
2021-02-04 11:00,567.1373
2021-02-04 12:00,565.19464
2021-02-04 13:00,563.53296
2021-02-04 14:00,561.99396
2021-02-04 15:00,561.5581
2021-02-04 16:00,562.88324
2021-02-04 17:00,563.96466
2021-02-04 18:00,563.67706
2021-02-04 19:00,562.5917
2021-02-04 20:00,561.778
2021-02-04 21:00,561.39636
2021-02-04 22:00,564.45966
2021-02-04 23:00,567.49646
2021-02-02 00:00,571.51764
2021-02-02 01:00,572.8214
2021-02-02 02:00,573.00604
2021-02-02 03:00,572.40656
2021-02-02 04:00,570.5399
2021-02-02 05:00,569.85175
2021-02-02 06:00,570.2847
2021-02-02 07:00,570.2822
2021-02-02 08:00,570.2746
2021-02-02 09:00,570.4589
2021-02-02 10:00,570.0469
2021-02-02 11:00,569.18176
2021-02-02 12:00,567.1617
2021-02-02 13:00,567.08484
2021-02-02 14:00,564.8826
2021-02-02 15:00,564.702
2021-02-02 16:00,565.34814
2021-02-02 17:00,565.4494
2021-02-02 18:00,565.777
2021-02-02 19:00,564.4405
2021-02-02 20:00,563.84973
2021-02-02 21:00,563.1727
2021-02-02 22:00,564.6483
2021-02-02 23:00,566.4735
2021-02-03 00:00,571.53796
2021-02-03 01:00,572.7926
2021-02-03 02:00,573.39856
2021-02-03 03:00,572.0924
2021-02-03 04:00,568.86926
2021-02-03 05:00,567.6939
2021-02-03 06:00,568.7576
2021-02-03 07:00,569.2529
2021-02-03 08:00,569.1439
2021-02-03 09:00,569.295
2021-02-03 10:00,568.653
2021-02-03 11:00,567.5799
2021-02-03 12:00,565.6167
2021-02-03 13:00,564.52606
2021-02-03 14:00,562.7289
2021-02-03 15:00,562.39026
2021-02-03 16:00,562.99426
2021-02-03 17:00,563.6315
2021-02-03 18:00,564.0498
2021-02-03 19:00,563.3584
2021-02-03 20:00,562.93176
2021-02-03 21:00,562.96387
2021-02-03 22:00,564.5085
2021-02-03 23:00,566.97723
2021-02-04 00:00,572.54016
2021-02-04 01:00,573.8231
2021-02-04 02:00,574.0842
2021-02-04 03:00,572.3529
2021-02-04 04:00,568.53705
2021-02-04 05:00,566.96606
2021-02-04 06:00,568.0775
2021-02-04 07:00,568.9805
2021-02-04 08:00,568.9382
2021-02-04 09:00,569.2547
2021-02-04 10:00,567.99414
2021-02-04 11:00,567.1662
2021-02-04 12:00,565.1471
2021-02-04 13:00,564.1505
2021-02-04 14:00,561.75964
2021-02-04 15:00,561.6496
2021-02-04 16:00,562.7206
2021-02-04 17:00,562.8262
2021-02-04 18:00,563.2204
2021-02-04 19:00,562.24036
2021-02-04 20:00,562.20184
2021-02-04 21:00,562.0192
2021-02-04 22:00,564.0337
2021-02-04 23:00,566.9994
2021-02-05 00:00,572.73376
2021-02-05 01:00,574.05945
2021-02-05 02:00,573.84216
2021-02-05 03:00,572.2355
2021-02-05 04:00,568.1682
2021-02-05 05:00,567.188
2021-02-05 06:00,568.4669
2021-02-05 07:00,569.3412
2021-02-05 08:00,569.28754
2021-02-05 09:00,569.5834
2021-02-05 10:00,568.6763
2021-02-05 11:00,567.7618
2021-02-05 12:00,566.07666
2021-02-05 13:00,564.9146
2021-02-05 14:00,562.4746
2021-02-05 15:00,562.0592
2021-02-05 16:00,563.25616
2021-02-05 17:00,563.2285
2021-02-05 18:00,563.5121
2021-02-05 19:00,562.9788
2021-02-05 20:00,562.8308
2021-02-05 21:00,562.4563
2021-02-05 22:00,564.1098
2021-02-05 23:00,566.3358
2021-02-03 00:00,567.9032
2021-02-03 01:00,569.8326
2021-02-03 02:00,570.25696
2021-02-03 03:00,568.7726
2021-02-03 04:00,563.68164
2021-02-03 05:00,561.8416
2021-02-03 06:00,564.007
2021-02-03 07:00,565.0265
2021-02-03 08:00,565.6454
2021-02-03 09:00,566.3473
2021-02-03 10:00,565.3714
2021-02-03 11:00,564.8675
2021-02-03 12:00,562.2602
2021-02-03 13:00,560.4901
2021-02-03 14:00,558.62585
2021-02-03 15:00,559.27264
2021-02-03 16:00,560.4059
2021-02-03 17:00,560.5898
2021-02-03 18:00,560.75415
2021-02-03 19:00,559.85236
2021-02-03 20:00,559.90015
2021-02-03 21:00,559.5714
2021-02-03 22:00,561.5314
2021-02-03 23:00,564.0635
2021-02-04 00:00,570.88715
2021-02-04 01:00,572.6632
2021-02-04 02:00,572.871
2021-02-04 03:00,570.8807
2021-02-04 04:00,565.6985
2021-02-04 05:00,564.3998
2021-02-04 06:00,565.8049
2021-02-04 07:00,566.1543
2021-02-04 08:00,566.06384
2021-02-04 09:00,566.49524
2021-02-04 10:00,566.22394
2021-02-04 11:00,565.7178
2021-02-04 12:00,563.0781
2021-02-04 13:00,562.055
2021-02-04 14:00,559.80707
2021-02-04 15:00,560.37756
2021-02-04 16:00,561.246
2021-02-04 17:00,561.5572
2021-02-04 18:00,560.9264
2021-02-04 19:00,560.16547
2021-02-04 20:00,560.1544
2021-02-04 21:00,560.1773
2021-02-04 22:00,561.6526
2021-02-04 23:00,563.6424
2021-02-05 00:00,570.255
2021-02-05 01:00,572.4993
2021-02-05 02:00,573.0073
2021-02-05 03:00,571.21954
2021-02-05 04:00,565.87225
2021-02-05 05:00,565.26697
2021-02-05 06:00,566.5018
2021-02-05 07:00,566.9636
2021-02-05 08:00,567.64343
2021-02-05 09:00,568.49774
2021-02-05 10:00,567.65967
2021-02-05 11:00,567.1479
2021-02-05 12:00,564.7736
2021-02-05 13:00,563.7088
2021-02-05 14:00,562.0968
2021-02-05 15:00,562.3287
2021-02-05 16:00,563.11456
2021-02-05 17:00,563.679
2021-02-05 18:00,563.29913
2021-02-05 19:00,562.2855
2021-02-05 20:00,561.6216
2021-02-05 21:00,561.6301
2021-02-05 22:00,563.17255
2021-02-05 23:00,565.0172
2021-02-06 00:00,571.19006
2021-02-06 01:00,573.3675
2021-02-06 02:00,573.7718
2021-02-06 03:00,572.0709
2021-02-06 04:00,567.5555
2021-02-06 05:00,566.7624
2021-02-06 06:00,568.19934
2021-02-06 07:00,568.93866
2021-02-06 08:00,570.02905
2021-02-06 09:00,570.87915
2021-02-06 10:00,569.30884
2021-02-06 11:00,568.7029
2021-02-06 12:00,566.12726
2021-02-06 13:00,564.8778
2021-02-06 14:00,563.23834
2021-02-06 15:00,563.68085
2021-02-06 16:00,564.61957
2021-02-06 17:00,565.0636
2021-02-06 18:00,564.8192
2021-02-06 19:00,564.4203
2021-02-06 20:00,564.1379
2021-02-06 21:00,563.30994
2021-02-06 22:00,564.4751
2021-02-06 23:00,566.3954
2021-02-04 00:00,565.9896
2021-02-04 01:00,568.1126
2021-02-04 02:00,567.95996
2021-02-04 03:00,565.72754
2021-02-04 04:00,560.5265
2021-02-04 05:00,558.3294
2021-02-04 06:00,560.3254
2021-02-04 07:00,562.2972
2021-02-04 08:00,564.1599
2021-02-04 09:00,564.6708
2021-02-04 10:00,563.7128
2021-02-04 11:00,561.6088
2021-02-04 12:00,557.573
2021-02-04 13:00,556.5062
2021-02-04 14:00,555.11444
2021-02-04 15:00,554.605
2021-02-04 16:00,556.05475
2021-02-04 17:00,556.4679
2021-02-04 18:00,557.4711
2021-02-04 19:00,555.8853
2021-02-04 20:00,556.4182
2021-02-04 21:00,556.82623
2021-02-04 22:00,557.84143
2021-02-04 23:00,560.74255
2021-02-05 00:00,569.2626
2021-02-05 01:00,570.46936
2021-02-05 02:00,570.20374
2021-02-05 03:00,567.8365
2021-02-05 04:00,562.2417
2021-02-05 05:00,560.3322
2021-02-05 06:00,562.11786
2021-02-05 07:00,563.4881
2021-02-05 08:00,565.19617
2021-02-05 09:00,565.33856
2021-02-05 10:00,564.277
2021-02-05 11:00,562.92303
2021-02-05 12:00,559.29456
2021-02-05 13:00,557.9957
2021-02-05 14:00,556.4557
2021-02-05 15:00,555.3663
2021-02-05 16:00,556.1759
2021-02-05 17:00,556.96265
2021-02-05 18:00,558.0333
2021-02-05 19:00,556.673
2021-02-05 20:00,557.0137
2021-02-05 21:00,557.0742
2021-02-05 22:00,558.2486
2021-02-05 23:00,561.4251
