Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,273.7613
2021-02-01 01:00,269.16913
2021-02-01 02:00,267.15494
2021-02-01 03:00,264.5073
2021-02-01 04:00,263.44214
2021-02-01 05:00,265.45575
2021-02-01 06:00,271.97403
2021-02-01 07:00,277.8533
2021-02-01 08:00,284.19873
2021-02-01 09:00,292.15982
2021-02-01 10:00,297.9957
2021-02-01 11:00,303.11725
2021-02-01 12:00,305.5905
2021-02-01 13:00,305.81506
2021-02-01 14:00,306.29175
2021-02-01 15:00,306.9852
2021-02-01 16:00,310.25278
2021-02-01 17:00,313.92142
2021-02-01 18:00,313.22943
2021-02-01 19:00,307.27106
2021-02-01 20:00,297.38217
2021-02-01 21:00,286.17438
2021-02-01 22:00,276.96494
2021-02-01 23:00,270.28534
2021-02-02 00:00,267.2202
2021-02-02 01:00,265.25714
2021-02-02 02:00,265.9644
2021-02-02 03:00,267.60272
2021-02-02 04:00,269.4291
2021-02-02 05:00,271.65625
2021-02-02 06:00,274.35577
2021-02-02 07:00,276.1552
2021-02-02 08:00,278.06842
2021-02-02 09:00,282.07462
2021-02-02 10:00,285.8147
2021-02-02 11:00,289.8628
2021-02-02 12:00,292.75278
2021-02-02 13:00,294.5184
2021-02-02 14:00,295.17465
2021-02-02 15:00,295.23093
2021-02-02 16:00,297.17523
2021-02-02 17:00,300.075
2021-02-02 18:00,299.77206
2021-02-02 19:00,294.05597
2021-02-02 20:00,286.11035
2021-02-02 21:00,276.78986
2021-02-02 22:00,267.50388
2021-02-02 23:00,259.4495
2021-02-03 00:00,254.71115
2021-02-03 01:00,251.57626
2021-02-03 02:00,250.74417
2021-02-03 03:00,249.84604
2021-02-03 04:00,250.32797
2021-02-03 05:00,252.74593
2021-02-03 06:00,257.62366
2021-02-03 07:00,263.04138
2021-02-03 08:00,267.68845
2021-02-03 09:00,273.30417
2021-02-03 10:00,277.28305
2021-02-03 11:00,280.46906
2021-02-03 12:00,282.1862
2021-02-03 13:00,282.97235
2021-02-03 14:00,282.96136
2021-02-03 15:00,282.46945
2021-02-03 16:00,283.86768
2021-02-03 17:00,286.65344
2021-02-03 18:00,285.86264
2021-02-03 19:00,281.0397
2021-02-03 20:00,273.00433
2021-02-03 21:00,263.87177
2021-02-03 22:00,255.53268
2021-02-03 23:00,248.10481
2021-02-04 00:00,244.14864
2021-02-04 01:00,241.30696
2021-02-04 02:00,241.14717
2021-02-04 03:00,241.70981
2021-02-04 04:00,243.00195
2021-02-04 05:00,247.12654
2021-02-04 06:00,253.2741
2021-02-04 07:00,260.4418
2021-02-04 08:00,265.50262
2021-02-04 09:00,270.98044
2021-02-04 10:00,275.24255
2021-02-04 11:00,279.00177
2021-02-04 12:00,281.56818
2021-02-04 13:00,282.34555
2021-02-04 14:00,281.40112
2021-02-04 15:00,280.47412
2021-02-04 16:00,280.37555
2021-02-04 17:00,281.0267
2021-02-04 18:00,278.63644
2021-02-04 19:00,272.94983
2021-02-04 20:00,265.55658
2021-02-04 21:00,256.73944
2021-02-04 22:00,247.1562
2021-02-04 23:00,238.54187
2021-02-02 00:00,166.22742
2021-02-02 01:00,172.56021
2021-02-02 02:00,178.71133
2021-02-02 03:00,182.81644
2021-02-02 04:00,187.1672
2021-02-02 05:00,197.07217
2021-02-02 06:00,210.9567
