Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,648.9672
2021-02-01 01:00,649.22723
2021-02-01 02:00,618.93176
2021-02-01 03:00,577.1891
2021-02-01 04:00,568.28253
2021-02-01 05:00,564.89905
2021-02-01 06:00,566.0262
2021-02-01 07:00,563.8597
2021-02-01 08:00,563.052
2021-02-01 09:00,565.2262
2021-02-01 10:00,568.4901
2021-02-01 11:00,577.4321
2021-02-01 12:00,614.7122
2021-02-01 13:00,653.1055
2021-02-01 14:00,653.65234
2021-02-01 15:00,652.06055
2021-02-01 16:00,652.8675
2021-02-01 17:00,651.6703
2021-02-01 18:00,648.48755
2021-02-01 19:00,648.73755
2021-02-01 20:00,647.9513
2021-02-01 21:00,650.11444
2021-02-01 22:00,649.4288
2021-02-01 23:00,650.1264
2021-02-02 00:00,649.2582
2021-02-02 01:00,649.6145
2021-02-02 02:00,619.34607
2021-02-02 03:00,577.6869
2021-02-02 04:00,567.679
2021-02-02 05:00,564.99677
2021-02-02 06:00,567.03925
2021-02-02 07:00,565.4924
2021-02-02 08:00,564.0739
2021-02-02 09:00,565.7411
2021-02-02 10:00,567.9829
2021-02-02 11:00,577.44244
2021-02-02 12:00,615.56
2021-02-02 13:00,653.51355
2021-02-02 14:00,653.9998
2021-02-02 15:00,652.83563
2021-02-02 16:00,653.48627
2021-02-02 17:00,651.6092
2021-02-02 18:00,649.4051
2021-02-02 19:00,649.78784
2021-02-02 20:00,648.62415
2021-02-02 21:00,649.9372
2021-02-02 22:00,649.0412
2021-02-02 23:00,650.3312
2021-02-03 00:00,649.9959
2021-02-03 01:00,650.53064
2021-02-03 02:00,620.3978
2021-02-03 03:00,579.32733
2021-02-03 04:00,569.3449
2021-02-03 05:00,565.9645
2021-02-03 06:00,568.0226
2021-02-03 07:00,566.7327
2021-02-03 08:00,565.0885
2021-02-03 09:00,566.42865
2021-02-03 10:00,568.3091
2021-02-03 11:00,577.2433
2021-02-03 12:00,615.5321
2021-02-03 13:00,653.328
2021-02-03 14:00,653.8644
2021-02-03 15:00,652.73694
2021-02-03 16:00,653.39514
2021-02-03 17:00,652.18536
2021-02-03 18:00,649.9054
2021-02-03 19:00,649.83167
2021-02-03 20:00,649.21814
2021-02-03 21:00,650.46094
2021-02-03 22:00,649.7767
2021-02-03 23:00,651.17993
2021-02-04 00:00,650.54376
2021-02-04 01:00,649.9375
2021-02-04 02:00,620.2088
2021-02-04 03:00,579.8048
2021-02-04 04:00,569.37823
2021-02-04 05:00,565.7853
2021-02-04 06:00,567.90344
2021-02-04 07:00,566.72015
2021-02-04 08:00,565.6086
2021-02-04 09:00,567.26483
2021-02-04 10:00,569.9574
2021-02-04 11:00,578.92224
2021-02-04 12:00,617.28235
2021-02-04 13:00,654.7529
2021-02-04 14:00,654.9467
2021-02-04 15:00,653.83594
2021-02-04 16:00,654.7442
2021-02-04 17:00,653.68555
2021-02-04 18:00,651.2875
2021-02-04 19:00,650.33966
2021-02-04 20:00,649.6842
2021-02-04 21:00,651.20074
2021-02-04 22:00,650.0239
2021-02-04 23:00,650.65204
2021-02-02 00:00,648.4061
2021-02-02 01:00,648.9031
2021-02-02 02:00,618.02716
2021-02-02 03:00,576.5211
2021-02-02 04:00,567.4198
2021-02-02 05:00,564.16614
2021-02-02 06:00,565.95764
2021-02-02 07:00,564.51624
2021-02-02 08:00,563.3568
2021-02-02 09:00,565.1309
2021-02-02 10:00,568.2934
2021-02-02 11:00,577.3066
2021-02-02 12:00,613.85046
2021-02-02 13:00,654.10846
2021-02-02 14:00,655.2888
2021-02-02 15:00,654.7469
2021-02-02 16:00,653.99445
2021-02-02 17:00,652.76526
2021-02-02 18:00,648.9368
2021-02-02 19:00,648.6789
2021-02-02 20:00,648.0016
2021-02-02 21:00,649.13635
2021-02-02 22:00,647.72253
2021-02-02 23:00,647.6991
2021-02-03 00:00,648.29675
2021-02-03 01:00,650.40027
2021-02-03 02:00,620.1791
2021-02-03 03:00,578.9425
2021-02-03 04:00,569.27673
2021-02-03 05:00,566.50653
2021-02-03 06:00,568.2962
2021-02-03 07:00,567.0324
2021-02-03 08:00,564.8911
2021-02-03 09:00,566.31525
2021-02-03 10:00,568.7077
2021-02-03 11:00,577.9474
2021-02-03 12:00,614.9615
2021-02-03 13:00,654.5164
2021-02-03 14:00,655.9378
2021-02-03 15:00,655.57556
2021-02-03 16:00,655.08905
2021-02-03 17:00,653.4154
2021-02-03 18:00,650.6755
2021-02-03 19:00,650.6626
2021-02-03 20:00,649.16815
2021-02-03 21:00,649.64294
2021-02-03 22:00,648.89716
2021-02-03 23:00,649.46857
2021-02-04 00:00,650.0031
2021-02-04 01:00,651.547
2021-02-04 02:00,620.97864
2021-02-04 03:00,580.0442
2021-02-04 04:00,570.1154
2021-02-04 05:00,566.3966
2021-02-04 06:00,568.06586
2021-02-04 07:00,567.1764
2021-02-04 08:00,565.7267
2021-02-04 09:00,567.2539
2021-02-04 10:00,569.32855
2021-02-04 11:00,578.5875
2021-02-04 12:00,615.39343
2021-02-04 13:00,654.368
2021-02-04 14:00,655.48517
2021-02-04 15:00,655.2028
2021-02-04 16:00,654.65955
2021-02-04 17:00,653.8601
2021-02-04 18:00,650.6852
2021-02-04 19:00,649.4522
2021-02-04 20:00,648.41956
2021-02-04 21:00,648.9221
2021-02-04 22:00,648.25037
2021-02-04 23:00,648.9562
2021-02-05 00:00,649.2374
2021-02-05 01:00,649.8336
2021-02-05 02:00,620.26794
2021-02-05 03:00,580.3093
2021-02-05 04:00,570.0503
2021-02-05 05:00,566.1146
2021-02-05 06:00,567.6648
2021-02-05 07:00,567.26416
2021-02-05 08:00,565.9704
2021-02-05 09:00,567.96045
2021-02-05 10:00,571.084
2021-02-05 11:00,580.4232
2021-02-05 12:00,617.5789
2021-02-05 13:00,655.88153
2021-02-05 14:00,656.5128
2021-02-05 15:00,656.2933
2021-02-05 16:00,656.1173
2021-02-05 17:00,655.17114
2021-02-05 18:00,651.7025
2021-02-05 19:00,650.22955
2021-02-05 20:00,649.56976
2021-02-05 21:00,650.1967
2021-02-05 22:00,648.9285
2021-02-05 23:00,648.8617
2021-02-03 00:00,651.12286
2021-02-03 01:00,651.1639
2021-02-03 02:00,619.6281
2021-02-03 03:00,578.58673
2021-02-03 04:00,569.7721
2021-02-03 05:00,566.4945
2021-02-03 06:00,568.09973
2021-02-03 07:00,566.1572
2021-02-03 08:00,564.9344
2021-02-03 09:00,566.5931
2021-02-03 10:00,570.1913
2021-02-03 11:00,578.51196
2021-02-03 12:00,613.9974
2021-02-03 13:00,656.591
2021-02-03 14:00,657.1378
2021-02-03 15:00,656.48047
2021-02-03 16:00,656.2188
2021-02-03 17:00,655.6205
2021-02-03 18:00,652.7583
2021-02-03 19:00,652.59924
2021-02-03 20:00,651.7917
2021-02-03 21:00,652.6964
2021-02-03 22:00,651.60913
2021-02-03 23:00,652.36975
2021-02-04 00:00,651.4898
2021-02-04 01:00,653.68585
2021-02-04 02:00,622.6525
2021-02-04 03:00,581.34326
2021-02-04 04:00,572.05975
2021-02-04 05:00,568.8006
2021-02-04 06:00,570.23083
2021-02-04 07:00,568.23645
2021-02-04 08:00,566.92316
2021-02-04 09:00,568.5514
2021-02-04 10:00,571.1271
2021-02-04 11:00,580.3053
2021-02-04 12:00,616.19464
2021-02-04 13:00,656.9613
2021-02-04 14:00,657.275
2021-02-04 15:00,656.8247
2021-02-04 16:00,656.62695
2021-02-04 17:00,655.15564
2021-02-04 18:00,653.2557
2021-02-04 19:00,653.475
2021-02-04 20:00,652.3961
2021-02-04 21:00,653.13617
2021-02-04 22:00,651.79333
2021-02-04 23:00,652.3932
2021-02-05 00:00,651.2951
2021-02-05 01:00,653.11523
2021-02-05 02:00,621.9252
2021-02-05 03:00,580.9103
2021-02-05 04:00,571.3976
2021-02-05 05:00,568.18555
2021-02-05 06:00,570.21533
2021-02-05 07:00,568.76843
2021-02-05 08:00,567.7777
2021-02-05 09:00,569.10223
2021-02-05 10:00,571.8273
2021-02-05 11:00,580.805
2021-02-05 12:00,616.6523
2021-02-05 13:00,657.24524
2021-02-05 14:00,657.74646
2021-02-05 15:00,657.11536
2021-02-05 16:00,656.60834
2021-02-05 17:00,655.34814
2021-02-05 18:00,652.9604
2021-02-05 19:00,652.16785
2021-02-05 20:00,651.32947
2021-02-05 21:00,651.97687
2021-02-05 22:00,651.2178
2021-02-05 23:00,652.2469
2021-02-06 00:00,651.0867
2021-02-06 01:00,651.8431
2021-02-06 02:00,621.2155
2021-02-06 03:00,581.1259
2021-02-06 04:00,570.87177
2021-02-06 05:00,567.2996
2021-02-06 06:00,569.57227
2021-02-06 07:00,568.3378
2021-02-06 08:00,567.5906
2021-02-06 09:00,569.56604
2021-02-06 10:00,572.4311
2021-02-06 11:00,581.0498
2021-02-06 12:00,617.0016
2021-02-06 13:00,657.49207
2021-02-06 14:00,657.6075
2021-02-06 15:00,657.11224
2021-02-06 16:00,657.2454
2021-02-06 17:00,655.84894
2021-02-06 18:00,653.2486
2021-02-06 19:00,651.9793
2021-02-06 20:00,651.29266
