Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,425.26953
2021-02-01 01:00,426.06927
2021-02-01 02:00,419.1977
2021-02-01 03:00,412.45694
2021-02-01 04:00,403.85745
2021-02-01 05:00,405.46222
2021-02-01 06:00,412.8226
2021-02-01 07:00,418.4709
2021-02-01 08:00,423.4667
2021-02-01 09:00,425.7458
2021-02-01 10:00,426.01508
2021-02-01 11:00,424.74164
2021-02-01 12:00,422.68604
2021-02-01 13:00,419.55176
2021-02-01 14:00,411.97354
2021-02-01 15:00,405.1538
2021-02-01 16:00,403.24713
2021-02-01 17:00,404.29883
2021-02-01 18:00,406.56015
2021-02-01 19:00,412.81216
2021-02-01 20:00,416.1578
2021-02-01 21:00,419.30933
2021-02-01 22:00,421.61636
2021-02-01 23:00,424.23956
2021-02-02 00:00,423.7578
2021-02-02 01:00,424.75928
2021-02-02 02:00,416.67633
2021-02-02 03:00,410.36093
2021-02-02 04:00,401.90045
2021-02-02 05:00,403.09882
2021-02-02 06:00,410.5086
2021-02-02 07:00,415.53183
2021-02-02 08:00,419.38763
2021-02-02 09:00,421.71722
2021-02-02 10:00,421.92374
2021-02-02 11:00,420.65707
2021-02-02 12:00,419.04242
2021-02-02 13:00,416.40176
2021-02-02 14:00,409.058
2021-02-02 15:00,402.9309
2021-02-02 16:00,401.58148
2021-02-02 17:00,402.70126
2021-02-02 18:00,404.87003
2021-02-02 19:00,410.66583
2021-02-02 20:00,414.12177
2021-02-02 21:00,416.92075
2021-02-02 22:00,419.15814
2021-02-02 23:00,421.29312
2021-02-03 00:00,421.21136
2021-02-03 01:00,422.45508
2021-02-03 02:00,414.75644
2021-02-03 03:00,407.95367
2021-02-03 04:00,399.79562
2021-02-03 05:00,400.85712
2021-02-03 06:00,408.1557
2021-02-03 07:00,413.4205
2021-02-03 08:00,417.72833
2021-02-03 09:00,419.61432
2021-02-03 10:00,420.1985
2021-02-03 11:00,419.17026
2021-02-03 12:00,417.61566
2021-02-03 13:00,414.91855
2021-02-03 14:00,407.5843
2021-02-03 15:00,401.2728
2021-02-03 16:00,400.0374
2021-02-03 17:00,401.30392
2021-02-03 18:00,403.7298
2021-02-03 19:00,409.44717
2021-02-03 20:00,412.90796
2021-02-03 21:00,416.04077
2021-02-03 22:00,418.53403
2021-02-03 23:00,420.86685
2021-02-04 00:00,420.48053
2021-02-04 01:00,421.2574
2021-02-04 02:00,413.663
2021-02-04 03:00,407.5474
2021-02-04 04:00,399.72797
2021-02-04 05:00,401.10733
2021-02-04 06:00,408.41446
2021-02-04 07:00,413.54913
2021-02-04 08:00,418.28668
2021-02-04 09:00,420.5926
2021-02-04 10:00,421.04385
2021-02-04 11:00,419.94482
2021-02-04 12:00,418.66177
2021-02-04 13:00,415.2915
2021-02-04 14:00,408.03726
2021-02-04 15:00,401.54108
2021-02-04 16:00,400.168
2021-02-04 17:00,401.41953
2021-02-04 18:00,403.80685
2021-02-04 19:00,409.65204
2021-02-04 20:00,412.70673
2021-02-04 21:00,415.35556
2021-02-04 22:00,417.41757
2021-02-04 23:00,419.6927
2021-02-02 00:00,397.33295
2021-02-02 01:00,397.30127
2021-02-02 02:00,385.9444
2021-02-02 03:00,378.98483
2021-02-02 04:00,369.4803
2021-02-02 05:00,372.70093
2021-02-02 06:00,384.94
2021-02-02 07:00,390.27402
2021-02-02 08:00,397.48676
2021-02-02 09:00,400.98505
2021-02-02 10:00,401.22156
2021-02-02 11:00,399.04092
2021-02-02 12:00,397.77457
2021-02-02 13:00,394.40265
2021-02-02 14:00,386.29388
2021-02-02 15:00,380.66315
2021-02-02 16:00,379.81396
2021-02-02 17:00,382.1127
2021-02-02 18:00,386.80426
2021-02-02 19:00,393.344
2021-02-02 20:00,399.73813
2021-02-02 21:00,402.89893
2021-02-02 22:00,405.13516
2021-02-02 23:00,408.2874
2021-02-03 00:00,405.34628
2021-02-03 01:00,406.64355
2021-02-03 02:00,397.15533
2021-02-03 03:00,391.28644
2021-02-03 04:00,383.1985
2021-02-03 05:00,385.51
2021-02-03 06:00,396.0031
2021-02-03 07:00,400.58664
2021-02-03 08:00,407.35507
2021-02-03 09:00,410.70557
2021-02-03 10:00,411.62518
2021-02-03 11:00,408.8903
2021-02-03 12:00,407.3773
2021-02-03 13:00,404.15973
2021-02-03 14:00,396.3215
2021-02-03 15:00,391.0346
2021-02-03 16:00,390.68262
2021-02-03 17:00,391.84262
2021-02-03 18:00,395.5582
2021-02-03 19:00,401.75983
2021-02-03 20:00,407.24152
2021-02-03 21:00,410.52325
2021-02-03 22:00,412.41446
2021-02-03 23:00,415.0147
2021-02-04 00:00,412.70932
2021-02-04 01:00,413.6297
2021-02-04 02:00,404.60074
2021-02-04 03:00,398.6071
2021-02-04 04:00,390.68326
2021-02-04 05:00,392.4174
2021-02-04 06:00,402.36783
2021-02-04 07:00,406.9782
2021-02-04 08:00,413.5229
2021-02-04 09:00,416.54272
2021-02-04 10:00,417.30023
2021-02-04 11:00,414.89096
2021-02-04 12:00,413.08896
2021-02-04 13:00,409.49994
2021-02-04 14:00,401.567
2021-02-04 15:00,395.8474
2021-02-04 16:00,395.24933
2021-02-04 17:00,396.221
2021-02-04 18:00,400.22067
2021-02-04 19:00,406.02145
2021-02-04 20:00,411.16412
2021-02-04 21:00,414.362
2021-02-04 22:00,416.2968
2021-02-04 23:00,418.6001
2021-02-05 00:00,414.96295
2021-02-05 01:00,415.37354
2021-02-05 02:00,405.53876
2021-02-05 03:00,399.2431
2021-02-05 04:00,391.27533
2021-02-05 05:00,392.81342
2021-02-05 06:00,402.62674
2021-02-05 07:00,407.08722
2021-02-05 08:00,413.35287
2021-02-05 09:00,416.70395
2021-02-05 10:00,417.19537
2021-02-05 11:00,414.37164
2021-02-05 12:00,412.98648
2021-02-05 13:00,409.10654
2021-02-05 14:00,401.0005
2021-02-05 15:00,394.85782
2021-02-05 16:00,394.00705
2021-02-05 17:00,395.20255
2021-02-05 18:00,399.08698
