Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,441.70914
2021-02-01 01:00,416.091
2021-02-01 02:00,397.2826
2021-02-01 03:00,387.69022
2021-02-01 04:00,393.7458
2021-02-01 05:00,416.42514
2021-02-01 06:00,449.9499
2021-02-01 07:00,484.99512
2021-02-01 08:00,501.20612
2021-02-01 09:00,503.52402
2021-02-01 10:00,506.0359
2021-02-01 11:00,507.76764
2021-02-01 12:00,506.69794
2021-02-01 13:00,504.57245
2021-02-01 14:00,502.72614
2021-02-01 15:00,503.20142
2021-02-01 16:00,501.85312
2021-02-01 17:00,500.86053
2021-02-01 18:00,501.74274
2021-02-01 19:00,502.28204
2021-02-01 20:00,502.63126
2021-02-01 21:00,503.596
2021-02-01 22:00,494.27768
2021-02-01 23:00,463.11166
2021-02-02 00:00,435.23795
2021-02-02 01:00,410.35748
2021-02-02 02:00,393.3585
2021-02-02 03:00,386.8068
2021-02-02 04:00,395.1311
2021-02-02 05:00,419.50238
2021-02-02 06:00,452.95215
2021-02-02 07:00,486.26767
2021-02-02 08:00,500.43243
2021-02-02 09:00,503.53964
2021-02-02 10:00,506.077
2021-02-02 11:00,508.6894
2021-02-02 12:00,508.8068
2021-02-02 13:00,508.03644
2021-02-02 14:00,506.28867
2021-02-02 15:00,506.55045
2021-02-02 16:00,506.3461
2021-02-02 17:00,505.81915
2021-02-02 18:00,506.32803
2021-02-02 19:00,504.70282
2021-02-02 20:00,502.47208
2021-02-02 21:00,500.7501
2021-02-02 22:00,488.84415
2021-02-02 23:00,455.9002
2021-02-03 00:00,429.38248
2021-02-03 01:00,407.02563
2021-02-03 02:00,391.28787
2021-02-03 03:00,386.0793
2021-02-03 04:00,395.42877
2021-02-03 05:00,418.63852
2021-02-03 06:00,451.2304
2021-02-03 07:00,483.1501
2021-02-03 08:00,496.50235
2021-02-03 09:00,498.66153
2021-02-03 10:00,500.71957
2021-02-03 11:00,504.77548
2021-02-03 12:00,505.39023
2021-02-03 13:00,505.6476
2021-02-03 14:00,504.302
2021-02-03 15:00,503.8471
2021-02-03 16:00,502.57993
2021-02-03 17:00,502.4099
2021-02-03 18:00,502.83456
2021-02-03 19:00,500.7146
2021-02-03 20:00,498.4896
2021-02-03 21:00,495.74823
2021-02-03 22:00,483.41797
2021-02-03 23:00,451.61588
2021-02-04 00:00,427.95453
2021-02-04 01:00,408.04092
2021-02-04 02:00,395.67935
2021-02-04 03:00,393.0074
2021-02-04 04:00,400.54016
2021-02-04 05:00,420.5214
2021-02-04 06:00,450.20782
2021-02-04 07:00,481.29956
2021-02-04 08:00,495.8287
2021-02-04 09:00,499.05792
2021-02-04 10:00,501.22836
2021-02-04 11:00,504.29767
2021-02-04 12:00,504.97275
2021-02-04 13:00,505.539
2021-02-04 14:00,504.5752
2021-02-04 15:00,505.30484
2021-02-04 16:00,504.51498
2021-02-04 17:00,504.2733
2021-02-04 18:00,504.17422
2021-02-04 19:00,500.93335
2021-02-04 20:00,496.60724
2021-02-04 21:00,492.85703
2021-02-04 22:00,480.60825
2021-02-04 23:00,451.58365
2021-02-02 00:00,471.29858
2021-02-02 01:00,456.50742
2021-02-02 02:00,440.4494
2021-02-02 03:00,433.00684
2021-02-02 04:00,437.54852
2021-02-02 05:00,448.97714
2021-02-02 06:00,465.75455
2021-02-02 07:00,488.46918
2021-02-02 08:00,498.35687
2021-02-02 09:00,497.96906
2021-02-02 10:00,498.70883
2021-02-02 11:00,500.16803
2021-02-02 12:00,500.34906
2021-02-02 13:00,499.9918
2021-02-02 14:00,498.87036
2021-02-02 15:00,498.77457
2021-02-02 16:00,498.91986
2021-02-02 17:00,500.07928
2021-02-02 18:00,499.229
2021-02-02 19:00,497.8598
2021-02-02 20:00,497.4842
2021-02-02 21:00,497.7627
2021-02-02 22:00,491.0106
2021-02-02 23:00,467.89325
2021-02-03 00:00,448.01337
2021-02-03 01:00,429.72363
2021-02-03 02:00,415.21844
2021-02-03 03:00,408.13196
2021-02-03 04:00,416.58368
2021-02-03 05:00,433.90536
2021-02-03 06:00,459.4754
2021-02-03 07:00,486.97052
2021-02-03 08:00,497.17743
2021-02-03 09:00,497.02426
2021-02-03 10:00,497.33234
2021-02-03 11:00,499.83905
