Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,458.11328
2021-02-01 01:00,458.75934
2021-02-01 02:00,461.18936
2021-02-01 03:00,460.65088
2021-02-01 04:00,458.8042
2021-02-01 05:00,457.84546
2021-02-01 06:00,458.10556
2021-02-01 07:00,457.1281
2021-02-01 08:00,454.03754
2021-02-01 09:00,453.94452
2021-02-01 10:00,454.60956
2021-02-01 11:00,458.5052
2021-02-01 12:00,459.08984
2021-02-01 13:00,460.6396
2021-02-01 14:00,459.96417
2021-02-01 15:00,460.16177
2021-02-01 16:00,455.17133
2021-02-01 17:00,455.21362
2021-02-01 18:00,453.85718
2021-02-01 19:00,453.25497
2021-02-01 20:00,451.82886
2021-02-01 21:00,454.1198
2021-02-01 22:00,455.06787
2021-02-01 23:00,456.55145
2021-02-02 00:00,457.0119
2021-02-02 01:00,457.41064
2021-02-02 02:00,459.5498
2021-02-02 03:00,459.01398
2021-02-02 04:00,457.691
2021-02-02 05:00,456.51724
2021-02-02 06:00,456.81464
2021-02-02 07:00,455.88135
2021-02-02 08:00,452.8482
2021-02-02 09:00,452.6678
2021-02-02 10:00,453.5949
2021-02-02 11:00,457.42212
2021-02-02 12:00,458.24258
2021-02-02 13:00,460.1001
2021-02-02 14:00,459.80313
2021-02-02 15:00,459.84308
2021-02-02 16:00,455.1167
2021-02-02 17:00,455.04404
2021-02-02 18:00,453.5547
2021-02-02 19:00,452.82544
2021-02-02 20:00,451.15292
2021-02-02 21:00,453.00714
2021-02-02 22:00,453.89923
2021-02-02 23:00,455.49796
2021-02-03 00:00,456.24933
2021-02-03 01:00,456.8999
2021-02-03 02:00,458.63632
2021-02-03 03:00,457.77203
2021-02-03 04:00,456.61636
2021-02-03 05:00,455.40448
2021-02-03 06:00,455.48697
2021-02-03 07:00,454.69247
2021-02-03 08:00,452.06128
2021-02-03 09:00,452.11465
2021-02-03 10:00,452.9654
2021-02-03 11:00,456.98868
2021-02-03 12:00,458.2054
2021-02-03 13:00,460.21738
2021-02-03 14:00,459.80365
2021-02-03 15:00,459.8797
2021-02-03 16:00,455.34717
2021-02-03 17:00,455.274
2021-02-03 18:00,453.79678
2021-02-03 19:00,452.64044
2021-02-03 20:00,450.9379
2021-02-03 21:00,452.32242
2021-02-03 22:00,453.00888
2021-02-03 23:00,454.24908
2021-02-04 00:00,454.72467
2021-02-04 01:00,454.74115
2021-02-04 02:00,456.28018
2021-02-04 03:00,455.4626
2021-02-04 04:00,454.43863
2021-02-04 05:00,453.49884
2021-02-04 06:00,453.62482
2021-02-04 07:00,453.35782
2021-02-04 08:00,451.09683
2021-02-04 09:00,451.16156
2021-02-04 10:00,452.31958
2021-02-04 11:00,455.86972
2021-02-04 12:00,457.05167
2021-02-04 13:00,459.2374
2021-02-04 14:00,458.9956
2021-02-04 15:00,459.41168
2021-02-04 16:00,454.99112
2021-02-04 17:00,454.587
2021-02-04 18:00,452.8878
2021-02-04 19:00,451.60498
2021-02-04 20:00,449.2211
2021-02-04 21:00,449.9372
2021-02-04 22:00,450.3283
2021-02-04 23:00,451.1731
2021-02-02 00:00,459.75604
2021-02-02 01:00,459.69955
2021-02-02 02:00,459.6336
2021-02-02 03:00,458.95233
2021-02-02 04:00,457.74292
2021-02-02 05:00,455.97345
2021-02-02 06:00,456.7958
2021-02-02 07:00,456.18805
2021-02-02 08:00,454.1482
2021-02-02 09:00,453.77704
