Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,431.08173
2021-02-01 01:00,424.9371
2021-02-01 02:00,422.72485
2021-02-01 03:00,425.81558
2021-02-01 04:00,431.0218
2021-02-01 05:00,438.84076
2021-02-01 06:00,443.1153
2021-02-01 07:00,449.58374
2021-02-01 08:00,454.18536
2021-02-01 09:00,449.3584
2021-02-01 10:00,442.66953
2021-02-01 11:00,437.62335
2021-02-01 12:00,440.4563
2021-02-01 13:00,447.19818
2021-02-01 14:00,446.7578
2021-02-01 15:00,449.64786
2021-02-01 16:00,452.98712
2021-02-01 17:00,449.48242
2021-02-01 18:00,447.27963
2021-02-01 19:00,439.88345
2021-02-01 20:00,440.1539
2021-02-01 21:00,434.62677
2021-02-01 22:00,431.37125
2021-02-01 23:00,430.08862
2021-02-02 00:00,429.77008
2021-02-02 01:00,426.13394
2021-02-02 02:00,424.1581
2021-02-02 03:00,427.4615
2021-02-02 04:00,429.6734
2021-02-02 05:00,438.09018
2021-02-02 06:00,442.19296
2021-02-02 07:00,448.2129
2021-02-02 08:00,454.36572
2021-02-02 09:00,449.8834
2021-02-02 10:00,444.94873
2021-02-02 11:00,445.14825
2021-02-02 12:00,443.41562
2021-02-02 13:00,443.3102
2021-02-02 14:00,442.91412
2021-02-02 15:00,447.16815
2021-02-02 16:00,448.73877
2021-02-02 17:00,448.4676
2021-02-02 18:00,448.135
2021-02-02 19:00,435.96332
2021-02-02 20:00,433.30377
2021-02-02 21:00,428.76675
2021-02-02 22:00,427.33984
2021-02-02 23:00,425.20703
2021-02-03 00:00,423.96582
2021-02-03 01:00,422.6915
2021-02-03 02:00,422.99844
2021-02-03 03:00,421.16644
2021-02-03 04:00,426.7833
2021-02-03 05:00,433.44473
2021-02-03 06:00,440.4413
2021-02-03 07:00,448.43198
2021-02-03 08:00,448.2508
2021-02-03 09:00,448.60782
2021-02-03 10:00,440.09366
2021-02-03 11:00,438.6833
2021-02-03 12:00,437.51627
2021-02-03 13:00,436.6258
2021-02-03 14:00,433.83258
2021-02-03 15:00,433.79068
2021-02-03 16:00,439.74063
2021-02-03 17:00,440.2287
2021-02-03 18:00,432.90543
2021-02-03 19:00,429.48764
2021-02-03 20:00,423.97763
2021-02-03 21:00,421.7812
2021-02-03 22:00,420.14795
2021-02-03 23:00,417.34293
2021-02-04 00:00,417.1766
2021-02-04 01:00,418.861
2021-02-04 02:00,417.2832
2021-02-04 03:00,421.75165
2021-02-04 04:00,424.31354
2021-02-04 05:00,432.66104
2021-02-04 06:00,434.13004
2021-02-04 07:00,442.66724
2021-02-04 08:00,445.29965
2021-02-04 09:00,443.8353
2021-02-04 10:00,439.9041
2021-02-04 11:00,435.24554
2021-02-04 12:00,437.56235
2021-02-04 13:00,437.75424
2021-02-04 14:00,437.77557
2021-02-04 15:00,444.4007
2021-02-04 16:00,447.25497
2021-02-04 17:00,446.37958
2021-02-04 18:00,440.3037
