Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,267.3419
2021-02-01 01:00,264.0636
2021-02-01 02:00,265.699
2021-02-01 03:00,270.03766
2021-02-01 04:00,280.98288
2021-02-01 05:00,293.7796
2021-02-01 06:00,304.41583
2021-02-01 07:00,310.2627
2021-02-01 08:00,313.16376
2021-02-01 09:00,313.404
2021-02-01 10:00,311.35968
2021-02-01 11:00,306.2001
2021-02-01 12:00,296.48917
2021-02-01 13:00,278.84476
2021-02-01 14:00,259.9184
2021-02-01 15:00,245.73715
2021-02-01 16:00,238.91182
2021-02-01 17:00,234.97685
2021-02-01 18:00,232.28525
2021-02-01 19:00,229.13528
2021-02-01 20:00,230.27568
2021-02-01 21:00,234.49106
2021-02-01 22:00,238.11902
2021-02-01 23:00,239.55515
2021-02-02 00:00,231.69238
2021-02-02 01:00,229.08401
2021-02-02 02:00,231.74458
2021-02-02 03:00,236.00003
2021-02-02 04:00,244.30069
2021-02-02 05:00,254.26172
2021-02-02 06:00,262.7311
2021-02-02 07:00,268.6555
2021-02-02 08:00,271.77847
2021-02-02 09:00,272.68594
2021-02-02 10:00,271.81058
2021-02-02 11:00,269.23425
2021-02-02 12:00,261.77167
2021-02-02 13:00,246.86467
2021-02-02 14:00,231.10706
2021-02-02 15:00,219.11337
2021-02-02 16:00,213.25887
2021-02-02 17:00,209.75815
2021-02-02 18:00,208.20361
2021-02-02 19:00,204.9576
2021-02-02 20:00,206.19832
2021-02-02 21:00,211.12302
2021-02-02 22:00,214.73262
2021-02-02 23:00,213.53276
2021-02-03 00:00,204.31502
2021-02-03 01:00,201.87154
2021-02-03 02:00,205.5341
2021-02-03 03:00,210.39746
2021-02-03 04:00,218.83733
2021-02-03 05:00,229.92583
2021-02-03 06:00,239.3798
2021-02-03 07:00,246.13672
2021-02-03 08:00,250.29031
2021-02-03 09:00,251.5299
2021-02-03 10:00,250.54033
2021-02-03 11:00,247.64526
2021-02-03 12:00,240.94849
2021-02-03 13:00,227.39392
2021-02-03 14:00,213.36075
2021-02-03 15:00,203.0666
2021-02-03 16:00,198.1207
2021-02-03 17:00,194.37761
2021-02-03 18:00,192.37135
2021-02-03 19:00,189.90796
2021-02-03 20:00,192.19444
2021-02-03 21:00,196.94278
2021-02-03 22:00,199.8407
2021-02-03 23:00,198.49231
2021-02-04 00:00,190.03296
2021-02-04 01:00,188.32224
2021-02-04 02:00,191.76161
2021-02-04 03:00,197.52908
2021-02-04 04:00,206.91586
2021-02-04 05:00,217.88452
2021-02-04 06:00,227.221
2021-02-04 07:00,234.3187
2021-02-04 08:00,239.18742
2021-02-04 09:00,241.97615
2021-02-04 10:00,242.67241
2021-02-04 11:00,241.3671
2021-02-04 12:00,235.35905
2021-02-04 13:00,222.26294
2021-02-04 14:00,208.543
2021-02-04 15:00,198.60335
2021-02-04 16:00,193.59558
2021-02-04 17:00,191.15164
2021-02-04 18:00,190.8542
2021-02-04 19:00,190.23103
2021-02-04 20:00,192.86356
2021-02-04 21:00,197.51271
2021-02-04 22:00,201.14937
2021-02-04 23:00,200.09259
2021-02-02 00:00,234.71164
2021-02-02 01:00,230.38943
2021-02-02 02:00,231.3525
2021-02-02 03:00,237.13452
2021-02-02 04:00,246.08134
2021-02-02 05:00,257.01825
2021-02-02 06:00,267.79062
2021-02-02 07:00,272.28494
2021-02-02 08:00,276.01297
2021-02-02 09:00,276.20825
2021-02-02 10:00,272.82538
2021-02-02 11:00,269.2367
2021-02-02 12:00,259.133
2021-02-02 13:00,243.30124
2021-02-02 14:00,232.16074
2021-02-02 15:00,223.73833
2021-02-02 16:00,215.75517
2021-02-02 17:00,210.7592
2021-02-02 18:00,207.51465
2021-02-02 19:00,202.31105
2021-02-02 20:00,202.5548
2021-02-02 21:00,208.09937
2021-02-02 22:00,215.23213
2021-02-02 23:00,217.17412
2021-02-03 00:00,208.04959
2021-02-03 01:00,205.55215
2021-02-03 02:00,209.0303
2021-02-03 03:00,214.98384
2021-02-03 04:00,224.3958
2021-02-03 05:00,235.42563
2021-02-03 06:00,245.34668
2021-02-03 07:00,250.98882
2021-02-03 08:00,254.0695
2021-02-03 09:00,253.61227
2021-02-03 10:00,251.54768
2021-02-03 11:00,249.42697
2021-02-03 12:00,241.3959
2021-02-03 13:00,227.34917
2021-02-03 14:00,216.79758
2021-02-03 15:00,208.4031
2021-02-03 16:00,200.33185
2021-02-03 17:00,195.39621
2021-02-03 18:00,193.30336
2021-02-03 19:00,191.20584
2021-02-03 20:00,193.39578
2021-02-03 21:00,198.94499
2021-02-03 22:00,205.83682
2021-02-03 23:00,207.96294
2021-02-04 00:00,199.38133
2021-02-04 01:00,196.17249
2021-02-04 02:00,199.2342
2021-02-04 03:00,204.99715
2021-02-04 04:00,213.48344
2021-02-04 05:00,224.98557
2021-02-04 06:00,235.5975
2021-02-04 07:00,241.55142
2021-02-04 08:00,245.21074
2021-02-04 09:00,244.85489
2021-02-04 10:00,242.98483
2021-02-04 11:00,240.21756
2021-02-04 12:00,231.96265
2021-02-04 13:00,218.45126
2021-02-04 14:00,208.98003
2021-02-04 15:00,201.54735
2021-02-04 16:00,195.11763
2021-02-04 17:00,190.26648
2021-02-04 18:00,188.12929
2021-02-04 19:00,185.91277
2021-02-04 20:00,186.55574
2021-02-04 21:00,190.15547
2021-02-04 22:00,193.90665
2021-02-04 23:00,194.43387
2021-02-05 00:00,186.20052
2021-02-05 01:00,182.81323
2021-02-05 02:00,185.69698
2021-02-05 03:00,192.35086
2021-02-05 04:00,201.9537
2021-02-05 05:00,213.76416
2021-02-05 06:00,224.82776
2021-02-05 07:00,231.34232
2021-02-05 08:00,235.50635
2021-02-05 09:00,236.91907
2021-02-05 10:00,237.31299
2021-02-05 11:00,235.81125
2021-02-05 12:00,227.58423
2021-02-05 13:00,213.79536
2021-02-05 14:00,203.6211
2021-02-05 15:00,195.65738
2021-02-05 16:00,189.18332
2021-02-05 17:00,185.51181
2021-02-05 18:00,183.43253
2021-02-05 19:00,181.7099
2021-02-05 20:00,183.45932
2021-02-05 21:00,187.4064
2021-02-05 22:00,191.67404
2021-02-05 23:00,191.9849
2021-02-03 00:00,211.40707
2021-02-03 01:00,208.71822
2021-02-03 02:00,210.51718
2021-02-03 03:00,215.43881
2021-02-03 04:00,225.15945
2021-02-03 05:00,236.37944
2021-02-03 06:00,248.844
2021-02-03 07:00,253.60445
2021-02-03 08:00,255.5435
2021-02-03 09:00,255.10161
2021-02-03 10:00,252.4179
2021-02-03 11:00,250.02011
2021-02-03 12:00,240.80484
2021-02-03 13:00,227.80118
2021-02-03 14:00,219.46233
2021-02-03 15:00,213.24138
2021-02-03 16:00,205.6733
2021-02-03 17:00,201.47351
2021-02-03 18:00,198.40157
2021-02-03 19:00,194.7281
2021-02-03 20:00,192.19617
2021-02-03 21:00,195.24626
2021-02-03 22:00,198.83313
2021-02-03 23:00,196.56094
2021-02-04 00:00,185.78717
2021-02-04 01:00,183.2057
2021-02-04 02:00,186.13428
2021-02-04 03:00,190.89017
2021-02-04 04:00,199.46883
2021-02-04 05:00,210.35213
2021-02-04 06:00,220.6108
2021-02-04 07:00,225.31963
2021-02-04 08:00,226.46158
2021-02-04 09:00,226.05533
2021-02-04 10:00,224.58134
2021-02-04 11:00,223.23853
2021-02-04 12:00,214.95879
2021-02-04 13:00,202.6258
2021-02-04 14:00,194.18295
2021-02-04 15:00,188.4595
2021-02-04 16:00,183.05495
2021-02-04 17:00,180.61655
2021-02-04 18:00,179.98892
2021-02-04 19:00,178.40082
2021-02-04 20:00,177.525
2021-02-04 21:00,181.65085
2021-02-04 22:00,185.85855
2021-02-04 23:00,184.69524
2021-02-05 00:00,175.81242
2021-02-05 01:00,173.92255
2021-02-05 02:00,178.0795
2021-02-05 03:00,184.43344
