Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,23.876774
2021-02-01 01:00,25.000916
2021-02-01 02:00,26.651035
2021-02-01 03:00,28.543549
2021-02-01 04:00,26.891766
2021-02-01 05:00,25.076542
2021-02-01 06:00,25.689978
2021-02-01 07:00,25.998774
2021-02-01 08:00,25.645618
2021-02-01 09:00,25.13238
2021-02-01 10:00,23.367525
2021-02-01 11:00,23.024122
2021-02-01 12:00,23.621613
2021-02-01 13:00,24.274292
2021-02-01 14:00,25.249668
2021-02-01 15:00,25.88494
2021-02-01 16:00,24.174494
2021-02-01 17:00,23.208715
2021-02-01 18:00,22.27483
2021-02-01 19:00,20.499088
2021-02-01 20:00,19.44192
2021-02-01 21:00,18.912043
2021-02-01 22:00,19.004404
2021-02-01 23:00,20.277517
2021-02-02 00:00,22.262714
2021-02-02 01:00,23.909893
2021-02-02 02:00,26.20704
2021-02-02 03:00,28.533203
2021-02-02 04:00,27.308004
2021-02-02 05:00,25.990646
2021-02-02 06:00,26.611694
2021-02-02 07:00,26.764288
2021-02-02 08:00,26.287678
2021-02-02 09:00,25.47133
2021-02-02 10:00,23.988287
2021-02-02 11:00,23.508966
2021-02-02 12:00,24.013401
2021-02-02 13:00,24.654278
2021-02-02 14:00,25.83038
2021-02-02 15:00,26.262716
2021-02-02 16:00,24.703651
2021-02-02 17:00,23.43414
2021-02-02 18:00,22.442663
2021-02-02 19:00,20.918423
2021-02-02 20:00,20.221294
2021-02-02 21:00,19.681677
2021-02-02 22:00,19.559904
2021-02-02 23:00,20.746964
2021-02-03 00:00,22.726217
2021-02-03 01:00,24.308382
2021-02-03 02:00,26.84101
2021-02-03 03:00,29.065918
2021-02-03 04:00,27.726995
2021-02-03 05:00,26.531433
2021-02-03 06:00,27.268005
2021-02-03 07:00,27.240604
2021-02-03 08:00,26.829916
2021-02-03 09:00,25.762344
2021-02-03 10:00,23.938498
2021-02-03 11:00,23.517193
2021-02-03 12:00,23.878073
2021-02-03 13:00,24.047848
2021-02-03 14:00,24.80401
2021-02-03 15:00,25.024519
2021-02-03 16:00,23.576725
2021-02-03 17:00,22.381737
2021-02-03 18:00,21.131624
2021-02-03 19:00,19.808767
2021-02-03 20:00,18.869343
2021-02-03 21:00,18.24742
2021-02-03 22:00,18.201262
2021-02-03 23:00,19.309725
2021-02-04 00:00,21.047867
2021-02-04 01:00,22.540564
2021-02-04 02:00,24.813372
2021-02-04 03:00,26.51469
2021-02-04 04:00,25.538036
2021-02-04 05:00,24.379427
2021-02-04 06:00,24.715525
2021-02-04 07:00,25.032743
2021-02-04 08:00,24.9389
2021-02-04 09:00,24.330929
2021-02-04 10:00,22.714039
2021-02-04 11:00,22.440231
2021-02-04 12:00,22.899796
2021-02-04 13:00,23.430822
2021-02-04 14:00,24.397228
2021-02-04 15:00,24.683947
2021-02-04 16:00,23.32056
2021-02-04 17:00,22.458593
2021-02-04 18:00,21.573801
2021-02-04 19:00,20.329248
2021-02-04 20:00,19.606857
2021-02-04 21:00,19.05939
2021-02-04 22:00,19.173243
2021-02-04 23:00,20.189762
2021-02-02 00:00,21.666168
2021-02-02 01:00,23.264673
2021-02-02 02:00,25.048355
2021-02-02 03:00,28.108856
