Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,350.91144
2021-02-01 01:00,356.67175
2021-02-01 02:00,359.23587
2021-02-01 03:00,358.16177
2021-02-01 04:00,354.36566
2021-02-01 05:00,349.2437
2021-02-01 06:00,348.2185
2021-02-01 07:00,347.03348
2021-02-01 08:00,345.29703
2021-02-01 09:00,343.94345
2021-02-01 10:00,345.42438
2021-02-01 11:00,347.63422
2021-02-01 12:00,349.5499
2021-02-01 13:00,352.88925
2021-02-01 14:00,355.07858
2021-02-01 15:00,353.97528
2021-02-01 16:00,349.546
2021-02-01 17:00,345.0643
2021-02-01 18:00,345.79968
2021-02-01 19:00,346.8366
2021-02-01 20:00,352.0583
2021-02-01 21:00,365.58527
2021-02-01 22:00,373.64658
2021-02-01 23:00,376.41995
2021-02-02 00:00,379.6569
2021-02-02 01:00,382.30377
2021-02-02 02:00,382.0044
2021-02-02 03:00,380.9483
2021-02-02 04:00,375.69662
2021-02-02 05:00,369.9668
2021-02-02 06:00,367.8576
2021-02-02 07:00,367.4733
2021-02-02 08:00,365.70233
2021-02-02 09:00,364.2917
2021-02-02 10:00,364.01443
2021-02-02 11:00,364.10074
2021-02-02 12:00,365.06696
2021-02-02 13:00,366.8367
2021-02-02 14:00,367.46753
2021-02-02 15:00,366.66324
2021-02-02 16:00,361.68237
2021-02-02 17:00,357.07587
2021-02-02 18:00,358.64264
2021-02-02 19:00,359.2953
2021-02-02 20:00,364.44653
2021-02-02 21:00,377.54373
2021-02-02 22:00,384.27893
2021-02-02 23:00,387.21808
2021-02-03 00:00,391.422
2021-02-03 01:00,394.281
2021-02-03 02:00,392.59036
2021-02-03 03:00,388.25323
2021-02-03 04:00,382.25
2021-02-03 05:00,376.05624
2021-02-03 06:00,373.01593
2021-02-03 07:00,372.45395
2021-02-03 08:00,369.4296
2021-02-03 09:00,367.44568
2021-02-03 10:00,367.2591
2021-02-03 11:00,368.23944
2021-02-03 12:00,369.32648
2021-02-03 13:00,370.30972
2021-02-03 14:00,370.6406
2021-02-03 15:00,369.59448
2021-02-03 16:00,365.77142
2021-02-03 17:00,360.86435
2021-02-03 18:00,360.85257
2021-02-03 19:00,361.64188
2021-02-03 20:00,366.11044
2021-02-03 21:00,377.3958
2021-02-03 22:00,384.01727
2021-02-03 23:00,386.33173
2021-02-04 00:00,388.6668
2021-02-04 01:00,389.96072
2021-02-04 02:00,388.74945
2021-02-04 03:00,385.12814
2021-02-04 04:00,378.95166
2021-02-04 05:00,371.03488
2021-02-04 06:00,367.54654
2021-02-04 07:00,366.17993
2021-02-04 08:00,365.91437
2021-02-04 09:00,365.80368
2021-02-04 10:00,366.10187
2021-02-04 11:00,365.95538
2021-02-04 12:00,367.31143
2021-02-04 13:00,369.08228
2021-02-04 14:00,368.52325
2021-02-04 15:00,367.694
2021-02-04 16:00,362.26727
2021-02-04 17:00,356.1025
2021-02-04 18:00,355.03613
2021-02-04 19:00,354.16266
2021-02-04 20:00,356.98755
2021-02-04 21:00,367.6975
2021-02-04 22:00,375.1962
2021-02-04 23:00,378.36285
2021-02-02 00:00,429.43246
2021-02-02 01:00,431.92584
2021-02-02 02:00,428.25113
2021-02-02 03:00,420.5835
2021-02-02 04:00,411.12775
2021-02-02 05:00,393.35245
2021-02-02 06:00,384.95337
2021-02-02 07:00,381.72144
2021-02-02 08:00,377.38934
2021-02-02 09:00,374.3309
2021-02-02 10:00,371.19165
