Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,411.9048
2021-02-01 01:00,413.61362
2021-02-01 02:00,417.6828
2021-02-01 03:00,418.5128
2021-02-01 04:00,415.80133
2021-02-01 05:00,414.53467
2021-02-01 06:00,412.30347
2021-02-01 07:00,411.92984
2021-02-01 08:00,413.06683
2021-02-01 09:00,414.05365
2021-02-01 10:00,413.66837
2021-02-01 11:00,413.50717
2021-02-01 12:00,412.8523
2021-02-01 13:00,409.71924
2021-02-01 14:00,408.61932
2021-02-01 15:00,410.45044
2021-02-01 16:00,412.4815
2021-02-01 17:00,413.56836
2021-02-01 18:00,413.65903
2021-02-01 19:00,410.91986
2021-02-01 20:00,408.36356
2021-02-01 21:00,411.20078
2021-02-01 22:00,410.5432
2021-02-01 23:00,410.3813
2021-02-02 00:00,411.58612
2021-02-02 01:00,414.07797
2021-02-02 02:00,418.93427
2021-02-02 03:00,419.2763
2021-02-02 04:00,415.88428
2021-02-02 05:00,413.56073
2021-02-02 06:00,411.48373
2021-02-02 07:00,411.534
2021-02-02 08:00,412.29608
2021-02-02 09:00,413.10712
2021-02-02 10:00,413.32
2021-02-02 11:00,413.3685
2021-02-02 12:00,412.76898
2021-02-02 13:00,409.88705
2021-02-02 14:00,408.7752
2021-02-02 15:00,410.20697
2021-02-02 16:00,411.7545
2021-02-02 17:00,412.58783
2021-02-02 18:00,412.89044
2021-02-02 19:00,410.71866
2021-02-02 20:00,408.52777
2021-02-02 21:00,411.33942
2021-02-02 22:00,410.28394
2021-02-02 23:00,409.79672
2021-02-03 00:00,410.9372
2021-02-03 01:00,413.33624
2021-02-03 02:00,418.1524
2021-02-03 03:00,418.45532
2021-02-03 04:00,415.3607
2021-02-03 05:00,413.20953
2021-02-03 06:00,411.0334
2021-02-03 07:00,411.0272
2021-02-03 08:00,411.77197
2021-02-03 09:00,412.51263
2021-02-03 10:00,412.73227
2021-02-03 11:00,412.8163
2021-02-03 12:00,412.37857
2021-02-03 13:00,409.7811
2021-02-03 14:00,408.8859
2021-02-03 15:00,410.26392
2021-02-03 16:00,411.64297
2021-02-03 17:00,412.31747
2021-02-03 18:00,412.59576
2021-02-03 19:00,410.34653
2021-02-03 20:00,408.15033
2021-02-03 21:00,410.9522
2021-02-03 22:00,409.99274
2021-02-03 23:00,409.75775
2021-02-04 00:00,411.05966
2021-02-04 01:00,413.51132
2021-02-04 02:00,418.03326
2021-02-04 03:00,418.69345
2021-02-04 04:00,415.942
2021-02-04 05:00,413.75885
2021-02-04 06:00,411.53998
2021-02-04 07:00,411.45953
2021-02-04 08:00,412.15155
2021-02-04 09:00,412.9449
2021-02-04 10:00,413.1906
2021-02-04 11:00,413.19327
2021-02-04 12:00,412.6878
2021-02-04 13:00,410.2154
2021-02-04 14:00,409.4876
