Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,120.10664
2021-02-01 01:00,124.53322
2021-02-01 02:00,135.36143
2021-02-01 03:00,136.13983
2021-02-01 04:00,131.17856
2021-02-01 05:00,128.94568
2021-02-01 06:00,126.631
2021-02-01 07:00,125.54299
2021-02-01 08:00,124.34984
2021-02-01 09:00,114.652466
2021-02-01 10:00,121.514404
2021-02-01 11:00,135.69865
2021-02-01 12:00,154.05948
2021-02-01 13:00,154.8424
2021-02-01 14:00,172.10709
2021-02-01 15:00,174.62943
2021-02-01 16:00,163.63683
2021-02-01 17:00,163.73062
2021-02-01 18:00,156.60385
2021-02-01 19:00,155.47546
2021-02-01 20:00,151.41081
2021-02-01 21:00,142.85504
2021-02-01 22:00,134.43617
2021-02-01 23:00,122.240906
2021-02-02 00:00,124.085304
2021-02-02 01:00,127.48694
2021-02-02 02:00,137.8465
2021-02-02 03:00,138.90186
2021-02-02 04:00,134.50613
2021-02-02 05:00,131.25473
2021-02-02 06:00,128.46217
2021-02-02 07:00,128.58493
2021-02-02 08:00,126.30943
2021-02-02 09:00,117.04529
2021-02-02 10:00,124.72035
2021-02-02 11:00,137.7095
2021-02-02 12:00,154.03076
2021-02-02 13:00,155.01096
2021-02-02 14:00,170.3785
2021-02-02 15:00,173.87466
2021-02-02 16:00,164.26785
2021-02-02 17:00,165.39764
2021-02-02 18:00,158.35896
2021-02-02 19:00,157.5203
2021-02-02 20:00,154.00833
2021-02-02 21:00,146.29208
2021-02-02 22:00,137.57611
2021-02-02 23:00,125.10032
2021-02-03 00:00,126.94724
2021-02-03 01:00,131.20952
2021-02-03 02:00,141.4897
2021-02-03 03:00,140.98865
2021-02-03 04:00,136.49673
2021-02-03 05:00,133.3098
2021-02-03 06:00,130.07297
2021-02-03 07:00,128.96219
2021-02-03 08:00,127.76143
2021-02-03 09:00,118.93357
2021-02-03 10:00,126.056076
2021-02-03 11:00,138.32333
2021-02-03 12:00,154.59543
2021-02-03 13:00,155.60437
2021-02-03 14:00,171.03006
2021-02-03 15:00,174.98842
2021-02-03 16:00,166.103
2021-02-03 17:00,167.68489
2021-02-03 18:00,160.31873
2021-02-03 19:00,158.96194
2021-02-03 20:00,153.96806
2021-02-03 21:00,145.50424
2021-02-03 22:00,135.5079
2021-02-03 23:00,121.96141
2021-02-04 00:00,123.36521
2021-02-04 01:00,126.60193
2021-02-04 02:00,135.72754
2021-02-04 03:00,135.64677
2021-02-04 04:00,131.43794
2021-02-04 05:00,128.23785
2021-02-04 06:00,125.71682
2021-02-04 07:00,125.33622
2021-02-04 08:00,123.32732
2021-02-04 09:00,114.58041
2021-02-04 10:00,122.34678
2021-02-04 11:00,135.8573
2021-02-04 12:00,153.08902
2021-02-04 13:00,154.78467
2021-02-04 14:00,169.68121
2021-02-04 15:00,172.84598
2021-02-04 16:00,162.1611
2021-02-04 17:00,162.71207
2021-02-04 18:00,156.46886
2021-02-04 19:00,155.37988
2021-02-04 20:00,151.5461
2021-02-04 21:00,143.42789
2021-02-04 22:00,134.75137
2021-02-04 23:00,120.92883
2021-02-02 00:00,144.6973
2021-02-02 01:00,145.47005
2021-02-02 02:00,152.39038
2021-02-02 03:00,149.95833
2021-02-02 04:00,143.27303
2021-02-02 05:00,138.45738
2021-02-02 06:00,136.25912
2021-02-02 07:00,135.52635
2021-02-02 08:00,132.35402
2021-02-02 09:00,124.06908
2021-02-02 10:00,128.64656
2021-02-02 11:00,138.27014
2021-02-02 12:00,151.88582
2021-02-02 13:00,156.70686
2021-02-02 14:00,171.06691
2021-02-02 15:00,174.25998
2021-02-02 16:00,168.57646
2021-02-02 17:00,169.94421
2021-02-02 18:00,163.65431
2021-02-02 19:00,162.49336
2021-02-02 20:00,157.96617
2021-02-02 21:00,150.37589
2021-02-02 22:00,144.8331
2021-02-02 23:00,135.60495
2021-02-03 00:00,135.06645
2021-02-03 01:00,137.41194
2021-02-03 02:00,145.5874
2021-02-03 03:00,144.26741
2021-02-03 04:00,139.12015
2021-02-03 05:00,134.72404
2021-02-03 06:00,132.98401
2021-02-03 07:00,132.38794
2021-02-03 08:00,130.14645
2021-02-03 09:00,123.59554
2021-02-03 10:00,129.50414
2021-02-03 11:00,140.12352
2021-02-03 12:00,153.73827
2021-02-03 13:00,158.37248
2021-02-03 14:00,172.6025
2021-02-03 15:00,174.8172
2021-02-03 16:00,168.84355
2021-02-03 17:00,169.80704
2021-02-03 18:00,163.80965
2021-02-03 19:00,162.74487
2021-02-03 20:00,158.21793
2021-02-03 21:00,149.18692
2021-02-03 22:00,142.2778
2021-02-03 23:00,131.83136
2021-02-04 00:00,131.65175
2021-02-04 01:00,133.88159
2021-02-04 02:00,141.11433
2021-02-04 03:00,139.66643
2021-02-04 04:00,134.69241
2021-02-04 05:00,130.8284
2021-02-04 06:00,129.80502
2021-02-04 07:00,129.2316
2021-02-04 08:00,126.88682
2021-02-04 09:00,120.17556
2021-02-04 10:00,125.847336
2021-02-04 11:00,137.98122
2021-02-04 12:00,151.57089
2021-02-04 13:00,155.404
2021-02-04 14:00,168.6315
2021-02-04 15:00,170.40414
2021-02-04 16:00,163.97952
2021-02-04 17:00,166.27007
2021-02-04 18:00,160.20914
2021-02-04 19:00,158.7106
2021-02-04 20:00,154.65492
2021-02-04 21:00,146.68156
2021-02-04 22:00,140.31787
2021-02-04 23:00,130.71829
2021-02-05 00:00,130.44327
2021-02-05 01:00,133.25139
2021-02-05 02:00,140.47086
2021-02-05 03:00,138.66129
2021-02-05 04:00,133.51813
2021-02-05 05:00,129.45418
2021-02-05 06:00,128.36417
2021-02-05 07:00,127.88607
2021-02-05 08:00,125.05231
2021-02-05 09:00,117.68677
2021-02-05 10:00,123.42723
2021-02-05 11:00,134.89958
2021-02-05 12:00,148.43323
2021-02-05 13:00,152.84575
2021-02-05 14:00,166.67064
2021-02-05 15:00,168.52322
2021-02-05 16:00,162.21085
2021-02-05 17:00,163.48068
2021-02-05 18:00,157.68094
2021-02-05 19:00,156.83942
2021-02-05 20:00,152.7463
2021-02-05 21:00,145.48892
2021-02-05 22:00,139.92235
2021-02-05 23:00,129.88718
2021-02-03 00:00,152.15048
2021-02-03 01:00,153.18044
2021-02-03 02:00,160.52187
2021-02-03 03:00,155.3645
2021-02-03 04:00,146.58707
2021-02-03 05:00,140.41214
2021-02-03 06:00,136.90855
2021-02-03 07:00,134.9559
2021-02-03 08:00,133.09311
2021-02-03 09:00,128.03001
2021-02-03 10:00,128.40065
2021-02-03 11:00,135.69379
2021-02-03 12:00,149.49275
2021-02-03 13:00,154.30473
2021-02-03 14:00,169.1723
2021-02-03 15:00,172.95132
2021-02-03 16:00,168.3331
2021-02-03 17:00,174.21188
2021-02-03 18:00,168.92068
2021-02-03 19:00,166.30864
2021-02-03 20:00,161.10527
2021-02-03 21:00,155.66083
2021-02-03 22:00,148.8895
2021-02-03 23:00,140.63774
2021-02-04 00:00,138.36838
2021-02-04 01:00,141.82602
2021-02-04 02:00,149.85307
2021-02-04 03:00,147.02625
2021-02-04 04:00,139.32938
2021-02-04 05:00,134.62044
2021-02-04 06:00,131.47375
2021-02-04 07:00,131.01973
2021-02-04 08:00,128.1335
2021-02-04 09:00,123.655655
2021-02-04 10:00,125.01286
2021-02-04 11:00,133.09879
2021-02-04 12:00,148.5527
2021-02-04 13:00,153.47372
2021-02-04 14:00,168.15308
2021-02-04 15:00,171.10362
2021-02-04 16:00,165.29367
2021-02-04 17:00,169.18224
2021-02-04 18:00,162.87077
2021-02-04 19:00,160.51305
2021-02-04 20:00,156.07413
2021-02-04 21:00,151.05336
2021-02-04 22:00,143.97127
2021-02-04 23:00,135.70361
2021-02-05 00:00,133.93512
2021-02-05 01:00,137.75758
2021-02-05 02:00,146.41496
2021-02-05 03:00,143.56963
2021-02-05 04:00,135.65327
2021-02-05 05:00,131.09787
2021-02-05 06:00,127.30281
2021-02-05 07:00,126.60866
2021-02-05 08:00,124.02992
2021-02-05 09:00,118.986984
2021-02-05 10:00,120.76683
2021-02-05 11:00,130.14105
2021-02-05 12:00,146.93279
2021-02-05 13:00,151.79277
2021-02-05 14:00,165.21017
2021-02-05 15:00,167.67981
2021-02-05 16:00,161.88356
2021-02-05 17:00,164.75185
2021-02-05 18:00,158.96608
2021-02-05 19:00,157.47299
2021-02-05 20:00,153.86436
2021-02-05 21:00,149.59235
2021-02-05 22:00,142.08568
2021-02-05 23:00,133.69852
2021-02-06 00:00,132.22899
2021-02-06 01:00,136.89404
2021-02-06 02:00,146.58281
2021-02-06 03:00,144.18607
2021-02-06 04:00,136.30725
2021-02-06 05:00,131.4572
2021-02-06 06:00,128.38315
2021-02-06 07:00,127.70012
2021-02-06 08:00,124.611404
2021-02-06 09:00,119.952576
2021-02-06 10:00,121.59926
2021-02-06 11:00,131.32523
2021-02-06 12:00,147.92986
2021-02-06 13:00,153.0365
2021-02-06 14:00,166.30336
2021-02-06 15:00,168.76653
