Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,74.1447
2021-02-01 01:00,77.02086
2021-02-01 02:00,73.17631
2021-02-01 03:00,74.900314
2021-02-01 04:00,118.550766
2021-02-01 05:00,114.61161
2021-02-01 06:00,113.4389
2021-02-01 07:00,101.01475
2021-02-01 08:00,88.83061
2021-02-01 09:00,92.98607
2021-02-01 10:00,99.35838
2021-02-01 11:00,91.98419
2021-02-01 12:00,85.10083
2021-02-01 13:00,65.28495
2021-02-01 14:00,57.88148
2021-02-01 15:00,50.878246
2021-02-01 16:00,49.98978
2021-02-01 17:00,54.29014
2021-02-01 18:00,53.051533
2021-02-01 19:00,53.472668
2021-02-01 20:00,59.91913
2021-02-01 21:00,60.65803
2021-02-01 22:00,72.27803
2021-02-01 23:00,86.2719
2021-02-02 00:00,80.92757
2021-02-02 01:00,76.86295
2021-02-02 02:00,71.09282
2021-02-02 03:00,71.4974
2021-02-02 04:00,100.95758
2021-02-02 05:00,98.883286
2021-02-02 06:00,100.42101
2021-02-02 07:00,91.50035
2021-02-02 08:00,81.65184
2021-02-02 09:00,83.59707
2021-02-02 10:00,88.317055
2021-02-02 11:00,84.166336
2021-02-02 12:00,82.0115
2021-02-02 13:00,66.83534
2021-02-02 14:00,61.685448
2021-02-02 15:00,56.100647
2021-02-02 16:00,54.003
2021-02-02 17:00,55.98662
2021-02-02 18:00,53.709667
2021-02-02 19:00,55.51371
2021-02-02 20:00,61.9062
2021-02-02 21:00,63.360252
2021-02-02 22:00,74.51658
2021-02-02 23:00,85.34756
2021-02-03 00:00,78.84373
2021-02-03 01:00,76.10607
2021-02-03 02:00,71.22182
2021-02-03 03:00,71.523026
2021-02-03 04:00,98.30796
2021-02-03 05:00,94.638245
2021-02-03 06:00,93.43544
2021-02-03 07:00,84.80431
2021-02-03 08:00,76.5316
2021-02-03 09:00,79.58583
2021-02-03 10:00,84.994835
2021-02-03 11:00,82.1637
2021-02-03 12:00,79.96327
2021-02-03 13:00,64.85435
2021-02-03 14:00,58.838886
2021-02-03 15:00,54.561348
2021-02-03 16:00,54.568474
2021-02-03 17:00,56.27146
2021-02-03 18:00,52.34672
2021-02-03 19:00,53.113
2021-02-03 20:00,60.36499
2021-02-03 21:00,65.05349
2021-02-03 22:00,75.7589
2021-02-03 23:00,87.548805
2021-02-04 00:00,81.18207
2021-02-04 01:00,77.881226
2021-02-04 02:00,72.7602
2021-02-04 03:00,75.303696
2021-02-04 04:00,102.93221
2021-02-04 05:00,99.24064
2021-02-04 06:00,98.416824
2021-02-04 07:00,90.2549
2021-02-04 08:00,81.953995
2021-02-04 09:00,84.51697
2021-02-04 10:00,87.984665
2021-02-04 11:00,82.486084
2021-02-04 12:00,79.6458
2021-02-04 13:00,63.913044
2021-02-04 14:00,58.072395
2021-02-04 15:00,55.209328
2021-02-04 16:00,54.676197
2021-02-04 17:00,55.524677
2021-02-04 18:00,50.906
2021-02-04 19:00,51.42461
2021-02-04 20:00,57.098
2021-02-04 21:00,59.787697
2021-02-04 22:00,72.039665
2021-02-04 23:00,87.32221
2021-02-02 00:00,62.078056
2021-02-02 01:00,62.347694
2021-02-02 02:00,60.339485
2021-02-02 03:00,59.769066
2021-02-02 04:00,72.00741
2021-02-02 05:00,75.14805
2021-02-02 06:00,80.426735
2021-02-02 07:00,79.08599
2021-02-02 08:00,73.18966
2021-02-02 09:00,75.27538
2021-02-02 10:00,78.25266
2021-02-02 11:00,79.64025
2021-02-02 12:00,79.881065
2021-02-02 13:00,69.14677
2021-02-02 14:00,60.074413
2021-02-02 15:00,56.978844
2021-02-02 16:00,57.436676
2021-02-02 17:00,60.946228
2021-02-02 18:00,58.649605
2021-02-02 19:00,59.142784
2021-02-02 20:00,59.740013
2021-02-02 21:00,59.802967
2021-02-02 22:00,63.37977
2021-02-02 23:00,67.17407
2021-02-03 00:00,66.7524
2021-02-03 01:00,65.911964
2021-02-03 02:00,63.12909
2021-02-03 03:00,61.183167
2021-02-03 04:00,73.16913
2021-02-03 05:00,75.1985
2021-02-03 06:00,78.380325
2021-02-03 07:00,75.122215
2021-02-03 08:00,67.9888
2021-02-03 09:00,68.83972
2021-02-03 10:00,72.10836
2021-02-03 11:00,71.32542
2021-02-03 12:00,69.25297
2021-02-03 13:00,58.095287
2021-02-03 14:00,50.845676
2021-02-03 15:00,47.077484
2021-02-03 16:00,47.436745
2021-02-03 17:00,50.0796
2021-02-03 18:00,50.651665
2021-02-03 19:00,54.873707
2021-02-03 20:00,59.468964
2021-02-03 21:00,63.067772
2021-02-03 22:00,68.48899
2021-02-03 23:00,74.04301
2021-02-04 00:00,74.70036
2021-02-04 01:00,74.76272
2021-02-04 02:00,71.93678
2021-02-04 03:00,71.36313
2021-02-04 04:00,87.29528
2021-02-04 05:00,90.222084
2021-02-04 06:00,91.82259
2021-02-04 07:00,87.278854
2021-02-04 08:00,80.16431
2021-02-04 09:00,81.27985
2021-02-04 10:00,84.02681
2021-02-04 11:00,83.44494
2021-02-04 12:00,80.54666
2021-02-04 13:00,63.85026
2021-02-04 14:00,53.886036
2021-02-04 15:00,50.365406
2021-02-04 16:00,51.129234
2021-02-04 17:00,54.967316
2021-02-04 18:00,53.7805
2021-02-04 19:00,56.013
2021-02-04 20:00,60.398872
2021-02-04 21:00,66.639084
2021-02-04 22:00,74.64396
2021-02-04 23:00,84.14131
2021-02-05 00:00,84.31263
2021-02-05 01:00,79.098656
2021-02-05 02:00,75.07951
2021-02-05 03:00,76.97351
2021-02-05 04:00,95.14008
2021-02-05 05:00,100.64066
2021-02-05 06:00,103.163124
2021-02-05 07:00,98.484665
2021-02-05 08:00,90.707756
2021-02-05 09:00,91.40706
2021-02-05 10:00,94.52486
2021-02-05 11:00,89.607635
2021-02-05 12:00,82.58223
2021-02-05 13:00,62.72539
2021-02-05 14:00,50.113483
2021-02-05 15:00,46.33671
2021-02-05 16:00,47.076942
2021-02-05 17:00,47.195683
2021-02-05 18:00,45.92791
2021-02-05 19:00,48.855583
2021-02-05 20:00,55.047874
2021-02-05 21:00,62.45707
2021-02-05 22:00,73.843056
2021-02-05 23:00,83.907135
2021-02-03 00:00,63.313427
2021-02-03 01:00,62.966236
2021-02-03 02:00,62.418842
2021-02-03 03:00,63.518597
2021-02-03 04:00,82.87115
2021-02-03 05:00,83.50676
2021-02-03 06:00,82.31004
2021-02-03 07:00,80.52968
2021-02-03 08:00,75.753944
2021-02-03 09:00,77.60277
2021-02-03 10:00,76.01935
2021-02-03 11:00,77.50111
2021-02-03 12:00,78.51656
2021-02-03 13:00,63.971966
2021-02-03 14:00,55.680676
2021-02-03 15:00,52.107475
2021-02-03 16:00,51.295216
2021-02-03 17:00,51.172955
2021-02-03 18:00,50.693855
2021-02-03 19:00,51.149757
2021-02-03 20:00,55.73175
2021-02-03 21:00,59.97096
2021-02-03 22:00,64.902084
2021-02-03 23:00,69.372574
2021-02-04 00:00,72.37498
2021-02-04 01:00,72.39519
2021-02-04 02:00,70.73435
2021-02-04 03:00,71.86469
2021-02-04 04:00,88.693954
2021-02-04 05:00,89.86566
2021-02-04 06:00,89.48965
2021-02-04 07:00,86.818924
2021-02-04 08:00,82.40417
2021-02-04 09:00,85.31508
2021-02-04 10:00,87.82727
2021-02-04 11:00,86.66603
2021-02-04 12:00,82.211716
2021-02-04 13:00,63.935078
2021-02-04 14:00,53.346794
2021-02-04 15:00,49.761986
2021-02-04 16:00,49.897266
2021-02-04 17:00,51.621887
2021-02-04 18:00,52.045288
2021-02-04 19:00,51.801414
2021-02-04 20:00,56.760765
2021-02-04 21:00,62.461487
2021-02-04 22:00,70.261604
2021-02-04 23:00,78.08872
2021-02-05 00:00,80.623146
2021-02-05 01:00,79.13129
2021-02-05 02:00,76.76604
2021-02-05 03:00,77.05534
2021-02-05 04:00,96.18369
2021-02-05 05:00,99.97396
2021-02-05 06:00,100.651505
2021-02-05 07:00,96.24566
2021-02-05 08:00,88.98995
2021-02-05 09:00,92.27338
2021-02-05 10:00,94.717896
2021-02-05 11:00,93.92113
2021-02-05 12:00,86.51831
2021-02-05 13:00,64.72029
2021-02-05 14:00,53.74283
2021-02-05 15:00,50.32969
2021-02-05 16:00,52.044495
2021-02-05 17:00,53.17046
2021-02-05 18:00,52.676434
2021-02-05 19:00,53.621864
2021-02-05 20:00,56.654182
2021-02-05 21:00,59.556683
2021-02-05 22:00,70.450775
2021-02-05 23:00,81.44386
2021-02-06 00:00,84.242195
2021-02-06 01:00,80.0475
2021-02-06 02:00,75.72495
2021-02-06 03:00,76.57504
