Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,232.95544
2021-02-01 01:00,251.69711
2021-02-01 02:00,253.31157
2021-02-01 03:00,251.58264
2021-02-01 04:00,251.04004
2021-02-01 05:00,250.03006
2021-02-01 06:00,246.76025
2021-02-01 07:00,243.06772
2021-02-01 08:00,239.934
2021-02-01 09:00,237.90356
2021-02-01 10:00,238.59146
2021-02-01 11:00,239.20215
2021-02-01 12:00,240.28409
2021-02-01 13:00,242.41592
2021-02-01 14:00,241.17949
2021-02-01 15:00,226.64348
2021-02-01 16:00,188.92429
2021-02-01 17:00,162.421
2021-02-01 18:00,151.06563
2021-02-01 19:00,148.51982
2021-02-01 20:00,147.92453
2021-02-01 21:00,153.09438
2021-02-01 22:00,162.98994
2021-02-01 23:00,186.16167
2021-02-02 00:00,220.20378
2021-02-02 01:00,242.3627
2021-02-02 02:00,246.27933
2021-02-02 03:00,245.18167
2021-02-02 04:00,244.52959
2021-02-02 05:00,245.36923
2021-02-02 06:00,242.41983
2021-02-02 07:00,238.02788
2021-02-02 08:00,234.42923
2021-02-02 09:00,232.74748
2021-02-02 10:00,231.65474
2021-02-02 11:00,231.6519
2021-02-02 12:00,232.99321
2021-02-02 13:00,236.18253
2021-02-02 14:00,237.12222
2021-02-02 15:00,226.02988
2021-02-02 16:00,193.11548
2021-02-02 17:00,168.83185
2021-02-02 18:00,158.6042
2021-02-02 19:00,157.25854
2021-02-02 20:00,156.62526
2021-02-02 21:00,158.87492
2021-02-02 22:00,167.13606
2021-02-02 23:00,189.46211
2021-02-03 00:00,221.06445
2021-02-03 01:00,240.89883
2021-02-03 02:00,243.94292
2021-02-03 03:00,242.07373
2021-02-03 04:00,241.31677
2021-02-03 05:00,242.8497
2021-02-03 06:00,241.6392
2021-02-03 07:00,236.70947
2021-02-03 08:00,233.1845
2021-02-03 09:00,232.26006
2021-02-03 10:00,232.44754
2021-02-03 11:00,233.0419
2021-02-03 12:00,236.12866
2021-02-03 13:00,240.00151
2021-02-03 14:00,240.42542
2021-02-03 15:00,228.10599
2021-02-03 16:00,194.37537
2021-02-03 17:00,169.65509
2021-02-03 18:00,158.96411
2021-02-03 19:00,157.31522
2021-02-03 20:00,157.78935
2021-02-03 21:00,161.5782
2021-02-03 22:00,169.58728
2021-02-03 23:00,190.61763
2021-02-04 00:00,222.38884
2021-02-04 01:00,242.26472
2021-02-04 02:00,245.53036
2021-02-04 03:00,243.30762
2021-02-04 04:00,242.69629
2021-02-04 05:00,243.65242
2021-02-04 06:00,242.3802
2021-02-04 07:00,237.53828
2021-02-04 08:00,234.04965
2021-02-04 09:00,233.37476
2021-02-04 10:00,234.07063
2021-02-04 11:00,235.26648
2021-02-04 12:00,238.61833
2021-02-04 13:00,242.25961
2021-02-04 14:00,242.01852
2021-02-04 15:00,228.24069
2021-02-04 16:00,194.15129
2021-02-04 17:00,169.6698
2021-02-04 18:00,158.77646
2021-02-04 19:00,156.42966
2021-02-04 20:00,156.52777
2021-02-04 21:00,159.91037
2021-02-04 22:00,167.68414
2021-02-04 23:00,189.64157
2021-02-02 00:00,221.2255
2021-02-02 01:00,240.09875
2021-02-02 02:00,245.83867
2021-02-02 03:00,247.51802
2021-02-02 04:00,249.7479
2021-02-02 05:00,250.7006
2021-02-02 06:00,249.04631
2021-02-02 07:00,244.29236
2021-02-02 08:00,240.7472
2021-02-02 09:00,237.9437
2021-02-02 10:00,237.67778
2021-02-02 11:00,236.12973
2021-02-02 12:00,236.06804
2021-02-02 13:00,237.33365
2021-02-02 14:00,236.84929
2021-02-02 15:00,229.6322
2021-02-02 16:00,206.11687
2021-02-02 17:00,184.94865
2021-02-02 18:00,171.26138
2021-02-02 19:00,163.9994
2021-02-02 20:00,161.98495
2021-02-02 21:00,163.08363
2021-02-02 22:00,169.64014
2021-02-02 23:00,188.29486
2021-02-03 00:00,216.599
2021-02-03 01:00,233.26514
2021-02-03 02:00,238.4572
2021-02-03 03:00,241.4719
2021-02-03 04:00,243.91597
2021-02-03 05:00,245.2208
2021-02-03 06:00,243.6488
2021-02-03 07:00,238.62479
2021-02-03 08:00,234.41069
2021-02-03 09:00,231.24008
2021-02-03 10:00,230.08261
2021-02-03 11:00,227.76718
2021-02-03 12:00,227.82605
2021-02-03 13:00,229.79121
2021-02-03 14:00,229.22537
2021-02-03 15:00,221.26714
2021-02-03 16:00,196.67752
2021-02-03 17:00,176.32265
2021-02-03 18:00,165.53067
2021-02-03 19:00,161.25725
2021-02-03 20:00,159.53748
2021-02-03 21:00,159.46687
2021-02-03 22:00,164.87556
2021-02-03 23:00,184.84854
2021-02-04 00:00,214.49414
2021-02-04 01:00,232.26587
2021-02-04 02:00,236.80205
2021-02-04 03:00,238.8241
2021-02-04 04:00,241.60474
2021-02-04 05:00,243.48218
2021-02-04 06:00,242.22453
2021-02-04 07:00,236.49582
2021-02-04 08:00,232.14969
2021-02-04 09:00,229.7874
2021-02-04 10:00,229.4888
2021-02-04 11:00,228.02519
2021-02-04 12:00,228.56009
2021-02-04 13:00,231.06197
2021-02-04 14:00,230.68217
2021-02-04 15:00,221.0378
2021-02-04 16:00,194.24214
2021-02-04 17:00,172.64981
2021-02-04 18:00,161.86813
2021-02-04 19:00,157.8377
2021-02-04 20:00,157.36252
2021-02-04 21:00,158.46341
2021-02-04 22:00,165.11293
2021-02-04 23:00,184.65732
2021-02-05 00:00,214.4445
2021-02-05 01:00,232.49765
2021-02-05 02:00,238.29556
2021-02-05 03:00,241.15698
2021-02-05 04:00,244.1043
2021-02-05 05:00,244.84196
2021-02-05 06:00,242.87265
2021-02-05 07:00,236.55542
2021-02-05 08:00,232.06499
2021-02-05 09:00,229.43103
2021-02-05 10:00,228.75493
2021-02-05 11:00,226.17546
2021-02-05 12:00,226.20305
2021-02-05 13:00,228.74606
2021-02-05 14:00,228.50186
2021-02-05 15:00,218.88351
2021-02-05 16:00,191.31834
2021-02-05 17:00,168.42905
2021-02-05 18:00,155.72505
2021-02-05 19:00,150.6683
2021-02-05 20:00,149.57373
2021-02-05 21:00,150.70361
2021-02-05 22:00,158.11523
2021-02-05 23:00,178.96985
2021-02-03 00:00,201.78906
2021-02-03 01:00,229.37044
2021-02-03 02:00,235.96933
2021-02-03 03:00,236.87029
2021-02-03 04:00,237.72714
2021-02-03 05:00,237.48294
2021-02-03 06:00,235.86362
2021-02-03 07:00,231.58345
2021-02-03 08:00,228.9329
2021-02-03 09:00,227.11368
2021-02-03 10:00,228.627
2021-02-03 11:00,229.60074
2021-02-03 12:00,230.59074
2021-02-03 13:00,232.0914
2021-02-03 14:00,231.17473
2021-02-03 15:00,220.14493
2021-02-03 16:00,186.7363
2021-02-03 17:00,162.43031
2021-02-03 18:00,149.18732
2021-02-03 19:00,145.50461
2021-02-03 20:00,145.62248
2021-02-03 21:00,145.84258
2021-02-03 22:00,149.44614
2021-02-03 23:00,170.85774
2021-02-04 00:00,204.76236
2021-02-04 01:00,229.41057
2021-02-04 02:00,234.47958
2021-02-04 03:00,234.68611
2021-02-04 04:00,236.14102
2021-02-04 05:00,237.72598
2021-02-04 06:00,236.30289
2021-02-04 07:00,232.13367
2021-02-04 08:00,229.53769
2021-02-04 09:00,228.96419
2021-02-04 10:00,229.94511
2021-02-04 11:00,229.84973
2021-02-04 12:00,231.50488
2021-02-04 13:00,234.51201
2021-02-04 14:00,234.41782
2021-02-04 15:00,224.09319
2021-02-04 16:00,192.66606
2021-02-04 17:00,167.9685
2021-02-04 18:00,153.96303
2021-02-04 19:00,149.8865
2021-02-04 20:00,149.51003
2021-02-04 21:00,150.30388
2021-02-04 22:00,154.7338
2021-02-04 23:00,176.52766
2021-02-05 00:00,209.00249
2021-02-05 01:00,232.86142
2021-02-05 02:00,237.73315
2021-02-05 03:00,236.823
2021-02-05 04:00,237.5299
2021-02-05 05:00,238.38391
2021-02-05 06:00,236.99094
2021-02-05 07:00,232.524
2021-02-05 08:00,229.8971
2021-02-05 09:00,229.1698
2021-02-05 10:00,230.50037
2021-02-05 11:00,231.65942
2021-02-05 12:00,234.79263
2021-02-05 13:00,239.23015
2021-02-05 14:00,241.36703
2021-02-05 15:00,231.48193
2021-02-05 16:00,199.2301
2021-02-05 17:00,174.40878
2021-02-05 18:00,161.33133
2021-02-05 19:00,156.63231
2021-02-05 20:00,155.85608
2021-02-05 21:00,156.29646
2021-02-05 22:00,160.64543
2021-02-05 23:00,180.1337
2021-02-06 00:00,209.12007
2021-02-06 01:00,230.0872
2021-02-06 02:00,234.4954
2021-02-06 03:00,234.95377
2021-02-06 04:00,236.2626
2021-02-06 05:00,237.01956
2021-02-06 06:00,235.85904
2021-02-06 07:00,231.38882
2021-02-06 08:00,229.24487
2021-02-06 09:00,229.2935
2021-02-06 10:00,231.23349
2021-02-06 11:00,232.58084
2021-02-06 12:00,236.3483
2021-02-06 13:00,240.3814
2021-02-06 14:00,240.6499
2021-02-06 15:00,229.62029
2021-02-06 16:00,197.40295
2021-02-06 17:00,172.27484
2021-02-06 18:00,158.1294
2021-02-06 19:00,153.68347
2021-02-06 20:00,153.9461
2021-02-06 21:00,155.46414
2021-02-06 22:00,161.17923
2021-02-06 23:00,181.99887
2021-02-04 00:00,191.52934
2021-02-04 01:00,223.33374
2021-02-04 02:00,226.24316
2021-02-04 03:00,226.21147
2021-02-04 04:00,225.26595
2021-02-04 05:00,223.46944
2021-02-04 06:00,224.5571
2021-02-04 07:00,219.34729
2021-02-04 08:00,215.56523
2021-02-04 09:00,214.69499
2021-02-04 10:00,213.95435
2021-02-04 11:00,211.16206
2021-02-04 12:00,210.8686
2021-02-04 13:00,213.57034
2021-02-04 14:00,214.81189
2021-02-04 15:00,204.07239
2021-02-04 16:00,174.22449
2021-02-04 17:00,150.60738
2021-02-04 18:00,137.71172
2021-02-04 19:00,131.75229
2021-02-04 20:00,130.75806
2021-02-04 21:00,131.89905
2021-02-04 22:00,138.89684
2021-02-04 23:00,161.33339
2021-02-05 00:00,193.4224
2021-02-05 01:00,220.3374
2021-02-05 02:00,224.60066
2021-02-05 03:00,225.58215
2021-02-05 04:00,226.74838
2021-02-05 05:00,226.694
2021-02-05 06:00,227.98935
2021-02-05 07:00,224.1388
2021-02-05 08:00,221.57666
2021-02-05 09:00,221.64575
