Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,528.6522
2021-02-01 01:00,530.0641
2021-02-01 02:00,530.3415
2021-02-01 03:00,529.7304
2021-02-01 04:00,531.23566
2021-02-01 05:00,534.15466
2021-02-01 06:00,539.1084
2021-02-01 07:00,541.17413
2021-02-01 08:00,543.9837
2021-02-01 09:00,546.3478
2021-02-01 10:00,548.05963
2021-02-01 11:00,549.2643
2021-02-01 12:00,548.7177
2021-02-01 13:00,546.0388
2021-02-01 14:00,537.90027
2021-02-01 15:00,514.4181
2021-02-01 16:00,481.19366
2021-02-01 17:00,461.22974
2021-02-01 18:00,453.3986
2021-02-01 19:00,451.07748
2021-02-01 20:00,454.5044
2021-02-01 21:00,464.78687
2021-02-01 22:00,477.38956
2021-02-01 23:00,501.59683
2021-02-02 00:00,521.9512
2021-02-02 01:00,524.17725
2021-02-02 02:00,525.5255
2021-02-02 03:00,528.1261
2021-02-02 04:00,530.79755
2021-02-02 05:00,534.9146
2021-02-02 06:00,539.4157
2021-02-02 07:00,541.3456
2021-02-02 08:00,543.9157
2021-02-02 09:00,546.36554
2021-02-02 10:00,545.9008
2021-02-02 11:00,544.61084
2021-02-02 12:00,544.90247
2021-02-02 13:00,542.4502
2021-02-02 14:00,534.92676
2021-02-02 15:00,510.2936
2021-02-02 16:00,477.76117
2021-02-02 17:00,458.90463
2021-02-02 18:00,453.36514
2021-02-02 19:00,450.30966
2021-02-02 20:00,449.17236
2021-02-02 21:00,454.35538
2021-02-02 22:00,466.11456
2021-02-02 23:00,493.2475
2021-02-03 00:00,517.6544
2021-02-03 01:00,523.1318
2021-02-03 02:00,524.3431
2021-02-03 03:00,525.36096
2021-02-03 04:00,527.26917
2021-02-03 05:00,532.38837
2021-02-03 06:00,537.5653
2021-02-03 07:00,538.3037
2021-02-03 08:00,541.1803
2021-02-03 09:00,544.11414
2021-02-03 10:00,545.3591
2021-02-03 11:00,544.81067
2021-02-03 12:00,544.59564
2021-02-03 13:00,543.182
2021-02-03 14:00,535.96564
2021-02-03 15:00,512.6339
2021-02-03 16:00,479.88263
2021-02-03 17:00,462.351
2021-02-03 18:00,456.4676
2021-02-03 19:00,452.55518
2021-02-03 20:00,450.48062
2021-02-03 21:00,453.78418
2021-02-03 22:00,463.996
2021-02-03 23:00,490.49896
2021-02-04 00:00,516.85046
2021-02-04 01:00,522.16486
2021-02-04 02:00,523.82135
2021-02-04 03:00,525.21326
2021-02-04 04:00,526.578
2021-02-04 05:00,531.3485
2021-02-04 06:00,536.5982
2021-02-04 07:00,538.2604
2021-02-04 08:00,541.35785
2021-02-04 09:00,544.49506
2021-02-04 10:00,544.7738
2021-02-04 11:00,544.0881
2021-02-04 12:00,545.0273
2021-02-04 13:00,543.7154
2021-02-04 14:00,536.5324
2021-02-04 15:00,513.06573
2021-02-04 16:00,481.41315
2021-02-04 17:00,463.62054
2021-02-04 18:00,457.18115
2021-02-04 19:00,452.9188
2021-02-04 20:00,451.42706
2021-02-04 21:00,455.16815
2021-02-04 22:00,465.7365
2021-02-04 23:00,491.92383
2021-02-02 00:00,524.56476
2021-02-02 01:00,525.8292
2021-02-02 02:00,526.98615
2021-02-02 03:00,527.10706
2021-02-02 04:00,528.091
2021-02-02 05:00,531.78827
2021-02-02 06:00,537.2358
2021-02-02 07:00,539.61194
2021-02-02 08:00,540.64325
2021-02-02 09:00,541.6172
2021-02-02 10:00,543.52094
2021-02-02 11:00,543.6517
2021-02-02 12:00,543.11804
2021-02-02 13:00,541.76044
2021-02-02 14:00,533.4494
2021-02-02 15:00,514.7789
2021-02-02 16:00,488.7979
2021-02-02 17:00,471.708
2021-02-02 18:00,466.587
2021-02-02 19:00,459.86597
2021-02-02 20:00,458.92456
2021-02-02 21:00,465.88324
2021-02-02 22:00,475.22632
2021-02-02 23:00,498.27808
2021-02-03 00:00,516.7838
2021-02-03 01:00,521.7523
2021-02-03 02:00,524.24945
2021-02-03 03:00,527.46924
2021-02-03 04:00,528.8739
2021-02-03 05:00,532.9525
2021-02-03 06:00,537.3644
2021-02-03 07:00,539.73987
2021-02-03 08:00,541.4539
2021-02-03 09:00,542.6077
2021-02-03 10:00,543.5373
2021-02-03 11:00,543.5509
2021-02-03 12:00,543.71204
2021-02-03 13:00,542.63116
2021-02-03 14:00,534.02234
2021-02-03 15:00,514.5162
2021-02-03 16:00,487.8505
2021-02-03 17:00,470.0956
2021-02-03 18:00,466.15057
2021-02-03 19:00,461.01068
2021-02-03 20:00,459.25693
2021-02-03 21:00,462.93555
2021-02-03 22:00,471.1202
2021-02-03 23:00,495.16998
2021-02-04 00:00,516.42786
2021-02-04 01:00,522.1986
2021-02-04 02:00,523.3256
