Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,508.27515
2021-02-01 01:00,511.03354
2021-02-01 02:00,511.5809
2021-02-01 03:00,508.57318
2021-02-01 04:00,494.7728
2021-02-01 05:00,478.74283
2021-02-01 06:00,465.05804
2021-02-01 07:00,461.6977
2021-02-01 08:00,466.22144
2021-02-01 09:00,474.2142
2021-02-01 10:00,486.62238
2021-02-01 11:00,501.84366
2021-02-01 12:00,513.09784
2021-02-01 13:00,505.56088
2021-02-01 14:00,490.3653
2021-02-01 15:00,482.18008
2021-02-01 16:00,482.80923
2021-02-01 17:00,486.0414
2021-02-01 18:00,488.55518
2021-02-01 19:00,488.25162
2021-02-01 20:00,491.0401
2021-02-01 21:00,501.70868
2021-02-01 22:00,522.5334
2021-02-01 23:00,531.8805
2021-02-02 00:00,533.30524
2021-02-02 01:00,531.55286
2021-02-02 02:00,529.7291
2021-02-02 03:00,524.39966
2021-02-02 04:00,511.529
2021-02-02 05:00,498.1757
2021-02-02 06:00,486.4787
2021-02-02 07:00,482.4455
2021-02-02 08:00,486.07428
2021-02-02 09:00,493.37955
2021-02-02 10:00,506.45175
2021-02-02 11:00,525.7599
2021-02-02 12:00,532.1362
2021-02-02 13:00,520.19775
2021-02-02 14:00,503.6316
2021-02-02 15:00,496.06055
2021-02-02 16:00,497.17886
2021-02-02 17:00,499.86957
2021-02-02 18:00,503.69165
2021-02-02 19:00,505.10883
2021-02-02 20:00,509.25482
2021-02-02 21:00,523.6415
2021-02-02 22:00,548.2395
2021-02-02 23:00,558.0544
2021-02-03 00:00,557.4762
2021-02-03 01:00,552.6965
2021-02-03 02:00,546.86304
2021-02-03 03:00,538.765
2021-02-03 04:00,527.7907
2021-02-03 05:00,514.97723
2021-02-03 06:00,504.0669
2021-02-03 07:00,499.24506
2021-02-03 08:00,503.028
2021-02-03 09:00,510.13068
2021-02-03 10:00,521.9632
2021-02-03 11:00,539.34796
2021-02-03 12:00,548.49133
2021-02-03 13:00,536.0702
2021-02-03 14:00,518.006
2021-02-03 15:00,508.63104
2021-02-03 16:00,507.85565
2021-02-03 17:00,509.43512
2021-02-03 18:00,512.56793
2021-02-03 19:00,513.0326
2021-02-03 20:00,517.02625
2021-02-03 21:00,531.07117
2021-02-03 22:00,553.15985
2021-02-03 23:00,562.25977
2021-02-04 00:00,563.0928
2021-02-04 01:00,560.50574
2021-02-04 02:00,555.5941
2021-02-04 03:00,546.69666
2021-02-04 04:00,533.2524
2021-02-04 05:00,519.5421
2021-02-04 06:00,508.39697
2021-02-04 07:00,504.26007
2021-02-04 08:00,508.8622
2021-02-04 09:00,515.9593
2021-02-04 10:00,525.8004
2021-02-04 11:00,541.6088
2021-02-04 12:00,550.3396
2021-02-04 13:00,538.8997
2021-02-04 14:00,521.86194
2021-02-04 15:00,513.47925
2021-02-04 16:00,514.4951
2021-02-04 17:00,515.90393
2021-02-04 18:00,519.25977
2021-02-04 19:00,521.19257
2021-02-04 20:00,525.6293
2021-02-04 21:00,539.8275
2021-02-04 22:00,561.46423
2021-02-04 23:00,568.989
2021-02-02 00:00,528.67566
2021-02-02 01:00,529.75006
2021-02-02 02:00,531.38196
2021-02-02 03:00,530.07306
2021-02-02 04:00,520.4539
2021-02-02 05:00,504.76572
2021-02-02 06:00,495.26016
2021-02-02 07:00,493.36288
2021-02-02 08:00,498.36346
2021-02-02 09:00,503.5586
2021-02-02 10:00,519.69836
2021-02-02 11:00,542.81384
2021-02-02 12:00,552.4459
2021-02-02 13:00,545.16736
2021-02-02 14:00,526.3961
2021-02-02 15:00,519.8221
2021-02-02 16:00,513.08655
2021-02-02 17:00,511.6679
2021-02-02 18:00,521.1293
2021-02-02 19:00,523.8684
2021-02-02 20:00,526.0083
2021-02-02 21:00,540.1461
2021-02-02 22:00,559.77325
2021-02-02 23:00,570.4992
2021-02-03 00:00,572.6046
2021-02-03 01:00,571.4889
2021-02-03 02:00,566.91174
2021-02-03 03:00,561.00525
2021-02-03 04:00,549.7719
2021-02-03 05:00,531.9588
2021-02-03 06:00,518.59705
2021-02-03 07:00,514.4889
2021-02-03 08:00,516.7505
2021-02-03 09:00,522.4274
2021-02-03 10:00,538.8673
2021-02-03 11:00,561.2541
2021-02-03 12:00,566.04944
2021-02-03 13:00,554.5374
2021-02-03 14:00,534.8364
2021-02-03 15:00,528.1358
2021-02-03 16:00,523.17596
2021-02-03 17:00,521.5091
2021-02-03 18:00,529.0082
2021-02-03 19:00,529.3474
2021-02-03 20:00,530.9232
2021-02-03 21:00,543.8688
2021-02-03 22:00,561.0386
2021-02-03 23:00,569.33624
2021-02-04 00:00,570.55597
2021-02-04 01:00,567.7313
2021-02-04 02:00,562.98956
2021-02-04 03:00,556.8607
2021-02-04 04:00,546.5528
2021-02-04 05:00,529.3994
2021-02-04 06:00,516.6925
2021-02-04 07:00,512.6409
2021-02-04 08:00,514.0199
2021-02-04 09:00,518.4781
2021-02-04 10:00,532.7018
2021-02-04 11:00,552.27936
2021-02-04 12:00,558.6664
2021-02-04 13:00,550.7057
2021-02-04 14:00,532.6559
2021-02-04 15:00,526.21027
2021-02-04 16:00,519.96857
2021-02-04 17:00,515.3583
2021-02-04 18:00,521.6288
2021-02-04 19:00,522.47156
2021-02-04 20:00,524.23663
2021-02-04 21:00,536.9979
2021-02-04 22:00,555.1012
2021-02-04 23:00,564.3771
2021-02-05 00:00,566.2403
2021-02-05 01:00,565.36633
2021-02-05 02:00,560.6991
2021-02-05 03:00,554.4228
2021-02-05 04:00,544.51843
2021-02-05 05:00,528.763
2021-02-05 06:00,517.9164
2021-02-05 07:00,514.0881
2021-02-05 08:00,516.0369
2021-02-05 09:00,519.79065
2021-02-05 10:00,533.7914
2021-02-05 11:00,552.4645
2021-02-05 12:00,557.2201
2021-02-05 13:00,547.4645
2021-02-05 14:00,528.64124
2021-02-05 15:00,520.0912
2021-02-05 16:00,515.03986
2021-02-05 17:00,513.3257
2021-02-05 18:00,521.6897
2021-02-05 19:00,525.0861
2021-02-05 20:00,526.71875
2021-02-05 21:00,537.43085
2021-02-05 22:00,554.5872
2021-02-05 23:00,563.78455
2021-02-03 00:00,521.40015
2021-02-03 01:00,523.1432
2021-02-03 02:00,524.89813
2021-02-03 03:00,522.6779
2021-02-03 04:00,511.25238
2021-02-03 05:00,499.28003
2021-02-03 06:00,493.4494
2021-02-03 07:00,492.2876
2021-02-03 08:00,496.97357
2021-02-03 09:00,502.28693
2021-02-03 10:00,508.1088
2021-02-03 11:00,519.18787
2021-02-03 12:00,523.8995
2021-02-03 13:00,517.4287
2021-02-03 14:00,503.2276
2021-02-03 15:00,498.22412
2021-02-03 16:00,496.3378
2021-02-03 17:00,496.4165
2021-02-03 18:00,499.17352
2021-02-03 19:00,498.15546
2021-02-03 20:00,502.28604
2021-02-03 21:00,510.2745
2021-02-03 22:00,525.6239
2021-02-03 23:00,534.61755
2021-02-04 00:00,539.8421
2021-02-04 01:00,540.6821
2021-02-04 02:00,540.97003
2021-02-04 03:00,536.6205
2021-02-04 04:00,525.22314
2021-02-04 05:00,512.61053
2021-02-04 06:00,504.31113
2021-02-04 07:00,502.65097
2021-02-04 08:00,506.942
2021-02-04 09:00,511.941
2021-02-04 10:00,519.6703
2021-02-04 11:00,531.95215
2021-02-04 12:00,534.51855
2021-02-04 13:00,525.93036
2021-02-04 14:00,512.2101
2021-02-04 15:00,506.6145
2021-02-04 16:00,505.5954
2021-02-04 17:00,506.7211
2021-02-04 18:00,508.5209
2021-02-04 19:00,507.73566
2021-02-04 20:00,511.41367
2021-02-04 21:00,519.94714
2021-02-04 22:00,534.67474
2021-02-04 23:00,542.5209
2021-02-05 00:00,545.7327
2021-02-05 01:00,545.14935
2021-02-05 02:00,545.7633
2021-02-05 03:00,541.3203
2021-02-05 04:00,530.1078
2021-02-05 05:00,518.8087
2021-02-05 06:00,511.9598
2021-02-05 07:00,511.80615
2021-02-05 08:00,517.41846
2021-02-05 09:00,521.2124
2021-02-05 10:00,526.07556
2021-02-05 11:00,537.0624
2021-02-05 12:00,540.24304
2021-02-05 13:00,531.49524
2021-02-05 14:00,517.7077
2021-02-05 15:00,512.6923
2021-02-05 16:00,511.6499
2021-02-05 17:00,511.12558
2021-02-05 18:00,511.48163
2021-02-05 19:00,510.02646
2021-02-05 20:00,514.67883
2021-02-05 21:00,525.88947
2021-02-05 22:00,541.70483
2021-02-05 23:00,549.9147
2021-02-06 00:00,552.77234
2021-02-06 01:00,552.4378
2021-02-06 02:00,551.8683
2021-02-06 03:00,547.2621
2021-02-06 04:00,535.39166
2021-02-06 05:00,522.29297
2021-02-06 06:00,513.79407
2021-02-06 07:00,512.9071
2021-02-06 08:00,517.06635
2021-02-06 09:00,520.6105
2021-02-06 10:00,525.94727
2021-02-06 11:00,537.9538
2021-02-06 12:00,539.95605
2021-02-06 13:00,531.2572
2021-02-06 14:00,517.7157
2021-02-06 15:00,512.4457
2021-02-06 16:00,511.55707
2021-02-06 17:00,513.28357
2021-02-06 18:00,516.96423
2021-02-06 19:00,517.5872
2021-02-06 20:00,521.91943
2021-02-06 21:00,532.1947
2021-02-06 22:00,548.9062
2021-02-06 23:00,556.06476
2021-02-04 00:00,505.02716
2021-02-04 01:00,501.77213
2021-02-04 02:00,503.29865
2021-02-04 03:00,498.74838
2021-02-04 04:00,484.05795
2021-02-04 05:00,473.01187
2021-02-04 06:00,470.3868
2021-02-04 07:00,469.8185
2021-02-04 08:00,473.57724
2021-02-04 09:00,483.08258
2021-02-04 10:00,494.43695
2021-02-04 11:00,505.64526
2021-02-04 12:00,512.11707
2021-02-04 13:00,499.49844
2021-02-04 14:00,484.01758
2021-02-04 15:00,479.55206
2021-02-04 16:00,479.93726
2021-02-04 17:00,481.90692
2021-02-04 18:00,484.3374
2021-02-04 19:00,484.72235
2021-02-04 20:00,487.7526
2021-02-04 21:00,496.53793
2021-02-04 22:00,512.1738
2021-02-04 23:00,517.9181
2021-02-05 00:00,517.8833
2021-02-05 01:00,515.58563
2021-02-05 02:00,515.7986
2021-02-05 03:00,511.75626
2021-02-05 04:00,498.80975
2021-02-05 05:00,487.10214
2021-02-05 06:00,481.9953
2021-02-05 07:00,480.95972
2021-02-05 08:00,484.04004
2021-02-05 09:00,491.6233
2021-02-05 10:00,503.14258
2021-02-05 11:00,514.634
2021-02-05 12:00,517.2771
2021-02-05 13:00,505.96558
2021-02-05 14:00,491.88153
2021-02-05 15:00,487.0647
2021-02-05 16:00,487.06012
2021-02-05 17:00,488.98993
2021-02-05 18:00,492.0788
2021-02-05 19:00,492.88785
2021-02-05 20:00,494.7199
2021-02-05 21:00,501.37598
2021-02-05 22:00,515.4971
2021-02-05 23:00,521.2771
2021-02-06 00:00,520.75757
2021-02-06 01:00,518.6056
2021-02-06 02:00,518.64703
2021-02-06 03:00,513.236
2021-02-06 04:00,500.91275
2021-02-06 05:00,488.92914
2021-02-06 06:00,482.65643
2021-02-06 07:00,479.77173
2021-02-06 08:00,481.84805
2021-02-06 09:00,487.82114
2021-02-06 10:00,496.85516
2021-02-06 11:00,507.45978
2021-02-06 12:00,511.90274
2021-02-06 13:00,503.67108
2021-02-06 14:00,491.53217
2021-02-06 15:00,488.9034
2021-02-06 16:00,490.65396
2021-02-06 17:00,493.06183
2021-02-06 18:00,495.4685
2021-02-06 19:00,495.38712
2021-02-06 20:00,496.38998
2021-02-06 21:00,502.0625
2021-02-06 22:00,514.456
2021-02-06 23:00,519.90125
2021-02-07 00:00,521.40204
2021-02-07 01:00,520.65436
2021-02-07 02:00,520.8891
2021-02-07 03:00,516.46106
2021-02-07 04:00,502.06503
2021-02-07 05:00,486.94775
2021-02-07 06:00,477.59244
2021-02-07 07:00,472.25684
2021-02-07 08:00,471.8416
2021-02-07 09:00,475.56073
2021-02-07 10:00,483.68842
2021-02-07 11:00,494.45596
2021-02-07 12:00,500.46478
2021-02-07 13:00,494.30746
2021-02-07 14:00,485.48346
2021-02-07 15:00,484.60352
2021-02-07 16:00,488.73944
2021-02-07 17:00,492.3039
2021-02-07 18:00,495.6718
2021-02-07 19:00,495.96124
2021-02-07 20:00,497.7536
2021-02-07 21:00,504.2897
2021-02-07 22:00,517.4532
2021-02-07 23:00,524.84924
2021-02-05 00:00,457.51532
2021-02-05 01:00,465.65552
2021-02-05 02:00,475.33496
2021-02-05 03:00,481.5957
2021-02-05 04:00,479.01093
2021-02-05 05:00,475.9962
2021-02-05 06:00,476.02924
2021-02-05 07:00,477.51123
2021-02-05 08:00,477.9646
2021-02-05 09:00,481.86816
2021-02-05 10:00,490.18286
2021-02-05 11:00,497.7084
2021-02-05 12:00,498.2372
2021-02-05 13:00,485.8563
2021-02-05 14:00,476.56534
2021-02-05 15:00,471.9007
2021-02-05 16:00,471.96387
2021-02-05 17:00,469.05273
2021-02-05 18:00,464.50702
2021-02-05 19:00,463.20914
2021-02-05 20:00,464.93304
2021-02-05 21:00,473.18378
2021-02-05 22:00,488.87506
2021-02-05 23:00,496.0708
2021-02-06 00:00,498.68427
2021-02-06 01:00,501.40445
2021-02-06 02:00,505.3129
2021-02-06 03:00,503.64853
2021-02-06 04:00,494.96088
2021-02-06 05:00,487.17914
2021-02-06 06:00,481.76483
2021-02-06 07:00,479.45782
2021-02-06 08:00,479.6456
2021-02-06 09:00,483.81195
2021-02-06 10:00,490.69574
2021-02-06 11:00,497.646
2021-02-06 12:00,499.39127
2021-02-06 13:00,490.44922
2021-02-06 14:00,482.34058
2021-02-06 15:00,478.5294
2021-02-06 16:00,479.1281
2021-02-06 17:00,478.69296
2021-02-06 18:00,475.7636
2021-02-06 19:00,472.69125
2021-02-06 20:00,473.77032
2021-02-06 21:00,482.2243
2021-02-06 22:00,497.3304
2021-02-06 23:00,505.57623
2021-02-07 00:00,508.31992
2021-02-07 01:00,511.53604
2021-02-07 02:00,513.79443
2021-02-07 03:00,510.74716
2021-02-07 04:00,502.05215
2021-02-07 05:00,493.3687
2021-02-07 06:00,487.96234
2021-02-07 07:00,485.69522
2021-02-07 08:00,486.92804
2021-02-07 09:00,491.3378
2021-02-07 10:00,499.31967
2021-02-07 11:00,507.9046
2021-02-07 12:00,510.9048
2021-02-07 13:00,502.1403
2021-02-07 14:00,493.18134
2021-02-07 15:00,488.36188
2021-02-07 16:00,488.53778
2021-02-07 17:00,488.5809
2021-02-07 18:00,487.65097
2021-02-07 19:00,486.8107
2021-02-07 20:00,488.7171
2021-02-07 21:00,497.1651
2021-02-07 22:00,511.61993
2021-02-07 23:00,519.0163
2021-02-08 00:00,521.43915
2021-02-08 01:00,522.35254
2021-02-08 02:00,523.7747
2021-02-08 03:00,519.9521
2021-02-08 04:00,508.56747
2021-02-08 05:00,498.45078
2021-02-08 06:00,492.21466
2021-02-08 07:00,489.72037
2021-02-08 08:00,489.07147
2021-02-08 09:00,493.50977
2021-02-08 10:00,501.8505
2021-02-08 11:00,510.13306
2021-02-08 12:00,512.6107
2021-02-08 13:00,505.36386
2021-02-08 14:00,497.28046
2021-02-08 15:00,492.46875
2021-02-08 16:00,491.97867
2021-02-08 17:00,491.617
2021-02-08 18:00,491.20108
2021-02-08 19:00,489.82462
2021-02-08 20:00,490.9522
2021-02-08 21:00,499.5778
2021-02-08 22:00,514.05695
2021-02-08 23:00,520.15295
2021-02-06 00:00,481.79047
2021-02-06 01:00,489.78418
2021-02-06 02:00,496.31485
2021-02-06 03:00,499.5915
2021-02-06 04:00,493.93268
2021-02-06 05:00,488.8912
2021-02-06 06:00,484.46222
2021-02-06 07:00,482.0092
2021-02-06 08:00,486.45416
2021-02-06 09:00,492.69986
2021-02-06 10:00,502.77692
2021-02-06 11:00,512.65497
2021-02-06 12:00,512.7759
2021-02-06 13:00,500.5481
2021-02-06 14:00,486.64755
2021-02-06 15:00,478.46616
2021-02-06 16:00,475.88803
2021-02-06 17:00,474.60956
2021-02-06 18:00,472.62573
2021-02-06 19:00,472.15167
2021-02-06 20:00,476.99908
2021-02-06 21:00,487.54907
2021-02-06 22:00,507.10248
2021-02-06 23:00,521.6249
2021-02-07 00:00,527.6247
2021-02-07 01:00,527.3606
2021-02-07 02:00,526.9153
2021-02-07 03:00,523.7699
2021-02-07 04:00,515.63855
2021-02-07 05:00,507.12314
2021-02-07 06:00,499.4104
2021-02-07 07:00,493.3121
2021-02-07 08:00,494.05502
2021-02-07 09:00,499.38287
2021-02-07 10:00,507.60382
2021-02-07 11:00,516.3449
2021-02-07 12:00,516.2013
2021-02-07 13:00,505.66107
2021-02-07 14:00,493.77597
2021-02-07 15:00,486.75812
2021-02-07 16:00,485.9647
2021-02-07 17:00,487.5023
2021-02-07 18:00,487.26035
2021-02-07 19:00,487.17456
2021-02-07 20:00,490.8268
2021-02-07 21:00,499.3623
2021-02-07 22:00,514.6327
2021-02-07 23:00,527.2475
2021-02-08 00:00,532.79
2021-02-08 01:00,532.9605
2021-02-08 02:00,532.527
2021-02-08 03:00,529.449
2021-02-08 04:00,521.66486
2021-02-08 05:00,513.632
2021-02-08 06:00,505.3186
2021-02-08 07:00,500.36426
2021-02-08 08:00,501.68268
2021-02-08 09:00,507.0537
2021-02-08 10:00,515.9174
2021-02-08 11:00,525.5801
2021-02-08 12:00,527.46405
2021-02-08 13:00,519.6336
2021-02-08 14:00,507.89087
2021-02-08 15:00,499.78482
2021-02-08 16:00,496.80438
2021-02-08 17:00,496.683
2021-02-08 18:00,496.38507
2021-02-08 19:00,496.62787
2021-02-08 20:00,500.49823
2021-02-08 21:00,508.81143
2021-02-08 22:00,524.7975
2021-02-08 23:00,537.87854
2021-02-09 00:00,544.51434
2021-02-09 01:00,544.4701
2021-02-09 02:00,541.0214
2021-02-09 03:00,534.4562
2021-02-09 04:00,524.5223
2021-02-09 05:00,513.54456
2021-02-09 06:00,504.4249
2021-02-09 07:00,499.99503
2021-02-09 08:00,502.08368
2021-02-09 09:00,507.14044
2021-02-09 10:00,516.75555
2021-02-09 11:00,527.8851
2021-02-09 12:00,530.27185
2021-02-09 13:00,521.5546
2021-02-09 14:00,509.95465
2021-02-09 15:00,502.3729
2021-02-09 16:00,498.5905
2021-02-09 17:00,495.98355
2021-02-09 18:00,493.78937
2021-02-09 19:00,492.5559
2021-02-09 20:00,495.31354
2021-02-09 21:00,503.10083
2021-02-09 22:00,516.0251
2021-02-09 23:00,526.4153
2021-02-07 00:00,473.70874
2021-02-07 01:00,476.6788
2021-02-07 02:00,482.1372
2021-02-07 03:00,481.47696
2021-02-07 04:00,471.24234
2021-02-07 05:00,456.5722
2021-02-07 06:00,449.3874
2021-02-07 07:00,446.63608
2021-02-07 08:00,445.11224
2021-02-07 09:00,448.2924
2021-02-07 10:00,456.71454
2021-02-07 11:00,470.47308
2021-02-07 12:00,483.0664
2021-02-07 13:00,484.6469
2021-02-07 14:00,478.9261
2021-02-07 15:00,477.5489
2021-02-07 16:00,480.19174
2021-02-07 17:00,482.2193
2021-02-07 18:00,484.13168
2021-02-07 19:00,484.83893
2021-02-07 20:00,487.5044
2021-02-07 21:00,493.98428
2021-02-07 22:00,504.4742
2021-02-07 23:00,508.8317
2021-02-08 00:00,511.51797
2021-02-08 01:00,512.00574
2021-02-08 02:00,512.91895
2021-02-08 03:00,509.1962
2021-02-08 04:00,499.04425
2021-02-08 05:00,486.10016
2021-02-08 06:00,477.16602
2021-02-08 07:00,473.9789
2021-02-08 08:00,473.33856
2021-02-08 09:00,476.71005
2021-02-08 10:00,483.66827
2021-02-08 11:00,495.46567
2021-02-08 12:00,503.14722
2021-02-08 13:00,499.9401
2021-02-08 14:00,490.7374
2021-02-08 15:00,487.1342
2021-02-08 16:00,489.53522
2021-02-08 17:00,492.048
2021-02-08 18:00,493.518
2021-02-08 19:00,495.7657
2021-02-08 20:00,500.81314
2021-02-08 21:00,510.32748
2021-02-08 22:00,522.56915
2021-02-08 23:00,527.85077
2021-02-09 00:00,529.8425
2021-02-09 01:00,529.4901
2021-02-09 02:00,527.5745
2021-02-09 03:00,521.55615
2021-02-09 04:00,512.94086
2021-02-09 05:00,502.12335
2021-02-09 06:00,494.4881
2021-02-09 07:00,490.81357
2021-02-09 08:00,490.1014
2021-02-09 09:00,493.71027
2021-02-09 10:00,499.7834
2021-02-09 11:00,508.58807
2021-02-09 12:00,513.8585
2021-02-09 13:00,510.3666
2021-02-09 14:00,500.83185
2021-02-09 15:00,496.2895
2021-02-09 16:00,496.11035
2021-02-09 17:00,496.49487
2021-02-09 18:00,495.48724
2021-02-09 19:00,494.5982
2021-02-09 20:00,497.4516
2021-02-09 21:00,506.5914
2021-02-09 22:00,519.8876
2021-02-09 23:00,526.7207
2021-02-10 00:00,530.65076
2021-02-10 01:00,529.08966
2021-02-10 02:00,524.98126
2021-02-10 03:00,517.5531
2021-02-10 04:00,508.55283
2021-02-10 05:00,496.8212
2021-02-10 06:00,489.2798
2021-02-10 07:00,487.35736
2021-02-10 08:00,487.71494
2021-02-10 09:00,491.71368
2021-02-10 10:00,499.21143
2021-02-10 11:00,508.8958
2021-02-10 12:00,514.80945
2021-02-10 13:00,511.02768
2021-02-10 14:00,501.92148
2021-02-10 15:00,498.2862
2021-02-10 16:00,497.8709
2021-02-10 17:00,497.4677
2021-02-10 18:00,498.43033
2021-02-10 19:00,498.8354
2021-02-10 20:00,502.40924
2021-02-10 21:00,510.50253
2021-02-10 22:00,521.3455
2021-02-10 23:00,526.3703
2021-02-08 00:00,477.06747
2021-02-08 01:00,476.6542
2021-02-08 02:00,478.07657
2021-02-08 03:00,472.0888
2021-02-08 04:00,458.55957
2021-02-08 05:00,444.18134
2021-02-08 06:00,433.97256
2021-02-08 07:00,429.52426
2021-02-08 08:00,429.308
2021-02-08 09:00,434.33368
2021-02-08 10:00,440.24307
2021-02-08 11:00,450.12744
2021-02-08 12:00,459.65543
2021-02-08 13:00,460.85638
2021-02-08 14:00,458.4437
2021-02-08 15:00,458.02914
2021-02-08 16:00,459.31635
2021-02-08 17:00,459.2525
2021-02-08 18:00,458.33954
2021-02-08 19:00,456.2412
2021-02-08 20:00,457.167
2021-02-08 21:00,465.63242
2021-02-08 22:00,477.64273
2021-02-08 23:00,484.44937
2021-02-09 00:00,483.98517
2021-02-09 01:00,484.11655
2021-02-09 02:00,485.51483
2021-02-09 03:00,481.51105
2021-02-09 04:00,470.74503
2021-02-09 05:00,459.03497
2021-02-09 06:00,450.998
2021-02-09 07:00,447.81366
2021-02-09 08:00,448.56616
2021-02-09 09:00,453.67767
2021-02-09 10:00,460.4296
2021-02-09 11:00,468.65216
2021-02-09 12:00,475.25156
2021-02-09 13:00,473.21417
2021-02-09 14:00,467.86728
2021-02-09 15:00,466.38397
2021-02-09 16:00,467.25275
2021-02-09 17:00,467.80478
2021-02-09 18:00,466.2928
2021-02-09 19:00,464.11734
2021-02-09 20:00,465.55878
2021-02-09 21:00,472.79395
2021-02-09 22:00,484.80878
2021-02-09 23:00,492.21826
2021-02-10 00:00,492.8607
2021-02-10 01:00,493.16608
2021-02-10 02:00,493.3383
2021-02-10 03:00,489.26007
2021-02-10 04:00,479.4715
2021-02-10 05:00,467.6551
2021-02-10 06:00,459.1334
2021-02-10 07:00,456.09995
2021-02-10 08:00,457.06876
