Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,295.81403
2021-02-01 01:00,292.09204
2021-02-01 02:00,286.10654
2021-02-01 03:00,276.92114
2021-02-01 04:00,265.39175
2021-02-01 05:00,256.2614
2021-02-01 06:00,248.09213
2021-02-01 07:00,242.33511
2021-02-01 08:00,240.87466
2021-02-01 09:00,242.33105
2021-02-01 10:00,251.2708
2021-02-01 11:00,264.35083
2021-02-01 12:00,271.7048
2021-02-01 13:00,267.22076
2021-02-01 14:00,258.10922
2021-02-01 15:00,251.47513
2021-02-01 16:00,252.27646
2021-02-01 17:00,256.12427
2021-02-01 18:00,259.88055
2021-02-01 19:00,263.7609
2021-02-01 20:00,269.45547
2021-02-01 21:00,281.96368
2021-02-01 22:00,295.46997
2021-02-01 23:00,302.28165
2021-02-02 00:00,300.85922
2021-02-02 01:00,297.00668
2021-02-02 02:00,290.9225
2021-02-02 03:00,280.5334
2021-02-02 04:00,268.19968
2021-02-02 05:00,258.26813
2021-02-02 06:00,249.67044
2021-02-02 07:00,243.21074
2021-02-02 08:00,241.83139
2021-02-02 09:00,244.34799
2021-02-02 10:00,254.83096
2021-02-02 11:00,269.95795
2021-02-02 12:00,277.88464
2021-02-02 13:00,272.1253
2021-02-02 14:00,261.21136
2021-02-02 15:00,253.34543
2021-02-02 16:00,252.74167
2021-02-02 17:00,255.48279
2021-02-02 18:00,258.92487
2021-02-02 19:00,262.7889
2021-02-02 20:00,268.8449
2021-02-02 21:00,281.70734
2021-02-02 22:00,295.64462
2021-02-02 23:00,302.252
2021-02-03 00:00,300.2512
2021-02-03 01:00,296.00955
2021-02-03 02:00,289.97183
2021-02-03 03:00,279.73236
2021-02-03 04:00,267.39322
2021-02-03 05:00,257.81357
2021-02-03 06:00,249.7378
2021-02-03 07:00,244.23642
2021-02-03 08:00,243.85117
2021-02-03 09:00,247.08139
2021-02-03 10:00,258.10883
2021-02-03 11:00,272.92865
2021-02-03 12:00,280.5813
2021-02-03 13:00,274.93146
2021-02-03 14:00,263.58075
2021-02-03 15:00,255.29964
2021-02-03 16:00,254.2037
2021-02-03 17:00,256.29416
2021-02-03 18:00,259.68994
2021-02-03 19:00,263.4507
2021-02-03 20:00,269.85788
2021-02-03 21:00,283.83984
2021-02-03 22:00,298.71002
2021-02-03 23:00,305.8409
2021-02-04 00:00,303.6228
2021-02-04 01:00,299.15604
2021-02-04 02:00,292.78857
2021-02-04 03:00,282.39142
2021-02-04 04:00,270.10577
2021-02-04 05:00,260.34576
2021-02-04 06:00,252.7633
2021-02-04 07:00,247.69673
2021-02-04 08:00,247.74576
2021-02-04 09:00,250.92265
2021-02-04 10:00,261.64883
2021-02-04 11:00,276.01715
2021-02-04 12:00,283.20612
2021-02-04 13:00,276.59537
2021-02-04 14:00,264.79047
2021-02-04 15:00,255.71591
2021-02-04 16:00,253.78484
2021-02-04 17:00,255.66206
2021-02-04 18:00,258.9796
2021-02-04 19:00,262.8193
2021-02-04 20:00,268.91327
2021-02-04 21:00,282.19818
2021-02-04 22:00,296.4497
2021-02-04 23:00,303.93555
2021-02-02 00:00,302.429
2021-02-02 01:00,297.63306
2021-02-02 02:00,290.75412
2021-02-02 03:00,281.73373
2021-02-02 04:00,270.27164
2021-02-02 05:00,257.46356
2021-02-02 06:00,248.62846
2021-02-02 07:00,244.55164
2021-02-02 08:00,244.009
2021-02-02 09:00,245.90376
2021-02-02 10:00,258.71964
2021-02-02 11:00,275.91675
2021-02-02 12:00,285.42902
2021-02-02 13:00,282.31668
2021-02-02 14:00,273.4109
2021-02-02 15:00,265.0569
2021-02-02 16:00,266.14716
2021-02-02 17:00,267.54562
2021-02-02 18:00,269.72797
2021-02-02 19:00,271.2973
2021-02-02 20:00,275.87314
2021-02-02 21:00,287.4079
2021-02-02 22:00,300.01443
2021-02-02 23:00,305.13235
2021-02-03 00:00,303.3205
2021-02-03 01:00,299.77133
2021-02-03 02:00,294.39584
2021-02-03 03:00,285.52866
2021-02-03 04:00,274.18185
2021-02-03 05:00,261.92993
2021-02-03 06:00,252.51851
2021-02-03 07:00,247.12613
2021-02-03 08:00,245.4873
2021-02-03 09:00,247.91206
2021-02-03 10:00,260.7315
2021-02-03 11:00,277.79813
2021-02-03 12:00,286.20087
2021-02-03 13:00,280.92825
2021-02-03 14:00,270.52518
2021-02-03 15:00,261.1602
2021-02-03 16:00,260.86615
2021-02-03 17:00,261.67987
2021-02-03 18:00,264.17194
2021-02-03 19:00,266.64853
2021-02-03 20:00,271.944
2021-02-03 21:00,284.0664
2021-02-03 22:00,297.61798
2021-02-03 23:00,303.56693
2021-02-04 00:00,302.40192
2021-02-04 01:00,298.61972
2021-02-04 02:00,293.39056
2021-02-04 03:00,284.00323
2021-02-04 04:00,272.65094
2021-02-04 05:00,261.79053
2021-02-04 06:00,254.09122
2021-02-04 07:00,250.1281
2021-02-04 08:00,248.61592
2021-02-04 09:00,249.86282
2021-02-04 10:00,260.2895
2021-02-04 11:00,274.67636
2021-02-04 12:00,281.70245
2021-02-04 13:00,275.5546
2021-02-04 14:00,264.13412
2021-02-04 15:00,253.96243
2021-02-04 16:00,253.00652
2021-02-04 17:00,253.89673
2021-02-04 18:00,257.21252
2021-02-04 19:00,260.92847
2021-02-04 20:00,267.2746
2021-02-04 21:00,280.3492
2021-02-04 22:00,294.11044
2021-02-04 23:00,300.35815
2021-02-05 00:00,299.2763
2021-02-05 01:00,295.79346
2021-02-05 02:00,290.38632
2021-02-05 03:00,281.87677
2021-02-05 04:00,271.36096
2021-02-05 05:00,260.93555
2021-02-05 06:00,254.31302
2021-02-05 07:00,251.01108
2021-02-05 08:00,250.91606
2021-02-05 09:00,253.57173
2021-02-05 10:00,265.3493
2021-02-05 11:00,280.26147
2021-02-05 12:00,287.11655
2021-02-05 13:00,280.26056
2021-02-05 14:00,267.89886
2021-02-05 15:00,256.74957
2021-02-05 16:00,254.91849
2021-02-05 17:00,255.35152
2021-02-05 18:00,258.18335
2021-02-05 19:00,261.29684
2021-02-05 20:00,267.39493
2021-02-05 21:00,280.01492
2021-02-05 22:00,292.71625
2021-02-05 23:00,298.98465
2021-02-03 00:00,322.209
2021-02-03 01:00,316.43604
2021-02-03 02:00,310.87946
2021-02-03 03:00,302.53613
2021-02-03 04:00,293.13422
2021-02-03 05:00,285.66348
2021-02-03 06:00,281.42114
2021-02-03 07:00,279.573
2021-02-03 08:00,281.39154
2021-02-03 09:00,286.28342
2021-02-03 10:00,294.0566
2021-02-03 11:00,305.1412
2021-02-03 12:00,311.58624
2021-02-03 13:00,300.06143
2021-02-03 14:00,277.85513
2021-02-03 15:00,261.94403
2021-02-03 16:00,257.2359
2021-02-03 17:00,254.971
2021-02-03 18:00,253.80864
2021-02-03 19:00,256.1637
2021-02-03 20:00,262.7765
2021-02-03 21:00,281.87238
2021-02-03 22:00,306.524
2021-02-03 23:00,315.5852
2021-02-04 00:00,314.24155
2021-02-04 01:00,310.4051
2021-02-04 02:00,305.40582
2021-02-04 03:00,296.4707
2021-02-04 04:00,286.10748
2021-02-04 05:00,277.642
2021-02-04 06:00,272.04135
2021-02-04 07:00,270.03598
2021-02-04 08:00,271.80145
2021-02-04 09:00,277.49918
2021-02-04 10:00,288.20004
2021-02-04 11:00,303.01758
2021-02-04 12:00,309.6223
2021-02-04 13:00,296.99817
2021-02-04 14:00,274.5262
2021-02-04 15:00,259.46393
2021-02-04 16:00,253.92732
2021-02-04 17:00,250.52522
2021-02-04 18:00,249.94853
2021-02-04 19:00,253.09488
2021-02-04 20:00,259.9006
2021-02-04 21:00,277.2119
2021-02-04 22:00,299.48206
2021-02-04 23:00,308.53848
2021-02-05 00:00,309.18475
2021-02-05 01:00,307.94464
2021-02-05 02:00,304.66656
2021-02-05 03:00,296.29993
2021-02-05 04:00,287.1291
2021-02-05 05:00,280.35663
2021-02-05 06:00,275.29413
2021-02-05 07:00,272.83765
2021-02-05 08:00,274.06052
2021-02-05 09:00,279.02258
2021-02-05 10:00,288.68637
2021-02-05 11:00,301.73462
2021-02-05 12:00,306.93323
2021-02-05 13:00,293.8207
2021-02-05 14:00,272.0522
2021-02-05 15:00,257.5263
2021-02-05 16:00,252.30632
2021-02-05 17:00,249.56819
2021-02-05 18:00,249.84329
2021-02-05 19:00,253.49094
2021-02-05 20:00,258.99493
2021-02-05 21:00,273.67346
2021-02-05 22:00,293.38217
2021-02-05 23:00,302.24994
2021-02-06 00:00,304.49124
2021-02-06 01:00,304.22992
2021-02-06 02:00,300.65152
2021-02-06 03:00,292.1828
2021-02-06 04:00,282.28778
2021-02-06 05:00,273.89166
2021-02-06 06:00,267.4944
2021-02-06 07:00,264.51172
2021-02-06 08:00,265.82828
2021-02-06 09:00,270.51804
2021-02-06 10:00,279.77234
2021-02-06 11:00,292.33084
2021-02-06 12:00,298.60474
2021-02-06 13:00,288.12827
2021-02-06 14:00,270.07877
2021-02-06 15:00,259.2623
2021-02-06 16:00,256.7881
2021-02-06 17:00,255.44438
2021-02-06 18:00,255.58647
2021-02-06 19:00,258.2105
2021-02-06 20:00,263.67606
2021-02-06 21:00,277.9916
2021-02-06 22:00,296.11957
2021-02-06 23:00,303.1102
2021-02-04 00:00,322.97128
2021-02-04 01:00,322.4577
2021-02-04 02:00,319.56097
2021-02-04 03:00,312.58023
2021-02-04 04:00,303.48795
2021-02-04 05:00,298.37964
2021-02-04 06:00,295.223
2021-02-04 07:00,292.39886
2021-02-04 08:00,291.9874
2021-02-04 09:00,295.1895
2021-02-04 10:00,303.33163
2021-02-04 11:00,312.84286
2021-02-04 12:00,317.0244
2021-02-04 13:00,302.76688
2021-02-04 14:00,282.17496
2021-02-04 15:00,267.39474
2021-02-04 16:00,260.39978
2021-02-04 17:00,255.82231
2021-02-04 18:00,253.96121
2021-02-04 19:00,255.6084
2021-02-04 20:00,262.49258
2021-02-04 21:00,281.79874
2021-02-04 22:00,304.1365
2021-02-04 23:00,313.45126
2021-02-05 00:00,314.14886
2021-02-05 01:00,311.5295
2021-02-05 02:00,306.88794
2021-02-05 03:00,298.56134
2021-02-05 04:00,288.3288
2021-02-05 05:00,281.82108
2021-02-05 06:00,277.8928
2021-02-05 07:00,275.1728
2021-02-05 08:00,274.68402
2021-02-05 09:00,278.7518
2021-02-05 10:00,288.6031
2021-02-05 11:00,300.04044
2021-02-05 12:00,304.73975
2021-02-05 13:00,292.9203
2021-02-05 14:00,275.11484
2021-02-05 15:00,262.74225
2021-02-05 16:00,256.95236
2021-02-05 17:00,253.02347
2021-02-05 18:00,251.61435
2021-02-05 19:00,253.17773
2021-02-05 20:00,258.71588
2021-02-05 21:00,275.31174
2021-02-05 22:00,295.6026
2021-02-05 23:00,305.14825
2021-02-06 00:00,308.175
2021-02-06 01:00,307.93182
2021-02-06 02:00,304.5327
2021-02-06 03:00,296.8239
2021-02-06 04:00,287.21854
2021-02-06 05:00,280.82794
2021-02-06 06:00,275.87677
2021-02-06 07:00,272.03693
2021-02-06 08:00,270.33835
2021-02-06 09:00,272.73718
2021-02-06 10:00,281.9173
2021-02-06 11:00,293.19583
2021-02-06 12:00,298.65427
2021-02-06 13:00,288.7842
2021-02-06 14:00,273.39145
2021-02-06 15:00,263.41132
2021-02-06 16:00,259.85107
2021-02-06 17:00,258.1018
2021-02-06 18:00,258.42755
2021-02-06 19:00,259.817
2021-02-06 20:00,263.83978
2021-02-06 21:00,277.28897
2021-02-06 22:00,293.8024
2021-02-06 23:00,300.60754
2021-02-07 00:00,301.5038
2021-02-07 01:00,299.01788
2021-02-07 02:00,293.47128
2021-02-07 03:00,284.61957
2021-02-07 04:00,274.0618
2021-02-07 05:00,266.0725
2021-02-07 06:00,260.5103
2021-02-07 07:00,256.7033
2021-02-07 08:00,254.94824
2021-02-07 09:00,257.47015
2021-02-07 10:00,267.02457
2021-02-07 11:00,278.99768
2021-02-07 12:00,285.67157
2021-02-07 13:00,277.54303
2021-02-07 14:00,265.4877
2021-02-07 15:00,258.22675
2021-02-07 16:00,256.74664
2021-02-07 17:00,256.42343
2021-02-07 18:00,257.10226
2021-02-07 19:00,258.52533
2021-02-07 20:00,262.722
2021-02-07 21:00,276.6196
2021-02-07 22:00,293.17365
2021-02-07 23:00,300.20197
2021-02-05 00:00,330.9121
2021-02-05 01:00,332.39484
2021-02-05 02:00,330.67603
2021-02-05 03:00,325.63483
2021-02-05 04:00,319.2935
2021-02-05 05:00,315.58807
2021-02-05 06:00,312.15686
2021-02-05 07:00,309.9319
2021-02-05 08:00,309.7719
2021-02-05 09:00,312.77817
2021-02-05 10:00,317.74103
2021-02-05 11:00,324.61383
2021-02-05 12:00,326.5857
2021-02-05 13:00,309.41205
2021-02-05 14:00,287.73334
2021-02-05 15:00,268.4972
2021-02-05 16:00,259.4567
2021-02-05 17:00,254.6622
2021-02-05 18:00,253.03413
2021-02-05 19:00,253.49536
2021-02-05 20:00,261.5914
2021-02-05 21:00,280.83725
2021-02-05 22:00,302.17593
2021-02-05 23:00,313.6607
2021-02-06 00:00,317.60822
2021-02-06 01:00,317.89642
2021-02-06 02:00,316.4079
2021-02-06 03:00,310.47308
2021-02-06 04:00,302.2927
2021-02-06 05:00,296.99628
2021-02-06 06:00,291.63452
2021-02-06 07:00,287.5975
2021-02-06 08:00,286.13077
2021-02-06 09:00,288.0385
2021-02-06 10:00,293.48016
2021-02-06 11:00,301.9432
2021-02-06 12:00,305.17328
2021-02-06 13:00,292.20294
2021-02-06 14:00,276.7201
2021-02-06 15:00,264.31412
2021-02-06 16:00,259.5397
2021-02-06 17:00,257.1656
2021-02-06 18:00,256.80267
2021-02-06 19:00,257.3601
2021-02-06 20:00,263.5407
2021-02-06 21:00,278.90988
2021-02-06 22:00,296.43842
2021-02-06 23:00,304.73737
2021-02-07 00:00,306.09882
2021-02-07 01:00,304.1289
2021-02-07 02:00,300.40942
2021-02-07 03:00,291.82684
2021-02-07 04:00,280.4999
2021-02-07 05:00,272.16846
2021-02-07 06:00,263.70132
2021-02-07 07:00,257.2051
2021-02-07 08:00,254.74397
2021-02-07 09:00,257.09824
2021-02-07 10:00,265.1629
2021-02-07 11:00,277.42294
2021-02-07 12:00,285.3458
2021-02-07 13:00,277.73517
2021-02-07 14:00,267.12738
2021-02-07 15:00,258.66364
2021-02-07 16:00,256.4986
2021-02-07 17:00,256.5149
2021-02-07 18:00,257.85907
2021-02-07 19:00,259.28937
2021-02-07 20:00,265.0564
2021-02-07 21:00,278.97165
2021-02-07 22:00,294.64337
2021-02-07 23:00,301.70807
2021-02-08 00:00,301.58795
2021-02-08 01:00,297.46185
2021-02-08 02:00,291.78293
2021-02-08 03:00,282.3924
2021-02-08 04:00,271.70636
2021-02-08 05:00,263.6867
2021-02-08 06:00,257.20193
2021-02-08 07:00,253.20926
2021-02-08 08:00,252.66043
2021-02-08 09:00,256.79706
2021-02-08 10:00,266.6141
2021-02-08 11:00,279.76935
2021-02-08 12:00,287.69098
2021-02-08 13:00,279.27124
2021-02-08 14:00,268.256
2021-02-08 15:00,259.09296
2021-02-08 16:00,256.6499
2021-02-08 17:00,256.61163
2021-02-08 18:00,257.87018
2021-02-08 19:00,258.89603
2021-02-08 20:00,264.80252
2021-02-08 21:00,279.98975
2021-02-08 22:00,297.0207
2021-02-08 23:00,305.6959
2021-02-06 00:00,327.0126
2021-02-06 01:00,326.1789
2021-02-06 02:00,323.04132
2021-02-06 03:00,319.54715
2021-02-06 04:00,307.57523
2021-02-06 05:00,300.78613
2021-02-06 06:00,295.74127
2021-02-06 07:00,292.40274
2021-02-06 08:00,293.58276
2021-02-06 09:00,295.96527
2021-02-06 10:00,301.46555
2021-02-06 11:00,307.56256
2021-02-06 12:00,310.12524
2021-02-06 13:00,298.99615
2021-02-06 14:00,283.91467
2021-02-06 15:00,271.25565
2021-02-06 16:00,265.34818
2021-02-06 17:00,264.0688
2021-02-06 18:00,264.35437
2021-02-06 19:00,266.6773
2021-02-06 20:00,272.5686
2021-02-06 21:00,285.758
2021-02-06 22:00,301.40802
2021-02-06 23:00,308.40353
2021-02-07 00:00,309.89026
2021-02-07 01:00,306.74008
2021-02-07 02:00,303.19763
2021-02-07 03:00,298.3438
2021-02-07 04:00,286.85687
2021-02-07 05:00,279.22467
2021-02-07 06:00,273.13406
2021-02-07 07:00,268.79022
2021-02-07 08:00,268.2602
2021-02-07 09:00,269.47394
2021-02-07 10:00,275.77127
2021-02-07 11:00,285.3835
2021-02-07 12:00,291.93805
2021-02-07 13:00,286.39435
2021-02-07 14:00,276.25528
2021-02-07 15:00,266.97064
2021-02-07 16:00,263.33804
2021-02-07 17:00,263.16147
2021-02-07 18:00,263.4532
2021-02-07 19:00,264.86227
2021-02-07 20:00,269.143
2021-02-07 21:00,280.33594
2021-02-07 22:00,294.2559
