Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,504.1871
2021-02-01 01:00,503.16193
2021-02-01 02:00,499.96045
2021-02-01 03:00,495.43863
2021-02-01 04:00,490.15814
2021-02-01 05:00,483.22623
2021-02-01 06:00,477.4467
2021-02-01 07:00,471.25507
2021-02-01 08:00,466.96817
2021-02-01 09:00,465.5528
2021-02-01 10:00,468.267
2021-02-01 11:00,473.69574
2021-02-01 12:00,480.4339
2021-02-01 13:00,489.11847
2021-02-01 14:00,497.71368
2021-02-01 15:00,504.66534
2021-02-01 16:00,509.87225
2021-02-01 17:00,512.8677
2021-02-01 18:00,515.8122
2021-02-01 19:00,515.5658
2021-02-01 20:00,514.58746
2021-02-01 21:00,514.6908
2021-02-01 22:00,517.6416
2021-02-01 23:00,520.32947
2021-02-02 00:00,521.5858
2021-02-02 01:00,520.0846
2021-02-02 02:00,516.2719
2021-02-02 03:00,510.97736
2021-02-02 04:00,505.4222
2021-02-02 05:00,498.6543
2021-02-02 06:00,492.7874
2021-02-02 07:00,486.84375
2021-02-02 08:00,482.75677
2021-02-02 09:00,481.9914
2021-02-02 10:00,485.28873
2021-02-02 11:00,491.55695
2021-02-02 12:00,499.20523
2021-02-02 13:00,507.8675
2021-02-02 14:00,515.8045
2021-02-02 15:00,521.77185
2021-02-02 16:00,525.9087
2021-02-02 17:00,527.4818
2021-02-02 18:00,528.66394
2021-02-02 19:00,527.09296
2021-02-02 20:00,525.1737
2021-02-02 21:00,524.407
2021-02-02 22:00,526.10486
2021-02-02 23:00,528.3783
2021-02-03 00:00,530.01965
2021-02-03 01:00,529.4645
2021-02-03 02:00,526.6515
2021-02-03 03:00,521.7954
2021-02-03 04:00,516.5219
2021-02-03 05:00,509.84442
2021-02-03 06:00,504.48203
2021-02-03 07:00,499.24957
2021-02-03 08:00,495.433
2021-02-03 09:00,495.10507
2021-02-03 10:00,498.05087
2021-02-03 11:00,503.4485
2021-02-03 12:00,510.69443
