Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,135.7199
2021-02-01 01:00,133.15567
2021-02-01 02:00,135.30904
2021-02-01 03:00,140.6071
2021-02-01 04:00,146.51305
2021-02-01 05:00,155.6549
2021-02-01 06:00,166.04451
2021-02-01 07:00,173.77563
2021-02-01 08:00,178.47159
2021-02-01 09:00,179.40903
2021-02-01 10:00,178.40479
2021-02-01 11:00,173.18857
2021-02-01 12:00,164.50945
2021-02-01 13:00,155.30153
2021-02-01 14:00,144.64339
2021-02-01 15:00,139.3428
2021-02-01 16:00,139.60332
2021-02-01 17:00,139.72104
2021-02-01 18:00,140.59843
2021-02-01 19:00,141.67404
2021-02-01 20:00,143.38403
2021-02-01 21:00,145.47661
2021-02-01 22:00,144.75717
2021-02-01 23:00,137.53308
2021-02-02 00:00,127.71672
2021-02-02 01:00,123.63499
2021-02-02 02:00,124.30359
2021-02-02 03:00,129.62729
2021-02-02 04:00,136.04497
2021-02-02 05:00,145.30663
2021-02-02 06:00,156.47116
2021-02-02 07:00,165.39568
2021-02-02 08:00,170.09444
2021-02-02 09:00,171.1014
2021-02-02 10:00,170.7272
2021-02-02 11:00,166.71297
2021-02-02 12:00,158.56212
2021-02-02 13:00,147.81052
2021-02-02 14:00,135.56363
2021-02-02 15:00,129.10904
2021-02-02 16:00,129.40385
2021-02-02 17:00,129.96117
2021-02-02 18:00,131.02638
2021-02-02 19:00,132.01903
2021-02-02 20:00,134.13055
2021-02-02 21:00,137.29207
2021-02-02 22:00,137.41722
2021-02-02 23:00,129.99976
2021-02-03 00:00,120.794754
2021-02-03 01:00,116.5614
2021-02-03 02:00,117.60708
2021-02-03 03:00,122.373215
2021-02-03 04:00,127.95735
2021-02-03 05:00,136.97769
2021-02-03 06:00,147.80878
2021-02-03 07:00,157.58188
2021-02-03 08:00,163.40128
2021-02-03 09:00,164.66533
2021-02-03 10:00,163.31363
2021-02-03 11:00,157.89644
2021-02-03 12:00,148.51993
2021-02-03 13:00,137.98839
2021-02-03 14:00,126.474464
2021-02-03 15:00,120.81649
2021-02-03 16:00,121.17021
2021-02-03 17:00,122.365746
