Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,24.642334
2021-02-01 01:00,23.288473
2021-02-01 02:00,23.176323
2021-02-01 03:00,23.870598
2021-02-01 04:00,24.907677
2021-02-01 05:00,26.851007
2021-02-01 06:00,30.439585
2021-02-01 07:00,32.960754
2021-02-01 08:00,34.06783
2021-02-01 09:00,35.25439
2021-02-01 10:00,36.15806
2021-02-01 11:00,35.46347
2021-02-01 12:00,32.319366
2021-02-01 13:00,28.536596
2021-02-01 14:00,25.232779
2021-02-01 15:00,24.655857
2021-02-01 16:00,25.961554
2021-02-01 17:00,27.449356
2021-02-01 18:00,28.232523
2021-02-01 19:00,28.758198
2021-02-01 20:00,29.410183
2021-02-01 21:00,30.096584
2021-02-01 22:00,29.229702
2021-02-01 23:00,27.522816
2021-02-02 00:00,25.227077
2021-02-02 01:00,23.812614
2021-02-02 02:00,23.297602
2021-02-02 03:00,24.026655
2021-02-02 04:00,25.379057
2021-02-02 05:00,28.080563
2021-02-02 06:00,31.53772
2021-02-02 07:00,34.340286
2021-02-02 08:00,35.257122
2021-02-02 09:00,35.476852
2021-02-02 10:00,35.857857
2021-02-02 11:00,34.903778
2021-02-02 12:00,31.969738
2021-02-02 13:00,28.153767
2021-02-02 14:00,24.837225
2021-02-02 15:00,24.335836
2021-02-02 16:00,25.439114
2021-02-02 17:00,26.650253
2021-02-02 18:00,27.711557
2021-02-02 19:00,28.118979
2021-02-02 20:00,28.463444
2021-02-02 21:00,29.378824
2021-02-02 22:00,28.650309
2021-02-02 23:00,27.000565
2021-02-03 00:00,24.679798
2021-02-03 01:00,23.248314
2021-02-03 02:00,22.608797
2021-02-03 03:00,23.093674
2021-02-03 04:00,24.238405
2021-02-03 05:00,26.39732
2021-02-03 06:00,29.470465
2021-02-03 07:00,32.19085
2021-02-03 08:00,33.800835
2021-02-03 09:00,34.549633
2021-02-03 10:00,35.181072
2021-02-03 11:00,34.28336
2021-02-03 12:00,31.419333
2021-02-03 13:00,27.653492
2021-02-03 14:00,24.69765
2021-02-03 15:00,24.298416
2021-02-03 16:00,25.317785
2021-02-03 17:00,26.532104
2021-02-03 18:00,27.146307
2021-02-03 19:00,27.280863
2021-02-03 20:00,27.618061
2021-02-03 21:00,28.497803
2021-02-03 22:00,28.424881
2021-02-03 23:00,26.705383
2021-02-04 00:00,24.277948
2021-02-04 01:00,23.158834
2021-02-04 02:00,23.237158
2021-02-04 03:00,24.460955
2021-02-04 04:00,25.468424
2021-02-04 05:00,27.451832
2021-02-04 06:00,30.159632
