Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,84.00928
2021-02-01 01:00,91.10268
2021-02-01 02:00,97.79976
2021-02-01 03:00,103.66748
2021-02-01 04:00,102.51805
2021-02-01 05:00,100.48941
2021-02-01 06:00,106.37938
2021-02-01 07:00,106.72007
2021-02-01 08:00,108.07304
2021-02-01 09:00,103.2715
2021-02-01 10:00,100.451515
2021-02-01 11:00,98.87821
2021-02-01 12:00,87.88881
2021-02-01 13:00,89.771255
2021-02-01 14:00,94.36778
2021-02-01 15:00,94.51747
2021-02-01 16:00,95.234276
2021-02-01 17:00,94.97461
2021-02-01 18:00,94.2417
2021-02-01 19:00,88.1909
2021-02-01 20:00,81.81171
2021-02-01 21:00,78.011925
2021-02-01 22:00,74.419266
2021-02-01 23:00,78.572556
2021-02-02 00:00,80.136856
2021-02-02 01:00,86.634384
2021-02-02 02:00,92.50991
2021-02-02 03:00,99.60455
2021-02-02 04:00,98.99055
2021-02-02 05:00,96.88753
2021-02-02 06:00,102.11029
2021-02-02 07:00,102.87561
2021-02-02 08:00,103.80913
2021-02-02 09:00,98.88933
2021-02-02 10:00,96.221504
2021-02-02 11:00,94.910835
2021-02-02 12:00,85.10921
2021-02-02 13:00,88.11775
2021-02-02 14:00,93.11076
2021-02-02 15:00,93.94766
2021-02-02 16:00,94.79804
2021-02-02 17:00,94.44818
2021-02-02 18:00,92.6949
2021-02-02 19:00,86.81593
2021-02-02 20:00,81.089966
2021-02-02 21:00,77.27056
2021-02-02 22:00,73.23417
2021-02-02 23:00,77.58064
2021-02-03 00:00,79.35603
2021-02-03 01:00,85.78321
2021-02-03 02:00,92.03137
2021-02-03 03:00,98.85123
2021-02-03 04:00,98.28617
2021-02-03 05:00,96.477905
2021-02-03 06:00,101.48909
2021-02-03 07:00,102.14785
2021-02-03 08:00,103.56394
2021-02-03 09:00,98.71335
2021-02-03 10:00,95.6839
2021-02-03 11:00,94.17688
2021-02-03 12:00,84.33434
2021-02-03 13:00,86.61833
2021-02-03 14:00,91.33766
2021-02-03 15:00,92.23287
2021-02-03 16:00,93.17989
2021-02-03 17:00,93.09517
2021-02-03 18:00,91.381874
2021-02-03 19:00,85.72642
2021-02-03 20:00,80.20048
2021-02-03 21:00,76.325775
2021-02-03 22:00,72.20841
2021-02-03 23:00,76.248146
2021-02-04 00:00,78.01287
2021-02-04 01:00,84.49864
2021-02-04 02:00,91.02336
2021-02-04 03:00,97.86961
2021-02-04 04:00,97.281876
2021-02-04 05:00,95.86717
2021-02-04 06:00,100.69625
2021-02-04 07:00,101.38898
2021-02-04 08:00,102.641235
2021-02-04 09:00,98.58745
2021-02-04 10:00,96.19143
2021-02-04 11:00,94.468834
2021-02-04 12:00,84.97566
2021-02-04 13:00,87.50311
2021-02-04 14:00,91.90389
2021-02-04 15:00,92.194954
2021-02-04 16:00,93.11841
2021-02-04 17:00,93.18339
2021-02-04 18:00,91.84447
2021-02-04 19:00,86.11216
2021-02-04 20:00,80.4859
2021-02-04 21:00,76.81748
2021-02-04 22:00,73.10623
2021-02-04 23:00,76.537605
2021-02-02 00:00,66.047104
2021-02-02 01:00,72.345116
2021-02-02 02:00,77.16096
2021-02-02 03:00,84.54462
2021-02-02 04:00,85.04262
2021-02-02 05:00,84.08517
2021-02-02 06:00,88.36409
2021-02-02 07:00,86.80515
2021-02-02 08:00,87.41109
2021-02-02 09:00,82.41791
2021-02-02 10:00,78.40323
2021-02-02 11:00,76.91352
2021-02-02 12:00,68.41288
2021-02-02 13:00,70.54987
2021-02-02 14:00,77.82633
2021-02-02 15:00,78.88655
2021-02-02 16:00,81.54811
2021-02-02 17:00,82.91751
2021-02-02 18:00,80.27683
2021-02-02 19:00,76.38873
2021-02-02 20:00,72.073906
2021-02-02 21:00,69.76095
2021-02-02 22:00,66.25551
2021-02-02 23:00,70.00116
2021-02-03 00:00,72.33832
2021-02-03 01:00,79.157745
2021-02-03 02:00,83.45178
2021-02-03 03:00,91.064476
2021-02-03 04:00,92.07445
2021-02-03 05:00,90.19792
2021-02-03 06:00,94.55641
2021-02-03 07:00,93.362274
2021-02-03 08:00,93.939575
2021-02-03 09:00,88.989426
2021-02-03 10:00,85.45272
2021-02-03 11:00,84.55758
2021-02-03 12:00,75.333755
2021-02-03 13:00,77.468346
2021-02-03 14:00,84.592316
2021-02-03 15:00,85.70007
2021-02-03 16:00,87.5532
2021-02-03 17:00,88.28471
2021-02-03 18:00,84.62599
2021-02-03 19:00,80.46389
2021-02-03 20:00,75.74678
2021-02-03 21:00,73.67311
2021-02-03 22:00,70.43121
2021-02-03 23:00,74.08461
2021-02-04 00:00,76.69812
2021-02-04 01:00,83.751526
2021-02-04 02:00,88.44508
2021-02-04 03:00,96.13816
2021-02-04 04:00,96.46609
2021-02-04 05:00,94.26564
2021-02-04 06:00,99.180305
2021-02-04 07:00,97.969894
2021-02-04 08:00,99.09172
2021-02-04 09:00,93.89846
2021-02-04 10:00,90.6548
2021-02-04 11:00,89.51411
2021-02-04 12:00,79.84712
2021-02-04 13:00,81.93428
2021-02-04 14:00,89.41838
2021-02-04 15:00,90.95158
2021-02-04 16:00,92.75437
2021-02-04 17:00,92.62752
2021-02-04 18:00,88.86737
2021-02-04 19:00,83.74558
2021-02-04 20:00,77.85576
2021-02-04 21:00,75.10423
2021-02-04 22:00,71.550865
2021-02-04 23:00,75.1662
2021-02-05 00:00,78.24231
2021-02-05 01:00,85.422745
