Datetime (UTC),Carbon Intensity Forecast
2021-02-01 00:00,425.60287
2021-02-01 01:00,407.81152
2021-02-01 02:00,380.7835
2021-02-01 03:00,355.096
2021-02-01 04:00,345.9566
2021-02-01 05:00,344.7089
2021-02-01 06:00,355.47577
2021-02-01 07:00,362.1928
2021-02-01 08:00,377.8532
2021-02-01 09:00,409.4128
2021-02-01 10:00,432.3585
2021-02-01 11:00,455.0189
2021-02-01 12:00,460.41974
2021-02-01 13:00,452.43243
2021-02-01 14:00,455.38287
2021-02-01 15:00,462.3733
2021-02-01 16:00,466.89072
2021-02-01 17:00,471.1812
2021-02-01 18:00,485.3351
2021-02-01 19:00,491.33676
2021-02-01 20:00,493.18658
2021-02-01 21:00,490.54648
2021-02-01 22:00,472.61542
2021-02-01 23:00,465.934
2021-02-02 00:00,429.96103
2021-02-02 01:00,411.36923
2021-02-02 02:00,379.99216
2021-02-02 03:00,354.1978
2021-02-02 04:00,348.60385
2021-02-02 05:00,348.0556
2021-02-02 06:00,359.39957
2021-02-02 07:00,364.35626
2021-02-02 08:00,378.34283
2021-02-02 09:00,408.93527
2021-02-02 10:00,430.14948
2021-02-02 11:00,453.4204
2021-02-02 12:00,461.04214
2021-02-02 13:00,451.86954
2021-02-02 14:00,453.26825
2021-02-02 15:00,459.747
2021-02-02 16:00,466.87384
2021-02-02 17:00,472.4916
2021-02-02 18:00,488.11133
2021-02-02 19:00,494.4257
2021-02-02 20:00,497.62198
2021-02-02 21:00,495.87085
2021-02-02 22:00,478.35223
2021-02-02 23:00,471.24536
2021-02-03 00:00,435.34756
2021-02-03 01:00,416.24957
2021-02-03 02:00,382.9505
2021-02-03 03:00,355.88184
2021-02-03 04:00,350.362
2021-02-03 05:00,350.7482
2021-02-03 06:00,361.2688
2021-02-03 07:00,365.95523
2021-02-03 08:00,379.1545
2021-02-03 09:00,409.29077
2021-02-03 10:00,431.73624
2021-02-03 11:00,455.13477
2021-02-03 12:00,463.97217
2021-02-03 13:00,455.66705
2021-02-03 14:00,457.3502
2021-02-03 15:00,465.37616
2021-02-03 16:00,472.28815
