Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Canada,Ontario,CA-ON,34.91,60.11,90.57,42.45,ieso.ca,False,
2021-01-01 01:00:00,Canada,Ontario,CA-ON,28.15,50.88,92.4,43.3,ieso.ca,False,
2021-01-01 02:00:00,Canada,Ontario,CA-ON,26.45,48.49,92.85,42.47,ieso.ca,False,
2021-01-01 03:00:00,Canada,Ontario,CA-ON,10.0,27.08,97.3,44.63,ieso.ca,False,
2021-01-01 04:00:00,Canada,Ontario,CA-ON,6.04,21.81,98.37,43.94,ieso.ca,False,
2021-01-01 05:00:00,Canada,Ontario,CA-ON,7.0,22.33,98.11,42.24,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Canada,Ontario,CA-ON,7.96,22.9,97.85,40.76,ieso.ca,False,
2021-01-01 07:00:00,Canada,Ontario,CA-ON,5.99,20.04,98.39,39.23,ieso.ca,False,
2021-01-01 08:00:00,Canada,Ontario,CA-ON,5.39,18.83,98.55,37.61,ieso.ca,False,
2021-01-01 09:00:00,Canada,Ontario,CA-ON,5.32,18.63,98.57,37.43,ieso.ca,False,
2021-01-01 10:00:00,Canada,Ontario,CA-ON,5.52,18.51,98.51,34.58,ieso.ca,False,
2021-01-01 11:00:00,Canada,Ontario,CA-ON,5.49,18.33,98.52,34.65,ieso.ca,False,
2021-01-01 12:00:00,Canada,Ontario,CA-ON,5.37,18.37,98.55,36.62,ieso.ca,False,
2021-01-01 13:00:00,Canada,Ontario,CA-ON,5.35,18.11,98.56,36.67,ieso.ca,False,
2021-01-01 14:00:00,Canada,Ontario,CA-ON,5.13,18.25,98.62,39.34,ieso.ca,False,
2021-01-01 15:00:00,Canada,Ontario,CA-ON,4.99,18.2,98.66,40.31,ieso.ca,False,
2021-01-01 16:00:00,Canada,Ontario,CA-ON,4.9,17.99,98.68,40.55,ieso.ca,False,
2021-01-01 17:00:00,Canada,Ontario,CA-ON,4.84,17.81,98.7,41.11,ieso.ca,False,
2021-01-01 18:00:00,Canada,Ontario,CA-ON,6.21,19.75,98.33,41.85,ieso.ca,False,
2021-01-01 19:00:00,Canada,Ontario,CA-ON,7.02,20.65,98.11,41.42,ieso.ca,False,
2021-01-01 20:00:00,Canada,Ontario,CA-ON,7.78,21.83,97.9,42.69,ieso.ca,False,
