Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Estonia,Estonia,EE,245.9,299.49,62.4,38.78,entsoe.eu,False,
2021-01-01 01:00:00,Estonia,Estonia,EE,252.85,308.22,61.59,38.14,entsoe.eu,False,
2021-01-01 02:00:00,Estonia,Estonia,EE,257.14,311.18,60.91,37.37,entsoe.eu,False,
2021-01-01 03:00:00,Estonia,Estonia,EE,256.5,311.35,61.13,37.79,entsoe.eu,False,
2021-01-01 04:00:00,Estonia,Estonia,EE,251.52,307.16,61.9,38.44,entsoe.eu,False,
2021-01-01 05:00:00,Estonia,Estonia,EE,226.47,280.85,65.44,40.0,entsoe.eu,False,
2021-01-01 06:00:00,Estonia,Estonia,EE,222.69,277.55,66.26,40.59,entsoe.eu,False,
2021-01-01 07:00:00,Estonia,Estonia,EE,231.2,288.13,65.21,40.35,entsoe.eu,False,
2021-01-01 08:00:00,Estonia,Estonia,EE,248.63,302.81,62.25,38.12,entsoe.eu,False,
2021-01-01 09:00:00,Estonia,Estonia,EE,220.47,270.66,66.11,40.03,entsoe.eu,False,
2021-01-01 10:00:00,Estonia,Estonia,EE,217.06,270.14,67.08,41.03,entsoe.eu,False,
2021-01-01 11:00:00,Estonia,Estonia,EE,219.1,272.97,66.8,40.78,entsoe.eu,False,
2021-01-01 12:00:00,Estonia,Estonia,EE,218.12,271.9,66.91,41.49,entsoe.eu,False,
2021-01-01 13:00:00,Estonia,Estonia,EE,215.41,268.98,67.33,42.26,entsoe.eu,False,
2021-01-01 14:00:00,Estonia,Estonia,EE,237.31,291.5,64.74,41.28,entsoe.eu,False,
2021-01-01 15:00:00,Estonia,Estonia,EE,237.3,291.7,64.6,41.34,entsoe.eu,False,
2021-01-01 16:00:00,Estonia,Estonia,EE,233.78,288.12,65.16,41.77,entsoe.eu,False,
2021-01-01 17:00:00,Estonia,Estonia,EE,249.0,303.17,63.67,40.63,entsoe.eu,False,
2021-01-01 18:00:00,Estonia,Estonia,EE,255.67,309.83,62.82,39.73,entsoe.eu,False,
2021-01-01 19:00:00,Estonia,Estonia,EE,236.66,290.12,64.78,40.31,entsoe.eu,False,
2021-01-01 20:00:00,Estonia,Estonia,EE,234.48,287.26,65.29,40.56,entsoe.eu,False,
2021-01-01 21:00:00,Estonia,Estonia,EE,227.88,280.37,66.02,40.55,entsoe.eu,False,
2021-01-01 22:00:00,Estonia,Estonia,EE,235.56,288.34,64.88,39.31,entsoe.eu,False,
2021-01-01 23:00:00,Estonia,Estonia,EE,255.39,311.84,62.69,38.67,entsoe.eu,False,
