Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,USA,PJM Interconnection,US-MIDA-PJM,360.38,430.36,39.28,4.67,pjm.com,False,
2021-01-01 01:00:00,USA,PJM Interconnection,US-MIDA-PJM,351.89,421.06,40.27,4.84,pjm.com,False,
2021-01-01 02:00:00,USA,PJM Interconnection,US-MIDA-PJM,353.19,422.44,40.06,4.04,pjm.com,False,
2021-01-01 03:00:00,USA,PJM Interconnection,US-MIDA-PJM,350.84,418.85,41.05,4.17,pjm.com,False,
2021-01-01 04:00:00,USA,PJM Interconnection,US-MIDA-PJM,347.0,413.43,42.4,4.57,pjm.com,False,
2021-01-01 05:00:00,USA,PJM Interconnection,US-MIDA-PJM,341.59,406.76,43.6,4.7,pjm.com,False,
2021-01-01 06:00:00,USA,PJM Interconnection,US-MIDA-PJM,332.08,395.84,45.14,5.27,pjm.com,False,
2021-01-01 07:00:00,USA,PJM Interconnection,US-MIDA-PJM,324.66,388.48,45.5,5.65,pjm.com,False,
2021-01-01 08:00:00,USA,PJM Interconnection,US-MIDA-PJM,320.83,384.35,45.92,6.39,pjm.com,False,
2021-01-01 09:00:00,USA,PJM Interconnection,US-MIDA-PJM,319.79,383.52,45.82,6.22,pjm.com,False,
2021-01-01 10:00:00,USA,PJM Interconnection,US-MIDA-PJM,313.2,375.68,47.09,7.52,pjm.com,False,
2021-01-01 11:00:00,USA,PJM Interconnection,US-MIDA-PJM,308.5,369.84,48.17,8.68,pjm.com,False,
2021-01-01 12:00:00,USA,PJM Interconnection,US-MIDA-PJM,313.82,376.42,46.96,8.19,pjm.com,False,
2021-01-01 13:00:00,USA,PJM Interconnection,US-MIDA-PJM,315.7,378.42,46.76,8.44,pjm.com,False,
2021-01-01 14:00:00,USA,PJM Interconnection,US-MIDA-PJM,322.46,386.64,45.35,8.0,pjm.com,False,
2021-01-01 15:00:00,USA,PJM Interconnection,US-MIDA-PJM,335.53,401.82,43.12,6.64,pjm.com,False,
2021-01-01 16:00:00,USA,PJM Interconnection,US-MIDA-PJM,343.05,410.39,41.94,6.2,pjm.com,False,
2021-01-01 17:00:00,USA,PJM Interconnection,US-MIDA-PJM,351.23,419.95,40.5,5.23,pjm.com,False,
2021-01-01 18:00:00,USA,PJM Interconnection,US-MIDA-PJM,354.82,423.96,40.05,4.69,pjm.com,False,
2021-01-01 19:00:00,USA,PJM Interconnection,US-MIDA-PJM,352.33,421.91,39.85,4.4,pjm.com,False,
2021-01-01 20:00:00,USA,PJM Interconnection,US-MIDA-PJM,351.77,421.51,39.76,4.23,pjm.com,False,
2021-01-01 21:00:00,USA,PJM Interconnection,US-MIDA-PJM,353.87,424.06,39.35,4.45,pjm.com,False,
2021-01-01 22:00:00,USA,PJM Interconnection,US-MIDA-PJM,352.36,422.67,39.45,5.55,pjm.com,False,
2021-01-01 23:00:00,USA,PJM Interconnection,US-MIDA-PJM,353.86,424.44,39.2,5.28,pjm.com,False,
2021-01-02 00:00:00,USA,PJM Interconnection,US-MIDA-PJM,351.03,420.92,39.85,5.25,pjm.com,False,
2021-01-02 01:00:00,USA,PJM Interconnection,US-MIDA-PJM,349.49,418.82,40.22,4.95,pjm.com,False,
2021-01-02 02:00:00,USA,PJM Interconnection,US-MIDA-PJM,350.5,419.04,40.64,4.38,pjm.com,False,
2021-01-02 03:00:00,USA,PJM Interconnection,US-MIDA-PJM,348.52,415.59,41.83,4.66,pjm.com,False,
2021-01-02 04:00:00,USA,PJM Interconnection,US-MIDA-PJM,344.86,411.2,42.55,4.53,pjm.com,False,
2021-01-02 05:00:00,USA,PJM Interconnection,US-MIDA-PJM,341.66,406.64,43.69,4.08,pjm.com,False,
2021-01-02 06:00:00,USA,PJM Interconnection,US-MIDA-PJM,334.16,398.57,44.5,4.3,pjm.com,False,
2021-01-02 07:00:00,USA,PJM Interconnection,US-MIDA-PJM,324.46,388.11,45.58,4.53,pjm.com,False,
2021-01-02 08:00:00,USA,PJM Interconnection,US-MIDA-PJM,322.51,386.35,45.55,4.24,pjm.com,False,
2021-01-02 09:00:00,USA,PJM Interconnection,US-MIDA-PJM,325.2,389.33,45.2,3.97,pjm.com,False,
2021-01-02 10:00:00,USA,PJM Interconnection,US-MIDA-PJM,329.18,393.69,44.71,3.86,pjm.com,False,
2021-01-02 11:00:00,USA,PJM Interconnection,US-MIDA-PJM,333.89,399.33,43.8,3.48,pjm.com,False,
2021-01-02 12:00:00,USA,PJM Interconnection,US-MIDA-PJM,333.41,399.19,43.62,3.86,pjm.com,False,
2021-01-02 13:00:00,USA,PJM Interconnection,US-MIDA-PJM,337.45,403.73,43.05,4.01,pjm.com,False,
2021-01-02 14:00:00,USA,PJM Interconnection,US-MIDA-PJM,336.41,402.59,43.21,4.43,pjm.com,False,
2021-01-02 15:00:00,USA,PJM Interconnection,US-MIDA-PJM,335.67,401.88,43.27,4.9,pjm.com,False,
2021-01-02 16:00:00,USA,PJM Interconnection,US-MIDA-PJM,333.95,399.9,43.56,4.99,pjm.com,False,
2021-01-02 17:00:00,USA,PJM Interconnection,US-MIDA-PJM,331.87,397.27,44.1,4.9,pjm.com,False,
2021-01-02 18:00:00,USA,PJM Interconnection,US-MIDA-PJM,330.41,395.67,44.29,4.52,pjm.com,False,
2021-01-02 19:00:00,USA,PJM Interconnection,US-MIDA-PJM,331.96,397.41,44.02,3.9,pjm.com,False,
2021-01-02 20:00:00,USA,PJM Interconnection,US-MIDA-PJM,334.4,400.92,43.06,3.28,pjm.com,False,
2021-01-02 21:00:00,USA,PJM Interconnection,US-MIDA-PJM,340.03,407.42,42.15,3.5,pjm.com,False,
2021-01-02 22:00:00,USA,PJM Interconnection,US-MIDA-PJM,340.96,408.63,42.09,5.71,pjm.com,False,
