Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Bolivia,Bolivia,BO,357.01,310.9,37.91,37.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 01:00:00,Bolivia,Bolivia,BO,364.15,316.62,36.67,36.67,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 02:00:00,Bolivia,Bolivia,BO,373.14,323.89,35.11,35.11,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 03:00:00,Bolivia,Bolivia,BO,378.53,332.83,34.17,34.17,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 04:00:00,Bolivia,Bolivia,BO,324.97,285.09,43.48,43.48,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 05:00:00,Bolivia,Bolivia,BO,390.1,337.68,32.16,32.16,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 06:00:00,Bolivia,Bolivia,BO,391.51,338.92,31.91,31.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 07:00:00,Bolivia,Bolivia,BO,391.56,338.99,31.9,31.9,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 08:00:00,Bolivia,Bolivia,BO,391.53,338.97,31.91,31.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 09:00:00,Bolivia,Bolivia,BO,390.91,338.7,32.02,32.02,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 10:00:00,Bolivia,Bolivia,BO,381.54,331.33,33.65,33.65,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 11:00:00,Bolivia,Bolivia,BO,367.69,320.63,36.05,36.05,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 12:00:00,Bolivia,Bolivia,BO,348.42,305.15,39.41,39.41,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 13:00:00,Bolivia,Bolivia,BO,331.35,291.32,42.37,42.37,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 14:00:00,Bolivia,Bolivia,BO,323.61,284.69,43.72,43.72,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 15:00:00,Bolivia,Bolivia,BO,320.22,281.66,44.31,44.31,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 16:00:00,Bolivia,Bolivia,BO,316.56,278.71,44.95,44.95,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 17:00:00,Bolivia,Bolivia,BO,320.89,282.01,44.19,44.19,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 18:00:00,Bolivia,Bolivia,BO,327.57,287.1,43.03,43.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 19:00:00,Bolivia,Bolivia,BO,336.82,294.51,41.42,41.42,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 20:00:00,Bolivia,Bolivia,BO,350.57,305.32,39.03,39.03,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 21:00:00,Bolivia,Bolivia,BO,365.2,317.17,36.49,36.49,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 22:00:00,Bolivia,Bolivia,BO,372.71,323.35,35.18,35.18,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 23:00:00,Bolivia,Bolivia,BO,361.57,314.51,37.12,37.12,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 00:00:00,Bolivia,Bolivia,BO,357.01,310.9,37.91,37.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 01:00:00,Bolivia,Bolivia,BO,364.15,316.62,36.67,36.67,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 02:00:00,Bolivia,Bolivia,BO,373.14,323.89,35.11,35.11,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 03:00:00,Bolivia,Bolivia,BO,378.53,332.83,34.17,34.17,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 04:00:00,Bolivia,Bolivia,BO,324.97,285.09,43.48,43.48,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 05:00:00,Bolivia,Bolivia,BO,390.1,337.68,32.16,32.16,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 06:00:00,Bolivia,Bolivia,BO,391.51,338.92,31.91,31.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 07:00:00,Bolivia,Bolivia,BO,391.56,338.99,31.9,31.9,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-02 08:00:00,Bolivia,Bolivia,BO,391.53,338.97,31.91,31.91,Electricity Maps Estimation,True,ESTIMATED_TIME_SLICER_AVERAGE
