Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Germany,Germany,DE,450.9,528.24,49.97,29.22,entsoe.eu,False,
2021-01-01 01:00:00,Germany,Germany,DE,456.76,534.75,49.56,28.57,entsoe.eu,False,
2021-01-01 02:00:00,Germany,Germany,DE,466.91,545.42,48.65,27.34,entsoe.eu,False,
2021-01-01 03:00:00,Germany,Germany,DE,467.4,545.81,48.68,26.67,entsoe.eu,False,
2021-01-01 04:00:00,Germany,Germany,DE,477.5,556.94,47.65,26.17,entsoe.eu,False,
2021-01-01 05:00:00,Germany,Germany,DE,484.63,564.3,47.0,25.74,entsoe.eu,False,
2021-01-01 06:00:00,Germany,Germany,DE,480.23,560.09,47.19,25.64,entsoe.eu,False,
2021-01-01 07:00:00,Germany,Germany,DE,478.5,558.27,46.99,25.75,entsoe.eu,False,
2021-01-01 08:00:00,Germany,Germany,DE,463.49,542.6,48.02,27.46,entsoe.eu,False,
2021-01-01 09:00:00,Germany,Germany,DE,441.34,519.43,49.82,29.93,entsoe.eu,False,
2021-01-01 10:00:00,Germany,Germany,DE,427.63,505.23,50.64,31.28,entsoe.eu,False,
2021-01-01 11:00:00,Germany,Germany,DE,421.58,498.86,51.04,31.96,entsoe.eu,False,
2021-01-01 12:00:00,Germany,Germany,DE,426.01,504.16,50.43,31.09,entsoe.eu,False,
2021-01-01 13:00:00,Germany,Germany,DE,438.27,518.24,48.78,28.94,entsoe.eu,False,
2021-01-01 14:00:00,Germany,Germany,DE,454.44,535.63,46.65,25.87,entsoe.eu,False,
2021-01-01 15:00:00,Germany,Germany,DE,456.69,536.16,46.8,26.11,entsoe.eu,False,
2021-01-01 16:00:00,Germany,Germany,DE,457.7,532.61,48.65,29.89,entsoe.eu,False,
2021-01-01 17:00:00,Germany,Germany,DE,455.4,529.06,49.31,31.39,entsoe.eu,False,
2021-01-01 18:00:00,Germany,Germany,DE,454.02,527.38,49.63,32.0,entsoe.eu,False,
2021-01-01 19:00:00,Germany,Germany,DE,449.64,527.26,48.11,29.69,entsoe.eu,False,
2021-01-01 20:00:00,Germany,Germany,DE,441.74,519.83,48.43,29.73,entsoe.eu,False,
2021-01-01 21:00:00,Germany,Germany,DE,433.64,510.9,49.56,30.91,entsoe.eu,False,
2021-01-01 22:00:00,Germany,Germany,DE,431.96,509.83,49.79,30.18,entsoe.eu,False,
2021-01-01 23:00:00,Germany,Germany,DE,438.07,514.51,50.41,29.96,entsoe.eu,False,
2021-01-02 00:00:00,Germany,Germany,DE,438.21,514.16,50.76,29.88,entsoe.eu,False,
2021-01-02 01:00:00,Germany,Germany,DE,434.09,510.15,51.34,30.12,entsoe.eu,False,
2021-01-02 02:00:00,Germany,Germany,DE,433.82,510.15,51.39,29.97,entsoe.eu,False,
2021-01-02 03:00:00,Germany,Germany,DE,441.27,517.96,50.66,29.25,entsoe.eu,False,
2021-01-02 04:00:00,Germany,Germany,DE,452.74,529.92,49.46,28.15,entsoe.eu,False,
2021-01-02 05:00:00,Germany,Germany,DE,463.55,541.18,48.26,27.33,entsoe.eu,False,
2021-01-02 06:00:00,Germany,Germany,DE,476.89,555.05,46.59,26.16,entsoe.eu,False,
2021-01-02 07:00:00,Germany,Germany,DE,488.17,568.1,44.45,24.74,entsoe.eu,False,
2021-01-02 08:00:00,Germany,Germany,DE,488.63,567.72,44.26,25.43,entsoe.eu,False,
2021-01-02 09:00:00,Germany,Germany,DE,488.71,566.32,45.05,27.17,entsoe.eu,False,
2021-01-02 10:00:00,Germany,Germany,DE,485.71,563.28,45.37,27.91,entsoe.eu,False,
2021-01-02 11:00:00,Germany,Germany,DE,481.7,560.14,45.28,27.52,entsoe.eu,False,
2021-01-02 12:00:00,Germany,Germany,DE,490.33,570.05,44.04,26.05,entsoe.eu,False,
2021-01-02 13:00:00,Germany,Germany,DE,501.48,581.1,43.31,25.16,entsoe.eu,False,
2021-01-02 14:00:00,Germany,Germany,DE,509.73,591.95,41.29,22.49,entsoe.eu,False,
